,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
1,YP_003043230.1,0.0168024871721646,-0.053832948505188,0.32099823746175,-0.167704810253367,0.866815511755874,NA,thrL,ECB_00001,b0001,-1,protein,Exp,carbonSource,glucosegluconate
2,YP_003043231.1,284.221252349914,0.103340544945116,0.347446931024437,0.297428285351146,0.766139551634264,0.930968313216147,thrA,ECB_00002,b0002,1,protein,Exp,carbonSource,glucosegluconate
3,YP_003043232.1,69.0957568331251,0.0469915290505628,0.423196858180158,0.111039409065174,0.911585096031101,0.976299550254832,thrB,ECB_00003,b0003,1,protein,Exp,carbonSource,glucosegluconate
4,YP_003043233.1,330.633095095065,-0.449850689668426,0.423483545655845,-1.06226249941245,0.288116533657547,0.654377881868437,thrC,ECB_00004,b0004,-1,protein,Exp,carbonSource,glucosegluconate
5,YP_003043234.1,0.0663195511526763,0.201467908460659,0.326300140999437,0.617431263877409,0.536950305948422,NA,yaaX,ECB_00005,b0005,1,protein,Exp,carbonSource,glucosegluconate
6,YP_003043235.1,37.4899174639238,0.306929042487705,0.353741957454721,0.867663662790107,0.385578483788532,0.733818339700308,yaaA,ECB_00006,b0006,1,protein,Exp,carbonSource,glucosegluconate
7,YP_003043236.1,0.322300924879997,0.435535066259107,0.47451739543543,0.917848471834102,NA,NA,yaaJ,ECB_00007,b0007,1,protein,Exp,carbonSource,glucosegluconate
8,YP_003043237.1,210.147885463026,0.123763547380381,0.390867775113439,0.316637889486954,0.751518382306885,0.925008303176188,talB,ECB_00008,b0008,1,protein,Exp,carbonSource,glucosegluconate
9,YP_003043238.1,12.1690417204469,0.545587589780305,0.468723273654653,1.16398655762565,0.244429459401032,0.60822654588101,mogA,ECB_00009,b0009,1,protein,Exp,carbonSource,glucosegluconate
10,YP_003043239.1,0.0153218540293213,-0.0517937282508146,0.320989195718186,-0.161356609324282,0.871812539532143,NA,yaaH,ECB_00010,b0010,-1,protein,Exp,carbonSource,glucosegluconate
11,YP_003043242.1,0.334639191883774,-0.22920811094132,0.432533304371515,-0.52992014400918,0.596167298950123,NA,yaaI,ECB_00013,b0013,-1,protein,Exp,carbonSource,glucosegluconate
12,YP_003043243.1,703.050460780349,-0.157952979175358,0.382406167575997,-0.413050291988211,0.679569767277717,0.894635250701902,dnaK,ECB_00014,b0014,-1,protein,Exp,carbonSource,glucosegluconate
13,YP_003043244.1,72.2645470845246,-0.0749265886487851,0.423761143096471,-0.176813258764803,0.859655074156813,0.961694501064066,dnaJ,ECB_00015,b0015,-1,protein,Exp,carbonSource,glucosegluconate
14,YP_003043245.1,0.864206980694945,-0.255026626495968,0.537651984423101,-0.4743340188163,0.635261736250907,NA,insL-1,ECB_00016,b0016,-1,protein,Exp,carbonSource,glucosegluconate
15,YP_003043246.1,0.0321243412014859,-0.0770123045116725,0.321093666357671,-0.239843735895704,0.81045140000189,NA,mokC,ECB_00017,b0018,-1,protein,Exp,carbonSource,glucosegluconate
16,YP_003043247.1,0,NA,NA,NA,NA,NA,hokC,ECB_04280,b4412,NA,protein,Exp,carbonSource,glucosegluconate
17,YP_003043248.1,0.0336049743443291,-0.0785368470614591,0.32109947506796,-0.244587279517778,0.806776014429898,NA,nhaA,ECB_00018,b0019,-1,protein,Exp,carbonSource,glucosegluconate
18,YP_003043249.1,1.06901899364368,-0.677638764076843,0.648537453810584,-1.04487221222964,0.296082034240749,NA,nhaR,ECB_00019,b0020,-1,protein,Exp,carbonSource,glucosegluconate
19,YP_003043250.1,0.1270167316631,-0.124329356140949,0.336919409964695,-0.369018087007743,0.712114243269069,NA,cirA,ECB_00020,b2155,-1,protein,Exp,carbonSource,glucosegluconate
20,YP_003043251.1,0.265948981453937,-0.0135140091950411,0.441387897359342,-0.0306170814285809,0.975574919525738,NA,yehB,ECB_00021,,-1,protein,Exp,carbonSource,glucosegluconate
21,YP_003043252.1,0.687254896605435,0.896354552206925,0.567121281708328,1.58053414872187,0.113984592899866,NA,yjcF,ECB_00022,,1,protein,Exp,carbonSource,glucosegluconate
22,YP_003043253.1,4.46928346585958,-1.62537073936579,0.662548934884431,-2.45320859152736,0.0141588208002249,0.190986572955465,insA-1,ECB_00023,b0022,-1,protein,Exp,carbonSource,glucosegluconate
23,YP_003043254.1,0.321243412014859,-0.178105801683749,0.391802566787909,-0.454580487167052,0.649411075394797,NA,insB-1,ECB_00024,b0021,-1,protein,Exp,carbonSource,glucosegluconate
24,YP_003043255.1,0.289021488268772,-0.262307618101355,0.454815387749353,-0.576734264421835,0.564118981971681,NA,talA,ECB_00025,,-1,protein,Exp,carbonSource,glucosegluconate
25,YP_003043256.1,0.224424947392838,-0.183054389709345,0.396053947311995,-0.462195594695441,0.643941062096147,NA,elfG,ECB_00026,,-1,protein,Exp,carbonSource,glucosegluconate
26,YP_003043257.1,133.792466663091,-0.691680349670289,0.475426653690747,-1.45486237319839,0.145707366363021,0.521234878497572,rpsT,ECB_00027,b0023,-1,protein,Exp,carbonSource,glucosegluconate
27,YP_003043258.1,0.0336049743443291,-0.0785368470614591,0.32109947506796,-0.244587279517778,0.806776014429898,NA,yaaY,ECB_00028,b0024,-1,protein,Exp,carbonSource,glucosegluconate
28,YP_003043259.1,21.8610477157786,0.253559314075945,0.38682760595468,0.655484019684086,0.512156171864304,0.801256707911553,ribF,ECB_00029,b0025,1,protein,Exp,carbonSource,glucosegluconate
29,YP_003043260.1,259.79072274227,0.286654437862241,0.354466771595751,0.80869198704231,0.418692338394822,0.752863617215263,ileS,ECB_00030,b0026,1,protein,Exp,carbonSource,glucosegluconate
30,YP_003043261.1,0.128497364805944,-0.1245723954806,0.337206786054002,-0.369424343259364,0.711811455959415,NA,lspA,ECB_00031,b0027,-1,protein,Exp,carbonSource,glucosegluconate
