,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
1,YP_003043230.1,0.0858867643049966,-0.230231336777272,0.503685132581218,-0.457093771256288,0.647603647115635,NA,thrL,ECB_00001,b0001,-1,protein,Sta,carbonSource,glucosegluconate
2,YP_003043231.1,238.982343201497,0.0478769388661992,0.405534170758082,0.118058951177162,0.906020948140699,0.985070130297126,thrA,ECB_00002,b0002,1,protein,Sta,carbonSource,glucosegluconate
3,YP_003043232.1,60.6215760653654,-0.214417832301025,0.495275851077712,-0.432926079142473,0.665068473164499,0.925780763077186,thrB,ECB_00003,b0003,-1,protein,Sta,carbonSource,glucosegluconate
4,YP_003043233.1,263.18818248471,-0.242651074878547,0.506525443294869,-0.479050120957675,0.631902972727105,0.923865879534659,thrC,ECB_00004,b0004,-1,protein,Sta,carbonSource,glucosegluconate
5,YP_003043234.1,0.13702862412115,0.177809380838292,0.539796149843936,0.329400980147227,0.741852627042035,NA,yaaX,ECB_00005,b0005,1,protein,Sta,carbonSource,glucosegluconate
6,YP_003043235.1,33.9893646269864,0.341285446179949,0.444524561336461,0.767753856286088,0.442633433320772,0.846760282749304,yaaA,ECB_00006,b0006,1,protein,Sta,carbonSource,glucosegluconate
7,YP_003043236.1,0.12133022702261,-0.24820387752815,0.517047282999024,-0.480040966637511,0.631198263374419,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,carbonSource,glucosegluconate
8,YP_003043237.1,186.847491080519,-0.00015239739911138,0.456065089168639,-0.000334157125223475,0.999733381193864,0.99998189855095,talB,ECB_00008,b0008,-1,protein,Sta,carbonSource,glucosegluconate
9,YP_003043238.1,10.9798915583149,0.00179931266818805,0.544786233270029,0.00330278659463886,0.997364762359549,0.999938330222769,mogA,ECB_00009,b0009,1,protein,Sta,carbonSource,glucosegluconate
10,YP_003043239.1,0,NA,NA,NA,NA,NA,yaaH,ECB_00010,b0010,NA,protein,Sta,carbonSource,glucosegluconate
11,YP_003043242.1,0.354513373052264,-0.119511856257054,0.631071503387654,-0.189379263071621,0.849795576054448,NA,yaaI,ECB_00013,b0013,-1,protein,Sta,carbonSource,glucosegluconate
12,YP_003043243.1,739.298529203966,-0.136464346010466,0.485343655912541,-0.281170556878685,0.778579586282614,0.957652891127615,dnaK,ECB_00014,b0014,-1,protein,Sta,carbonSource,glucosegluconate
13,YP_003043244.1,63.7129294894227,0.286392385366534,0.465923316348106,0.614677083798403,0.538767996677069,0.884365617321345,dnaJ,ECB_00015,b0015,1,protein,Sta,carbonSource,glucosegluconate
14,YP_003043245.1,0.989753923964273,-0.656732307426282,0.70564707411338,-0.930680975686666,0.352018613424659,NA,insL-1,ECB_00016,b0016,-1,protein,Sta,carbonSource,glucosegluconate
15,YP_003043246.1,0,NA,NA,NA,NA,NA,mokC,ECB_00017,b0018,NA,protein,Sta,carbonSource,glucosegluconate
16,YP_003043247.1,0,NA,NA,NA,NA,NA,hokC,ECB_04280,b4412,NA,protein,Sta,carbonSource,glucosegluconate
17,YP_003043248.1,0.12133022702261,-0.24820387752815,0.517047282999024,-0.480040966637511,0.631198263374419,NA,nhaA,ECB_00018,b0019,-1,protein,Sta,carbonSource,glucosegluconate
18,YP_003043249.1,0.477631922444205,-0.555532806513966,0.676560804635379,-0.821112903242097,0.411581960926413,NA,nhaR,ECB_00019,b0020,-1,protein,Sta,carbonSource,glucosegluconate
19,YP_003043250.1,0.0504433015873833,-0.200114962862095,0.497430972851091,-0.402296949293507,0.687465499544601,NA,cirA,ECB_00020,b2155,-1,protein,Sta,carbonSource,glucosegluconate
20,YP_003043251.1,0.201773206349533,-0.292425433154832,0.550000827494924,-0.531681805801521,0.594946395300759,NA,yehB,ECB_00021,,-1,protein,Sta,carbonSource,glucosegluconate
21,YP_003043252.1,1.17711427984713,0.880059593125408,0.799042673681543,1.10139248141853,0.270725876292437,NA,yjcF,ECB_00022,,1,protein,Sta,carbonSource,glucosegluconate
22,YP_003043253.1,0.34871623838793,-0.461969912635751,0.641681673610767,-0.719936273130927,0.471564233252587,NA,insA-1,ECB_00023,b0022,-1,protein,Sta,carbonSource,glucosegluconate
23,YP_003043254.1,0.419212009601062,-0.418211834815346,0.621985094735596,-0.672382406515909,0.501340280211891,NA,insB-1,ECB_00024,b0021,-1,protein,Sta,carbonSource,glucosegluconate
24,YP_003043255.1,0.297881782578452,-0.327922680418059,0.573225280092834,-0.572065977908286,0.567277277145562,NA,talA,ECB_00025,,-1,protein,Sta,carbonSource,glucosegluconate
25,YP_003043256.1,0.324073441945094,0.399454980754898,0.626711165380852,0.637382901120246,0.523875463319176,NA,elfG,ECB_00026,,1,protein,Sta,carbonSource,glucosegluconate
26,YP_003043257.1,81.0191301312173,-0.461295303582848,0.494448080384051,-0.932949933235754,0.350845819238328,0.791333174198918,rpsT,ECB_00027,b0023,-1,protein,Sta,carbonSource,glucosegluconate
27,YP_003043258.1,0,NA,NA,NA,NA,NA,yaaY,ECB_00028,b0024,NA,protein,Sta,carbonSource,glucosegluconate
28,YP_003043259.1,16.6282263506307,0.221511119039435,0.474610034524257,0.466722367683344,0.640698524519075,0.923865879534659,ribF,ECB_00029,b0025,1,protein,Sta,carbonSource,glucosegluconate
29,YP_003043260.1,219.827815850667,0.259163876179061,0.414271251964261,0.625589815731214,0.531584020458761,0.881854682190377,ileS,ECB_00030,b0026,1,protein,Sta,carbonSource,glucosegluconate
30,YP_003043261.1,0.0504433015873833,-0.200114962862095,0.497430972851091,-0.402296949293507,0.687465499544601,NA,lspA,ECB_00031,b0027,-1,protein,Sta,carbonSource,glucosegluconate
31,YP_003043262.1,7.74954422729336,0.00206967544688849,0.573216743041502,0.00361063327617883,0.997119137713694,0.999938330222769,fkpB,ECB_00032,b0028,1,protein,Sta,carbonSource,glucosegluconate
32,YP_003043263.1,10.6747397029669,-0.0663999083513108,0.495083545954624,-0.134118592495895,0.893308797783182,0.984483537522675,ispH,ECB_00033,b0029,-1,protein,Sta,carbonSource,glucosegluconate
33,YP_003043264.1,4.50351373580224,0.502862400314864,0.663783265915386,0.757570168059894,0.448708344776399,0.848982654266863,rihC,ECB_00034,b0030,1,protein,Sta,carbonSource,glucosegluconate
34,YP_003043265.1,48.2074544888121,-0.104131710161488,0.398930745375261,-0.261027036318133,0.794071657844644,0.96119298156991,dapB,ECB_00035,b0031,-1,protein,Sta,carbonSource,glucosegluconate
35,YP_003043266.1,132.246877836003,0.169640709941167,0.48611106984908,0.348975204357791,0.7271079248031,0.942030445934415,carA,ECB_00036,b0032,1,protein,Sta,carbonSource,glucosegluconate
36,YP_003043267.1,274.061634448543,0.291564390966228,0.387447494213279,0.752526201152123,0.451734679328557,0.851328379327056,carB,ECB_00037,b0033,1,protein,Sta,carbonSource,glucosegluconate
37,YP_003043268.1,0.434910406699602,-0.171772588976552,0.655018054776689,-0.262240998891417,0.793135646541456,NA,caiF,ECB_00038,b0034,-1,protein,Sta,carbonSource,glucosegluconate
38,YP_003043269.1,0.677196510385662,-0.143791001125692,0.754867521010235,-0.190485081320305,0.848929032545927,NA,caiE,ECB_00039,b0035,-1,protein,Sta,carbonSource,glucosegluconate
39,YP_003043270.1,0.976635011077778,0.526162756256019,0.7819754094415,0.672863557988114,0.501034098138677,NA,caiD,ECB_00040,b0036,1,protein,Sta,carbonSource,glucosegluconate
40,YP_003043271.1,0.885741235714178,-0.583138832128305,0.767462282983901,-0.75982734924908,0.447357792736298,NA,caiC,ECB_00041,b0037,-1,protein,Sta,carbonSource,glucosegluconate
41,YP_003043272.1,1.18721628796249,-0.462263475461217,0.775366043434872,-0.596187412868107,0.551050033433098,NA,caiA,ECB_00043,b0039,-1,protein,Sta,carbonSource,glucosegluconate
42,YP_003043273.1,0.333887423026025,0.517092238738369,0.680324560564076,0.76006698671827,0.447214544931163,NA,caiT,ECB_00044,b0040,1,protein,Sta,carbonSource,glucosegluconate
43,YP_003043274.1,0.540702019087887,-0.820123357853442,0.742129841775786,-1.10509416504669,0.269118788676025,NA,fixA,ECB_00045,b0041,-1,protein,Sta,carbonSource,glucosegluconate
44,YP_003043275.1,1.03650308819069,-0.0164357704064441,0.773980640691484,-0.021235376626165,0.983057894172364,NA,fixB,ECB_00046,b0042,-1,protein,Sta,carbonSource,glucosegluconate
45,YP_003043276.1,1.14763468021939,0.635022183284459,0.799846573435481,0.793929991544413,0.42723618862855,NA,fixC,ECB_00047,b0043,1,protein,Sta,carbonSource,glucosegluconate
46,YP_003043277.1,0.35736213881377,-0.110715454162025,0.631985533991332,-0.175186690528812,0.860932942028339,NA,fixX,ECB_00048,b0044,-1,protein,Sta,carbonSource,glucosegluconate
47,YP_003043278.1,0.222216830197377,-0.294207874301876,0.551239597429891,-0.533720501345687,0.593534922882198,NA,yaaU,ECB_00049,b0045,-1,protein,Sta,carbonSource,glucosegluconate
48,YP_003043279.1,0.586584662183573,0.99385220915513,0.769331904836001,1.29183802583488,0.196413243599103,NA,yabF,ECB_00050,b0046,1,protein,Sta,carbonSource,glucosegluconate
49,YP_003043280.1,1.03439420920087,0.279988082576825,0.797522031513412,0.351072536573702,0.72553393087034,NA,kefC,ECB_00051,b0047,1,protein,Sta,carbonSource,glucosegluconate
50,YP_003043281.1,12.1090946830241,1.21711641356663,0.498647322736819,2.44083615427132,0.0146533012869884,0.275870825249934,folA,ECB_00052,b0048,1,protein,Sta,carbonSource,glucosegluconate
51,YP_003043282.1,4.04218687234778,0.846746907690351,0.655636224876861,1.29148890125677,0.196534201216535,0.669014024436361,apaH,ECB_00053,b0049,1,protein,Sta,carbonSource,glucosegluconate
52,YP_003043283.1,4.76485127843351,0.289008344386021,0.657594337879791,0.439493358957193,0.660304092997495,0.925780763077186,apaG,ECB_00054,b0050,1,protein,Sta,carbonSource,glucosegluconate
53,YP_003043284.1,14.4692441513431,-0.263476761427005,0.526233324514341,-0.500684295640468,0.616593326372785,0.919471943496003,ksgA,ECB_00055,b0051,-1,protein,Sta,carbonSource,glucosegluconate
54,YP_003043285.1,14.3551334905374,0.335215529995849,0.564191339764534,0.594152207539648,0.552410314978125,0.892838293540433,pdxA,ECB_00056,b0052,1,protein,Sta,carbonSource,glucosegluconate
55,YP_003043286.1,91.7917520127632,0.797778009500359,0.358704878303422,2.22405118456609,0.0261450006975625,0.349547291934803,surA,ECB_00057,b0053,1,protein,Sta,carbonSource,glucosegluconate
56,YP_003043287.1,115.764438835079,0.342680480641098,0.484790030744296,0.706863711935211,0.47965117672706,0.866754574986705,imp,ECB_00058,b0054,1,protein,Sta,carbonSource,glucosegluconate
57,YP_003043288.1,16.9876905679194,0.118247019092947,0.50931981134355,0.232166541452648,0.816408663846094,0.970387588246099,djlA,ECB_00059,b0055,1,protein,Sta,carbonSource,glucosegluconate
58,YP_003043289.1,0.899986549457927,-0.251101163325524,0.750139270457071,-0.334739392023196,0.737821683436502,NA,rluA,ECB_00060,b0058,-1,protein,Sta,carbonSource,glucosegluconate
59,YP_003043290.1,29.2902001912391,-0.0460884662075633,0.418773977642623,-0.110055707059464,0.91236519534547,0.985070130297126,hepA,ECB_00061,b0059,-1,protein,Sta,carbonSource,glucosegluconate
60,YP_003043291.1,2.74190683502032,0.216867073706728,0.798588568227485,0.271562957867125,0.785958084702743,0.960133336260133,polB,ECB_00062,b0060,1,protein,Sta,carbonSource,glucosegluconate
61,YP_003043292.1,4.15248801425451,4.03255852230704,0.728139014750976,5.53817120167112,3.05646409411223e-08,9.3986270893951e-06,araD,ECB_00063,b0061,1,protein,Sta,carbonSource,glucosegluconate
62,YP_003043293.1,18.3956880660481,3.8370881377859,0.513829409378678,7.46763043872033,8.16517735567886e-14,3.0129504442455e-11,araA,ECB_00064,b0062,1,protein,Sta,carbonSource,glucosegluconate
63,YP_003043294.1,8.53394291057852,3.30906838709033,0.670510577192609,4.93514718432215,8.0090338366616e-07,0.000164185193651563,araB,ECB_00065,b0063,1,protein,Sta,carbonSource,glucosegluconate
64,YP_003043295.1,1.09023997280945,-0.481219574520188,0.78811467108144,-0.610595884301793,0.541467148064094,NA,araC,ECB_00066,b0064,-1,protein,Sta,carbonSource,glucosegluconate
65,YP_003043296.1,0.118076292186581,-0.238748936201917,0.509931424800902,-0.468198123493045,0.639642913981917,NA,yabI,ECB_00067,b0065,-1,protein,Sta,carbonSource,glucosegluconate
66,YP_003043297.1,0.437635937445338,0.088686020353873,0.692214679599115,0.128119242436803,0.898054608279505,NA,thiQ,ECB_00068,b0066,1,protein,Sta,carbonSource,glucosegluconate
67,YP_003043298.1,0.323103433372143,-0.347474177422584,0.584913165149358,-0.594061132704811,0.55247122567518,NA,thiP,ECB_00069,b0067,-1,protein,Sta,carbonSource,glucosegluconate
68,YP_003043299.1,2.21513112839757,1.01273924128534,0.769431686156402,1.31621722825629,0.188101142833905,0.662278975835483,tbpA,ECB_00070,b0068,1,protein,Sta,carbonSource,glucosegluconate
69,YP_003043300.1,0.772231270370616,-0.460845936005111,0.738423709100342,-0.624094175641492,0.532565738734168,NA,yabN,ECB_00071,b0069,-1,protein,Sta,carbonSource,glucosegluconate
70,YP_003043301.1,0.319829547822622,0.229312117690238,0.668729222262584,0.342907278545989,0.731668215910394,NA,setA,ECB_00072,b0070,1,protein,Sta,carbonSource,glucosegluconate
