,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0345883148751253,0.0312608115518378,0.853871404141419,0.0366106786106405,0.970795428939577,NA,thrL,ECB_00001,b0001,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
2,YP_003043231.1,216.687687751045,0.00953459501908935,0.408810746607773,0.0233227602214605,0.981392816619063,0.994198654083843,thrA,ECB_00002,b0002,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
3,YP_003043232.1,46.8251677166651,-0.453941354576037,0.504167099241642,-0.900378773741576,0.367918712840686,0.665909411510271,thrB,ECB_00003,b0003,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
4,YP_003043233.1,218.159361709715,-0.129423097850446,0.488028471915823,-0.265195793479789,0.790858635245807,0.93372342096763,thrC,ECB_00004,b0004,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
5,YP_003043234.1,0.0930044374909297,-0.0630448162058797,1.01157655397705,-0.0623233268485875,0.950305352444208,NA,yaaX,ECB_00005,b0005,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
6,YP_003043235.1,27.712779147481,-0.413845877694466,0.459846637243913,-0.899964997406195,0.36813887833476,0.665909411510271,yaaA,ECB_00006,b0006,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
7,YP_003043236.1,0.22597316753564,-0.494219262031465,1.04303978093524,-0.473825899131406,0.635624064206103,NA,yaaJ,ECB_00007,b0007,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
8,YP_003043237.1,166.249611712895,-0.146109990584995,0.460979191777141,-0.31695571772279,0.751277203249541,0.915530313758033,talB,ECB_00008,b0008,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
9,YP_003043238.1,9.28522516766716,-0.82769017769884,0.526597941619806,-1.57176872957931,0.116004196100208,0.323466616568469,mogA,ECB_00009,b0009,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
10,YP_003043239.1,0.0113090176390844,0.0732540278604631,0.853853498250788,0.0857922676554373,0.931631553333272,NA,yaaH,ECB_00010,b0010,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
11,YP_003043242.1,0.376358261932115,-0.53979102513443,1.04019827662151,-0.518930897374331,0.603808930637609,NA,yaaI,ECB_00013,b0013,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
12,YP_003043243.1,558.054321034305,0.233911566738172,0.477473186210726,0.489894665278519,0.624208438213271,0.867369033706844,dnaK,ECB_00014,b0014,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
13,YP_003043244.1,57.2460028449363,-0.106990413780237,0.484488186455956,-0.22083183196452,0.825223377065318,0.949740233881243,dnaJ,ECB_00015,b0015,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
14,YP_003043245.1,1.29438702268231,-2.11869237212503,1.01898993396161,-2.07920834299905,0.0375982051628597,0.181748304957069,insL-1,ECB_00016,b0016,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
15,YP_003043246.1,0.0623930766676025,-0.0110997899379552,0.920921446726864,-0.0120529171922383,0.990383396298753,NA,mokC,ECB_00017,b0018,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
16,YP_003043247.1,0.0127108904031998,0.0709156609164194,0.853854598044568,0.0830535562832653,0.93380895491452,NA,hokC,ECB_04280,b4412,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
17,YP_003043248.1,0.21055618026587,-0.0237015721056191,1.04392483292502,-0.022704289962342,0.981886153823768,NA,nhaA,ECB_00018,b0019,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
18,YP_003043249.1,0.910366370777581,-1.93205892356455,0.969617678772966,-1.99259869726132,0.0463054079626742,NA,nhaR,ECB_00019,b0020,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
19,YP_003043250.1,0.217864858783771,-0.413805259434433,1.04511137301887,-0.395943695683963,0.692146565155589,NA,cirA,ECB_00020,b2155,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
20,YP_003043251.1,0.371526725279389,-0.859628642345838,1.03399989506863,-0.831362407719378,0.405768928962478,NA,yehB,ECB_00021,,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
21,YP_003043252.1,0.752232782059621,-1.95566431556608,1.00252676529843,-1.95073526539106,0.0510885459961419,NA,yjcF,ECB_00022,,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
22,YP_003043253.1,3.79334867155197,-2.21710670072053,0.961812161517046,-2.30513481678537,0.0211590240949929,0.140618852984408,insA-1,ECB_00023,b0022,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
23,YP_003043254.1,0.560314056449081,-1.10916410785571,1.03827948566502,-1.06827123445022,0.285398180197637,NA,insB-1,ECB_00024,b0021,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
24,YP_003043255.1,0.37675923452128,-0.754654005233024,1.04404189270801,-0.722819659348743,0.469790687541033,NA,talA,ECB_00025,,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
25,YP_003043256.1,0.418937051511022,-0.778937255946379,1.04001521272902,-0.748967175107406,0.453876990100973,NA,elfG,ECB_00026,,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
26,YP_003043257.1,95.3595758280147,0.19567474253463,0.492111959857088,0.397622408102934,0.690908540319436,0.890070773772953,rpsT,ECB_00027,b0023,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
27,YP_003043258.1,0.0832747961588443,-0.0492926090107187,0.981596923378516,-0.0502167517406845,0.959949662436685,NA,yaaY,ECB_00028,b0024,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
