,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0345883148751253,0.0365149517189658,0.723880735954457,0.0504433256823996,0.959769111410032,NA,thrL,ECB_00001,b0001,1,protein,Exp,Na_mM_Levels,highNa,baseNa
2,YP_003043231.1,216.687687751045,-1.6252770347605,0.255722762443194,-6.35562129562691,2.07585870291687e-10,4.57828105393312e-09,thrA,ECB_00002,b0002,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
3,YP_003043232.1,46.8251677166651,-1.95731044445565,0.343354860904627,-5.70054677338421,1.19423758800466e-08,1.8780684155708e-07,thrB,ECB_00003,b0003,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
4,YP_003043233.1,218.159361709715,-2.14146867641101,0.316259762233314,-6.77123343573245,1.27689052040911e-11,3.98624111309611e-10,thrC,ECB_00004,b0004,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
5,YP_003043234.1,0.0930044374909297,0.331806853528348,0.961419517648447,0.345121819806529,0.730002790257122,NA,yaaX,ECB_00005,b0005,1,protein,Exp,Na_mM_Levels,highNa,baseNa
6,YP_003043235.1,27.712779147481,-0.997704850930536,0.326217930684709,-3.05839979070563,0.00222522488551841,0.00719913990243299,yaaA,ECB_00006,b0006,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
7,YP_003043236.1,0.22597316753564,0.789973736689291,0.993193786828479,0.795387312290664,0.426388238051988,0.484525999696525,yaaJ,ECB_00007,b0007,1,protein,Exp,Na_mM_Levels,highNa,baseNa
8,YP_003043237.1,166.249611712895,-2.12656704180574,0.283284974132288,-7.50681199495133,6.05846380976672e-14,3.47832755554384e-12,talB,ECB_00008,b0008,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
9,YP_003043238.1,9.28522516766716,-1.32886288548418,0.352408535648448,-3.7708022112433,0.000162723609067858,0.000842019018595769,mogA,ECB_00009,b0009,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
10,YP_003043239.1,0.0113090176390844,-0.181703218909395,0.723079874880837,-0.25129065988642,0.80158939586667,NA,yaaH,ECB_00010,b0010,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
11,YP_003043242.1,0.376358261932115,1.592023943952,0.97463969429183,1.63344870240357,0.102374661162637,0.144418545017652,yaaI,ECB_00013,b0013,1,protein,Exp,Na_mM_Levels,highNa,baseNa
