,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0345883148751253,-0.0821385253463422,1.11667889896707,-0.0735560826145462,0.941363617421491,NA,thrL,ECB_00001,b0001,-1,protein,Exp,carbonSource,gluconate,glucose
2,YP_003043231.1,216.687687751045,0.528674070162846,0.356344697563618,1.4836030219545,0.137914267223174,0.253607054049775,thrA,ECB_00002,b0002,1,protein,Exp,carbonSource,gluconate,glucose
3,YP_003043232.1,46.8251677166651,0.955613643399373,0.426148799960597,2.2424412399794,0.0249328689756843,0.0881976319141754,thrB,ECB_00003,b0003,1,protein,Exp,carbonSource,gluconate,glucose
4,YP_003043233.1,218.159361709715,0.473687127585751,0.441481351389875,1.07294934677192,0.283293843599903,0.411768747065358,thrC,ECB_00004,b0004,1,protein,Exp,carbonSource,gluconate,glucose
5,YP_003043234.1,0.0930044374909297,-0.00976479518153739,1.31054028342063,-0.00745096911943095,0.994055041784287,NA,yaaX,ECB_00005,b0005,-1,protein,Exp,carbonSource,gluconate,glucose
6,YP_003043235.1,27.712779147481,0.913343110703989,0.414466531844044,2.2036595009019,0.0275482993572873,0.0937250500215594,yaaA,ECB_00006,b0006,1,protein,Exp,carbonSource,gluconate,glucose
7,YP_003043236.1,0.22597316753564,0.563632294971506,1.36837524862523,0.411898925779148,0.680413508192231,NA,yaaJ,ECB_00007,b0007,1,protein,Exp,carbonSource,gluconate,glucose
8,YP_003043237.1,166.249611712895,0.833280507118481,0.404365899773547,2.06070914383516,0.0393307967702617,0.116214422785554,talB,ECB_00008,b0008,1,protein,Exp,carbonSource,gluconate,glucose
9,YP_003043238.1,9.28522516766716,1.37337540771064,0.432578012759199,3.17486179880148,0.00149907879737761,0.0183957776355708,mogA,ECB_00009,b0009,1,protein,Exp,carbonSource,gluconate,glucose
10,YP_003043239.1,0.0113090176390844,0.000548486399387984,1.11663071568652,0.000491197664261607,0.999608080983143,NA,yaaH,ECB_00010,b0010,1,protein,Exp,carbonSource,gluconate,glucose
11,YP_003043242.1,0.376358261932115,-1.54855727067275,1.3556867240246,-1.14226778445951,0.253342727820212,NA,yaaI,ECB_00013,b0013,-1,protein,Exp,carbonSource,gluconate,glucose
12,YP_003043243.1,558.054321034305,0.337302058361368,0.467324345181772,0.721772922466023,0.4704340997131,0.587225898773817,dnaK,ECB_00014,b0014,1,protein,Exp,carbonSource,gluconate,glucose
13,YP_003043244.1,57.2460028449363,0.618124322333908,0.449322892722125,1.37567956662332,0.168920860795819,0.287578766169363,dnaJ,ECB_00015,b0015,1,protein,Exp,carbonSource,gluconate,glucose
14,YP_003043245.1,1.29438702268231,-2.04764810617292,1.28763783452088,-1.59023605184359,0.11178160695179,NA,insL-1,ECB_00016,b0016,-1,protein,Exp,carbonSource,gluconate,glucose
