,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0345883148751253,0.0164399000331462,1.31872231781161,0.0124665365946243,0.990053400566153,NA,thrL,ECB_00001,b0001,1,protein,Exp,carbonSource,glycerol,glucose
2,YP_003043231.1,216.687687751045,0.994554637248679,0.312232827580384,3.18529811537076,0.00144604959678785,0.0100781261452071,thrA,ECB_00002,b0002,1,protein,Exp,carbonSource,glycerol,glucose
3,YP_003043232.1,46.8251677166651,0.968522069715403,0.383466659416244,2.52570085542716,0.0115467755358776,0.039996436079507,thrB,ECB_00003,b0003,1,protein,Exp,carbonSource,glycerol,glucose
4,YP_003043233.1,218.159361709715,1.25810791792707,0.382070712777239,3.29286667586215,0.000991714891627676,0.00774792339906683,thrC,ECB_00004,b0004,1,protein,Exp,carbonSource,glycerol,glucose
5,YP_003043234.1,0.0930044374909297,-0.0208922672882183,1.28962201448075,-0.016200302921031,0.987074593799863,NA,yaaX,ECB_00005,b0005,-1,protein,Exp,carbonSource,glycerol,glucose
6,YP_003043235.1,27.712779147481,0.328032945215801,0.368496830786621,0.890192039143342,0.373362778546038,0.474235712781379,yaaA,ECB_00006,b0006,1,protein,Exp,carbonSource,glycerol,glucose
7,YP_003043236.1,0.22597316753564,-0.398635622129209,1.15300465740759,-0.345736350298445,0.729540863402339,NA,yaaJ,ECB_00007,b0007,-1,protein,Exp,carbonSource,glycerol,glucose
8,YP_003043237.1,166.249611712895,1.52060164087197,0.351758454847276,4.32285740376071,1.54021288601534e-05,0.000355800257337789,talB,ECB_00008,b0008,1,protein,Exp,carbonSource,glycerol,glucose
9,YP_003043238.1,9.28522516766716,0.807756782626239,0.40774383238612,1.98103985509539,0.0475868042552562,0.105307531677207,mogA,ECB_00009,b0009,1,protein,Exp,carbonSource,glycerol,glucose
10,YP_003043239.1,0.0113090176390844,0.132262367208135,1.31863776601028,0.100302274527077,0.920104351789389,NA,yaaH,ECB_00010,b0010,1,protein,Exp,carbonSource,glycerol,glucose
11,YP_003043242.1,0.376358261932115,-1.69076659866853,1.11487049400956,-1.51655874628792,0.129378127655614,NA,yaaI,ECB_00013,b0013,-1,protein,Exp,carbonSource,glycerol,glucose
12,YP_003043243.1,558.054321034305,1.21939315919569,0.398832096579474,3.05740979638711,0.00223258825272799,0.0136809940448656,dnaK,ECB_00014,b0014,1,protein,Exp,carbonSource,glycerol,glucose
13,YP_003043244.1,57.2460028449363,1.17231563278396,0.390052995161021,3.00552911355034,0.00265119214499165,0.0146020205447139,dnaJ,ECB_00015,b0015,1,protein,Exp,carbonSource,glycerol,glucose
14,YP_003043245.1,1.29438702268231,-3.0116203496734,1.00337936650086,-3.0014772579747,0.00268673107312398,0.0147625583959579,insL-1,ECB_00016,b0016,-1,protein,Exp,carbonSource,glycerol,glucose
15,YP_003043246.1,0.0623930766676025,-0.16259467307274,1.32915885041398,-0.122329000045478,0.902638465751959,NA,mokC,ECB_00017,b0018,-1,protein,Exp,carbonSource,glycerol,glucose
16,YP_003043247.1,0.0127108904031998,0.106801521611533,1.31865772148594,0.0809926032141099,0.93544783496007,NA,hokC,ECB_04280,b4412,1,protein,Exp,carbonSource,glycerol,glucose
17,YP_003043248.1,0.21055618026587,-0.0303778101035036,1.1610645947869,-0.0261637554360867,0.97912672495134,NA,nhaA,ECB_00018,b0019,-1,protein,Exp,carbonSource,glycerol,glucose
18,YP_003043249.1,0.910366370777581,-2.93751210187582,0.88050091660945,-3.33618290050998,0.00084937263565847,0.00695557475396909,nhaR,ECB_00019,b0020,-1,protein,Exp,carbonSource,glycerol,glucose
19,YP_003043250.1,0.217864858783771,-0.987114230084641,1.19990801552641,-0.822658251559046,0.410702362670657,NA,cirA,ECB_00020,b2155,-1,protein,Exp,carbonSource,glycerol,glucose
20,YP_003043251.1,0.371526725279389,-1.32060862114662,1.09468801003691,-1.20637899478053,0.227671391421814,NA,yehB,ECB_00021,,-1,protein,Exp,carbonSource,glycerol,glucose
21,YP_003043252.1,0.752232782059621,-1.77837894292075,0.96853386176374,-1.83615567109058,0.0663346366588534,0.13304217258687,yjcF,ECB_00022,,-1,protein,Exp,carbonSource,glycerol,glucose
22,YP_003043253.1,3.79334867155197,-1.28704335014909,0.741440061641753,-1.73586971723544,0.0825868733900647,0.15507979558801,insA-1,ECB_00023,b0022,-1,protein,Exp,carbonSource,glycerol,glucose
23,YP_003043254.1,0.560314056449081,-1.58272095931692,1.08953794777687,-1.45265335874382,0.146320023006507,0.233920415742322,insB-1,ECB_00024,b0021,-1,protein,Exp,carbonSource,glycerol,glucose
24,YP_003043255.1,0.37675923452128,-1.85461066685942,1.13941284107113,-1.62768980654629,0.10359067560158,NA,talA,ECB_00025,,-1,protein,Exp,carbonSource,glycerol,glucose
25,YP_003043256.1,0.418937051511022,-1.94333706877777,1.10290156141834,-1.76202223005163,0.0780655416405631,0.148676425983302,elfG,ECB_00026,,-1,protein,Exp,carbonSource,glycerol,glucose
26,YP_003043257.1,95.3595758280147,1.85849295878677,0.399617676951008,4.65067755001893,3.30846271257139e-06,0.00010840279357211,rpsT,ECB_00027,b0023,1,protein,Exp,carbonSource,glycerol,glucose
27,YP_003043258.1,0.0832747961588443,-0.139218000260653,1.31389733756504,-0.10595805035929,0.915615635719145,NA,yaaY,ECB_00028,b0024,-1,protein,Exp,carbonSource,glycerol,glucose
28,YP_003043259.1,17.8558649947244,0.929011126303406,0.345212871156196,2.69112540095025,0.00712114216717632,0.0287261149482452,ribF,ECB_00029,b0025,1,protein,Exp,carbonSource,glycerol,glucose
29,YP_003043260.1,195.687064359249,0.396717298426808,0.320084471789597,1.23941438398669,0.215192077267374,0.31294876233968,ileS,ECB_00030,b0026,1,protein,Exp,carbonSource,glycerol,glucose
30,YP_003043261.1,0.131625172334323,-0.456828232671594,1.26856472423706,-0.360114248759629,0.718761697675433,NA,lspA,ECB_00031,b0027,-1,protein,Exp,carbonSource,glycerol,glucose
31,YP_003043262.1,7.51749795979738,1.06654699066552,0.421036571399326,2.53314572442205,0.0113043946561042,0.0395407529855672,fkpB,ECB_00032,b0028,1,protein,Exp,carbonSource,glycerol,glucose
32,YP_003043263.1,16.7346637432558,0.854234504449631,0.323721673662043,2.6387930557329,0.00832017534520344,0.0320721284915345,ispH,ECB_00033,b0029,1,protein,Exp,carbonSource,glycerol,glucose
33,YP_003043264.1,3.82427654072715,0.761183268492456,0.616224763900394,1.23523641548345,0.21674253017313,0.314771716140172,rihC,ECB_00034,b0030,1,protein,Exp,carbonSource,glycerol,glucose
34,YP_003043265.1,44.50532980443,0.575995523935287,0.294247011867374,1.95752378343575,0.0502859183510762,0.109412605374056,dapB,ECB_00035,b0031,1,protein,Exp,carbonSource,glycerol,glucose
35,YP_003043266.1,122.536124790818,-0.144914394791461,0.374772344595237,-0.386673128050501,0.698998212346527,0.764209485817058,carA,ECB_00036,b0032,-1,protein,Exp,carbonSource,glycerol,glucose
36,YP_003043267.1,248.148562998404,0.17856755956628,0.275121537516449,0.649049729723917,0.516306233196601,0.611174824850696,carB,ECB_00037,b0033,1,protein,Exp,carbonSource,glycerol,glucose
37,YP_003043268.1,0.756163479817655,-1.16935586496659,0.956612405470226,-1.22239253670539,0.221559220232696,0.31988608640611,caiF,ECB_00038,b0034,-1,protein,Exp,carbonSource,glycerol,glucose
38,YP_003043269.1,0.454225022502969,-1.77674281771552,1.07490434945793,-1.65293108973977,0.0983448889152341,0.176416445981462,caiE,ECB_00039,b0035,-1,protein,Exp,carbonSource,glycerol,glucose
39,YP_003043270.1,1.06228703885925,-2.22959068266591,0.936259899897415,-2.38138008784761,0.0172479051940194,0.0515214809567225,caiD,ECB_00040,b0036,-1,protein,Exp,carbonSource,glycerol,glucose
40,YP_003043271.1,1.60114634231963,-2.75121334274543,0.803637869431754,-3.42344910238089,0.00061831829789312,0.00557702262509778,caiC,ECB_00041,b0037,-1,protein,Exp,carbonSource,glycerol,glucose
41,YP_003043272.1,1.3503467556308,-2.64362289797906,0.968795312568296,-2.72877341960993,0.00635703661047958,0.0267178593668193,caiA,ECB_00043,b0039,-1,protein,Exp,carbonSource,glycerol,glucose
42,YP_003043273.1,0.159431391864235,-0.680255696093422,1.16774641376606,-0.582537174230791,0.560204909381586,NA,caiT,ECB_00044,b0040,-1,protein,Exp,carbonSource,glycerol,glucose
43,YP_003043274.1,0.7494773775633,-2.32446363147849,1.04081004658154,-2.23332167009054,0.0255277394869351,0.068149486057436,fixA,ECB_00045,b0041,-1,protein,Exp,carbonSource,glycerol,glucose
44,YP_003043275.1,0.839119433673463,-2.09017934286577,0.989441780262648,-2.11248340686698,0.0346450077113685,0.0842128082976565,fixB,ECB_00046,b0042,-1,protein,Exp,carbonSource,glycerol,glucose
45,YP_003043276.1,1.14225185089517,-2.73605812935588,0.939653088654268,-2.91177474154249,0.00359381701572718,0.0181831975576217,fixC,ECB_00047,b0043,-1,protein,Exp,carbonSource,glycerol,glucose
46,YP_003043277.1,0.489663016442822,-2.01738640801859,1.14844984197708,-1.75661690592043,0.0789831293981429,0.150156796031638,fixX,ECB_00048,b0044,-1,protein,Exp,carbonSource,glycerol,glucose
47,YP_003043278.1,0.275403193691578,-1.19066095443526,1.19787504806281,-0.993977590868751,0.320233777347315,NA,yaaU,ECB_00049,b0045,-1,protein,Exp,carbonSource,glycerol,glucose
48,YP_003043279.1,0.243734187260242,0.478155384048238,1.08775593747115,0.439579658981104,0.660241575757983,NA,yabF,ECB_00050,b0046,1,protein,Exp,carbonSource,glycerol,glucose
49,YP_003043280.1,1.64823129526869,-1.86019878624881,0.887769374677751,-2.09536264632246,0.0361387674233085,0.0867925072522392,kefC,ECB_00051,b0047,-1,protein,Exp,carbonSource,glycerol,glucose
50,YP_003043281.1,9.18729934005604,1.73439352939765,0.464623425120075,3.73290160509969,0.0001892865522989,0.0023304858027218,folA,ECB_00052,b0048,1,protein,Exp,carbonSource,glycerol,glucose
51,YP_003043282.1,6.20248673907763,0.206460305908996,0.439124190380682,0.470163817962325,0.63823798222149,0.714319331095574,apaH,ECB_00053,b0049,1,protein,Exp,carbonSource,glycerol,glucose
52,YP_003043283.1,2.56200979625643,0.803334917444816,0.51124512369375,1.5713302293051,0.116105963031674,0.199162860677246,apaG,ECB_00054,b0050,1,protein,Exp,carbonSource,glycerol,glucose
53,YP_003043284.1,12.7463413770524,-0.0160029597007291,0.473022071178719,-0.0338313171325209,0.973011662772814,0.980339017622687,ksgA,ECB_00055,b0051,-1,protein,Exp,carbonSource,glycerol,glucose
54,YP_003043285.1,14.3632686764386,0.373209738090638,0.379507330612221,0.983405873843271,0.32540772052682,0.42654927315729,pdxA,ECB_00056,b0052,1,protein,Exp,carbonSource,glycerol,glucose
55,YP_003043286.1,75.050242917546,1.13583512864806,0.334282264598172,3.3978324575891,0.000679220033693933,0.00594271261087526,surA,ECB_00057,b0053,1,protein,Exp,carbonSource,glycerol,glucose
56,YP_003043287.1,84.3334952740736,0.549649371582421,0.391112548182011,1.40534834317469,0.159917719473441,0.249633348191161,imp,ECB_00058,b0054,1,protein,Exp,carbonSource,glycerol,glucose
57,YP_003043288.1,12.3231384855018,-0.800512447665112,0.379228862789107,-2.11089536217681,0.034781306815557,0.0843889725975716,djlA,ECB_00059,b0055,-1,protein,Exp,carbonSource,glycerol,glucose
58,YP_003043289.1,0.982978308219273,-2.06272456894761,0.835269029437897,-2.46953316386667,0.0135289477627809,0.044373290363932,rluA,ECB_00060,b0058,-1,protein,Exp,carbonSource,glycerol,glucose
59,YP_003043290.1,27.434755493415,-1.22517413941612,0.327340824328985,-3.7428088657368,0.000181974646277619,0.00228995423329817,hepA,ECB_00061,b0059,-1,protein,Exp,carbonSource,glycerol,glucose
60,YP_003043291.1,2.43685923928765,-2.86887864971625,0.839197632465558,-3.41859716797282,0.00062944838789711,0.00562996872851705,polB,ECB_00062,b0060,-1,protein,Exp,carbonSource,glycerol,glucose
61,YP_003043292.1,0.418074454980581,-0.433739291291591,0.96251609570753,-0.450630688905785,0.652255744421776,0.725707967892696,araD,ECB_00063,b0061,-1,protein,Exp,carbonSource,glycerol,glucose
62,YP_003043293.1,1.4123156413129,-0.686216499616194,0.869260029178317,-0.789426036608231,0.42986304327458,0.528052503120667,araA,ECB_00064,b0062,-1,protein,Exp,carbonSource,glycerol,glucose
