,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0345883148751253,-0.03392585320382,0.503255606703885,-0.0674127674920907,0.946253105322316,NA,thrL,ECB_00001,b0001,-1,protein,Exp,carbonSource,lactate,glucose
2,YP_003043231.1,216.687687751045,0.0116741161746184,0.417935193648219,0.0279328382774211,0.977715717497644,0.986463072432556,thrA,ECB_00002,b0002,1,protein,Exp,carbonSource,lactate,glucose
3,YP_003043232.1,46.8251677166651,0.376262049514174,0.480549752760658,0.78298250566695,0.433637385344533,0.5700888243151,thrB,ECB_00003,b0003,1,protein,Exp,carbonSource,lactate,glucose
4,YP_003043233.1,218.159361709715,-0.209326668554773,0.498468522539417,-0.419939593152986,0.674529582989039,0.770491664546872,thrC,ECB_00004,b0004,-1,protein,Exp,carbonSource,lactate,glucose
5,YP_003043234.1,0.0930044374909297,-0.0777015382183631,0.659306644923965,-0.117853412849076,0.906183807066975,NA,yaaX,ECB_00005,b0005,-1,protein,Exp,carbonSource,lactate,glucose
6,YP_003043235.1,27.712779147481,0.408328980218053,0.430668107278564,0.948129135445681,0.34306371750803,0.483053963188094,yaaA,ECB_00006,b0006,1,protein,Exp,carbonSource,lactate,glucose
7,YP_003043236.1,0.22597316753564,-0.238595228688281,0.759846441865513,-0.31400453505119,0.753517594377104,NA,yaaJ,ECB_00007,b0007,-1,protein,Exp,carbonSource,lactate,glucose
8,YP_003043237.1,166.249611712895,0.566069813821676,0.449216094005291,1.26012807950511,0.207623162272062,0.351613014059375,talB,ECB_00008,b0008,1,protein,Exp,carbonSource,lactate,glucose
9,YP_003043238.1,9.28522516766716,0.753741880432241,0.449685338372072,1.67615400395507,0.0937080310024501,0.211739184806083,mogA,ECB_00009,b0009,1,protein,Exp,carbonSource,lactate,glucose
10,YP_003043239.1,0.0113090176390844,0.00419369255813273,0.503229274652043,0.00833356239267368,0.993350856192401,NA,yaaH,ECB_00010,b0010,1,protein,Exp,carbonSource,lactate,glucose
11,YP_003043242.1,0.376358261932115,-0.840386057257695,0.764624226484575,-1.09908374355524,0.271731540008686,NA,yaaI,ECB_00013,b0013,-1,protein,Exp,carbonSource,lactate,glucose
12,YP_003043243.1,558.054321034305,-0.0313139121782159,0.487748443299806,-0.064200947452267,0.948810222995352,0.967926876336953,dnaK,ECB_00014,b0014,-1,protein,Exp,carbonSource,lactate,glucose
13,YP_003043244.1,57.2460028449363,0.620965120994639,0.466803501706386,1.33024949196979,0.183436082466113,0.323337170168591,dnaJ,ECB_00015,b0015,1,protein,Exp,carbonSource,lactate,glucose
14,YP_003043245.1,1.29438702268231,-1.04144403082593,0.791593804753283,-1.31562933485882,0.188298482660566,0.329223774123231,insL-1,ECB_00016,b0016,-1,protein,Exp,carbonSource,lactate,glucose
15,YP_003043246.1,0.0623930766676025,-0.0935947816643899,0.560878180447789,-0.166871853687848,0.867470880093319,NA,mokC,ECB_00017,b0018,-1,protein,Exp,carbonSource,lactate,glucose
16,YP_003043247.1,0.0127108904031998,0.00156769196658518,0.503230717369565,0.00311525491682952,0.997514390219294,NA,hokC,ECB_04280,b4412,1,protein,Exp,carbonSource,lactate,glucose
