,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0345170641396138,0.0357352152125257,0.718463724329498,0.0497383709189707,0.960330878714725,NA,thrL,ECB_00001,b0001,1,protein,Exp,Na_mM_Levels,highNa,baseNa
2,YP_003043231.1,216.697240562313,-1.84861556709344,0.283670249715842,-6.51677632372529,7.18344185334758e-11,1.64082542080578e-09,thrA,ECB_00002,b0002,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
3,YP_003043232.1,46.8253436262275,-2.17818868407701,0.362749558855805,-6.00466253066582,1.91730268079611e-09,3.31078726076227e-08,thrB,ECB_00003,b0003,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
4,YP_003043233.1,218.194234108105,-2.45366706137367,0.358136850322081,-6.85119964384294,7.32332264499979e-12,2.22099759880708e-10,thrC,ECB_00004,b0004,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
5,YP_003043234.1,0.0928836879676988,0.335336343308253,0.962979762318357,0.348227819970937,0.727669096406215,NA,yaaX,ECB_00005,b0005,1,protein,Exp,Na_mM_Levels,highNa,baseNa
6,YP_003043235.1,27.7100935097974,-1.16275869625763,0.333666490486991,-3.48479313748459,0.000492517648110351,0.00206206054759891,yaaA,ECB_00006,b0006,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
7,YP_003043236.1,0.225682431780626,0.77925241619753,0.990298449421299,0.786886434743891,0.431348349171244,0.48617619992474,yaaJ,ECB_00007,b0007,1,protein,Exp,Na_mM_Levels,highNa,baseNa
8,YP_003043237.1,166.253703628128,-2.19871148521986,0.281989856239312,-7.79712970722577,6.33311366008618e-15,4.39542446139443e-13,talB,ECB_00008,b0008,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
9,YP_003043238.1,9.28467546095552,-1.38971473737735,0.348581229666568,-3.98677444194763,6.69776442429386e-05,0.000362402275971162,mogA,ECB_00009,b0009,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
10,YP_003043239.1,0.0112771630477337,-0.180498683716166,0.717653747868946,-0.251512214981322,0.801418119471426,NA,yaaH,ECB_00010,b0010,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
11,YP_003043242.1,0.375689217541884,1.5698667853657,0.972657912934015,1.61399682713751,0.106528114502841,0.151124200173251,yaaI,ECB_00013,b0013,1,protein,Exp,Na_mM_Levels,highNa,baseNa
12,YP_003043243.1,558.093342657303,-1.85952061350528,0.335721679883955,-5.5388755773772,3.04419815866014e-08,3.59036312241975e-07,dnaK,ECB_00014,b0014,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
13,YP_003043244.1,57.2474780754874,-1.89834953135954,0.320726341377536,-5.91890744990272,3.24087261926324e-09,5.15255915547182e-08,dnaJ,ECB_00015,b0015,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
14,YP_003043245.1,1.29222026764967,2.7270320545562,0.885011854453048,3.0813508777705,0.00206063664785704,0.00657522461348071,insL-1,ECB_00016,b0016,1,protein,Exp,Na_mM_Levels,highNa,baseNa
