,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0345170641396138,-0.00607671666602093,0.694037334782086,-0.00875560486660115,0.993014127313447,NA,thrL,ECB_00001,b0001,-1,protein,Exp,carbonSource,glycerol,glucose
2,YP_003043231.1,216.697240562313,-0.785618947463976,0.238364700767263,-3.29586950137825,0.000981175806275925,0.00637764274079351,thrA,ECB_00002,b0002,-1,protein,Exp,carbonSource,glycerol,glucose
3,YP_003043232.1,46.8253436262275,-1.07300776236999,0.285593165245011,-3.75711989273082,0.000171880160361611,0.0017038555027151,thrB,ECB_00003,b0003,-1,protein,Exp,carbonSource,glycerol,glucose
4,YP_003043233.1,218.194234108105,-1.12323571875806,0.292553200572694,-3.8394237921829,0.000123323400576061,0.00137831973563368,thrC,ECB_00004,b0004,-1,protein,Exp,carbonSource,glycerol,glucose
5,YP_003043234.1,0.0928836879676988,-0.00890559316990842,0.834726753575099,-0.0106688723366852,0.991487632968153,NA,yaaX,ECB_00005,b0005,-1,protein,Exp,carbonSource,glycerol,glucose
6,YP_003043235.1,27.7100935097974,-0.714414298279958,0.255300766595197,-2.79832414061148,0.00513685335920006,0.0224898572476647,yaaA,ECB_00006,b0006,-1,protein,Exp,carbonSource,glycerol,glucose
7,YP_003043236.1,0.225682431780626,-0.234815260619602,0.837539986165199,-0.280363044748154,0.77919898655136,NA,yaaJ,ECB_00007,b0007,-1,protein,Exp,carbonSource,glycerol,glucose
8,YP_003043237.1,166.253703628128,-0.277070161368793,0.258768062209954,-1.07072781317189,0.284291833099082,0.40668001607417,talB,ECB_00008,b0008,-1,protein,Exp,carbonSource,glycerol,glucose
9,YP_003043238.1,9.28467546095552,-0.293868410277108,0.279152051842449,-1.05271807367178,0.292470222673066,0.414974504549051,mogA,ECB_00009,b0009,-1,protein,Exp,carbonSource,glycerol,glucose
10,YP_003043239.1,0.0112771630477337,0.0492443379555861,0.694000278891637,0.070957230787043,0.943431794535131,NA,yaaH,ECB_00010,b0010,1,protein,Exp,carbonSource,glycerol,glucose
