,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469602329412727,0,0.649730328083493,0,1,NA,thrL,ECB_00001,b0001,0,protein,Sta,carbonSource,lactate,glycerol
2,YP_003043231.1,182.898722036479,0.912422864773667,0.620187578190644,1.47120467558476,0.141235773117787,0.251274889522811,thrA,ECB_00002,b0002,1,protein,Sta,carbonSource,lactate,glycerol
3,YP_003043232.1,41.9621076184805,1.3783987620333,0.675556761676701,2.04038926146218,0.0413115706128108,0.11917995691533,thrB,ECB_00003,b0003,1,protein,Sta,carbonSource,lactate,glycerol
4,YP_003043233.1,178.921538549459,0.960659704833609,0.696650368194653,1.3789696362655,0.167904115890082,0.286303015162843,thrC,ECB_00004,b0004,1,protein,Sta,carbonSource,lactate,glycerol
5,YP_003043234.1,0.15122134955216,0,0.828684005863549,0,1,NA,yaaX,ECB_00005,b0005,0,protein,Sta,carbonSource,lactate,glycerol
6,YP_003043235.1,27.0289230626919,0.949119253773574,0.567265337280094,1.67314868615872,0.0942980291280303,0.194659957612849,yaaA,ECB_00006,b0006,1,protein,Sta,carbonSource,lactate,glycerol
7,YP_003043236.1,0.0984377045983535,0,0.713679096907433,0,1,NA,yaaJ,ECB_00007,b0007,0,protein,Sta,carbonSource,lactate,glycerol
8,YP_003043237.1,145.403055904449,1.16918164401058,0.661403415943664,1.76772846318376,0.0771063092127769,0.169993551738555,talB,ECB_00008,b0008,1,protein,Sta,carbonSource,lactate,glycerol
9,YP_003043238.1,8.86515360498028,1.29937314740747,0.598479907496089,2.17112242388182,0.0299219194063372,0.0967548196861852,mogA,ECB_00009,b0009,1,protein,Sta,carbonSource,lactate,glycerol
10,YP_003043239.1,0.0379747773232496,0,0.649727178990774,0,1,NA,yaaH,ECB_00010,b0010,0,protein,Sta,carbonSource,lactate,glycerol
11,YP_003043242.1,0.461288573595087,-0.202864642161542,1.00806742634836,-0.20124114405363,0.840510021207755,NA,yaaI,ECB_00013,b0013,-1,protein,Sta,carbonSource,lactate,glycerol
12,YP_003043243.1,564.910001082785,0.70871660577355,0.636925862274406,1.11271444252991,0.265831090722416,0.391760389853726,dnaK,ECB_00014,b0014,1,protein,Sta,carbonSource,lactate,glycerol
13,YP_003043244.1,54.5280383354972,0.999365515856731,0.610796894341989,1.63616666213299,0.101804711605004,0.203885566189045,dnaJ,ECB_00015,b0015,1,protein,Sta,carbonSource,lactate,glycerol
14,YP_003043245.1,1.65526621901174,1.03824013437379,1.03812932386002,1.00010674056808,0.317258854434631,0.444079826153523,insL-1,ECB_00016,b0016,1,protein,Sta,carbonSource,lactate,glycerol
15,YP_003043246.1,0.0846188867323091,0,0.649734205561649,0,1,NA,mokC,ECB_00017,b0018,0,protein,Sta,carbonSource,lactate,glycerol
16,YP_003043247.1,0,NA,NA,NA,NA,NA,hokC,ECB_04280,b4412,NA,protein,Sta,carbonSource,lactate,glycerol
17,YP_003043248.1,0.120858740878878,0.1175886655506,0.680937231922932,0.172686497430219,0.862897857826795,NA,nhaA,ECB_00018,b0019,1,protein,Sta,carbonSource,lactate,glycerol
