,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469602329412727,0.0379199453102425,0.657635409548871,0.0576610455575303,0.954018623184876,NA,thrL,ECB_00001,b0001,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
2,YP_003043231.1,182.898722036479,-0.0673779584142986,0.472685360089427,-0.142542934694553,0.88665116859997,0.991638566914026,thrA,ECB_00002,b0002,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
3,YP_003043232.1,41.9621076184805,-0.354032291296197,0.525562233050351,-0.673625822086572,0.500549232165236,0.885889075261043,thrB,ECB_00003,b0003,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
4,YP_003043233.1,178.921538549459,-0.157394488067984,0.521911462163469,-0.301573158434842,0.762977472315367,0.984206779881244,thrC,ECB_00004,b0004,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
5,YP_003043234.1,0.15122134955216,-0.127913327379873,0.759893892840431,-0.168330511121417,0.866323271917206,NA,yaaX,ECB_00005,b0005,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
6,YP_003043235.1,27.0289230626919,-0.1811202267469,0.458297665549425,-0.39520215868821,0.692693699684192,0.970580044621937,yaaA,ECB_00006,b0006,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
7,YP_003043236.1,0.0984377045983535,-0.023876050052331,0.675055280941197,-0.0353690293616277,0.971785480242394,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
8,YP_003043237.1,145.403055904449,-0.0728043776282152,0.514855177149737,-0.141407488667519,0.887548038616486,0.991638566914026,talB,ECB_00008,b0008,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
9,YP_003043238.1,8.86515360498028,-0.360662283883527,0.531541438482597,-0.678521480682893,0.497441108796172,0.885577716870826,mogA,ECB_00009,b0009,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
10,YP_003043239.1,0.0379747773232496,0,0.657584834817121,0,1,NA,yaaH,ECB_00010,b0010,0,protein,Sta,Mg_mM_Levels,highMg,baseMg
11,YP_003043242.1,0.461288573595087,-0.691232976395507,0.844287337199719,-0.818717687615861,0.412947502738502,NA,yaaI,ECB_00013,b0013,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
12,YP_003043243.1,564.910001082785,-0.0323805237132009,0.48487860476842,-0.0667806815866129,0.946756302932863,0.991638566914026,dnaK,ECB_00014,b0014,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
13,YP_003043244.1,54.5280383354972,-0.222759426143955,0.500480692244133,-0.44509094875391,0.65625402960211,0.960934071296323,dnaJ,ECB_00015,b0015,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
14,YP_003043245.1,1.65526621901174,-1.60107460383437,0.845366300258444,-1.89394183721884,0.0582327304642953,0.331303541413994,insL-1,ECB_00016,b0016,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
15,YP_003043246.1,0.0846188867323091,-0.0204053199684696,0.657691760059688,-0.0310256585343531,0.975249076968356,NA,mokC,ECB_00017,b0018,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
16,YP_003043247.1,0,NA,NA,NA,NA,NA,hokC,ECB_04280,b4412,NA,protein,Sta,Mg_mM_Levels,highMg,baseMg
17,YP_003043248.1,0.120858740878878,-0.0164006212843573,0.657687370752852,-0.0249368043445681,0.980105370732413,NA,nhaA,ECB_00018,b0019,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
18,YP_003043249.1,0.941684254827683,-0.684920384234072,0.845169495273267,-0.810394113919857,0.417713699735337,NA,nhaR,ECB_00019,b0020,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
19,YP_003043250.1,0.43054600563908,-0.10428984905428,0.83100426644053,-0.125498572349078,0.900128855204392,NA,cirA,ECB_00020,b2155,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
20,YP_003043251.1,0.413631177081074,-0.458986205375794,0.815284417481276,-0.562976791331027,0.573450687837376,NA,yehB,ECB_00021,,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
21,YP_003043252.1,1.15028634592556,-1.39251672505056,0.832230823445799,-1.67323377820222,0.0942812831563372,NA,yjcF,ECB_00022,,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
22,YP_003043253.1,1.04433731411894,-1.09722242708665,0.829683307695113,-1.32245932503423,0.186015245259933,NA,insA-1,ECB_00023,b0022,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
23,YP_003043254.1,0.414086344902107,-0.530374612227389,0.829152455475883,-0.639658736731336,0.522394487233151,NA,insB-1,ECB_00024,b0021,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
24,YP_003043255.1,0.340065697955044,-0.436198180789208,0.824108867809959,-0.5292967929691,0.596599579975339,NA,talA,ECB_00025,,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
25,YP_003043256.1,0.567479738439909,-0.794923916136238,0.842106374078789,-0.943970905107843,0.34518451636173,NA,elfG,ECB_00026,,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
26,YP_003043257.1,58.5844955001369,-0.0429716133756155,0.51060147487536,-0.0841588116957655,0.932930165469656,0.991638566914026,rpsT,ECB_00027,b0023,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
27,YP_003043258.1,0.0591226416862088,0.0104254532921713,0.657660877253223,0.0158523239754113,0.987352205173137,NA,yaaY,ECB_00028,b0024,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
28,YP_003043259.1,14.1640835158074,-0.313244166555521,0.500222261992613,-0.626209967760585,0.531177230102722,0.899285941155433,ribF,ECB_00029,b0025,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
29,YP_003043260.1,178.511710792806,-0.0438613418801543,0.480554370127531,-0.0912723816631076,0.927276162609758,0.991638566914026,ileS,ECB_00030,b0026,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
30,YP_003043261.1,0.140525780195661,-0.0937261071779497,0.716819010158342,-0.130752820237351,0.89597084647051,NA,lspA,ECB_00031,b0027,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
31,YP_003043262.1,7.78852050249634,-0.0344320117355431,0.564786824543314,-0.0609646157439753,0.951387389161297,0.991638566914026,fkpB,ECB_00032,b0028,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
32,YP_003043263.1,9.93395657419997,-0.412893571303031,0.52341458124154,-0.788846138607081,0.430201939176986,0.840913617046352,ispH,ECB_00033,b0029,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
33,YP_003043264.1,5.60512318686036,-0.707742097719191,0.656669945992564,-1.07777446194744,0.281134419012505,0.690368889260199,rihC,ECB_00034,b0030,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
34,YP_003043265.1,39.9100866879575,0.280737711346737,0.445615439382555,0.629999965296821,0.528694606936464,0.899285941155433,dapB,ECB_00035,b0031,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
35,YP_003043266.1,99.6489814204791,-0.124172023262234,0.463176869641367,-0.268087703426079,0.788631810750343,0.989837229054388,carA,ECB_00036,b0032,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
36,YP_003043267.1,223.506300257316,-0.0486640859652676,0.433002205493781,-0.112387616847754,0.910516073445004,0.991638566914026,carB,ECB_00037,b0033,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
37,YP_003043268.1,0.686030988183574,-0.722940185735263,0.841526038629737,-0.859082372439042,0.390295071875128,NA,caiF,ECB_00038,b0034,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
38,YP_003043269.1,0.440732725872068,-0.761384971979786,0.845160959877851,-0.900875700753887,0.367654412240101,NA,caiE,ECB_00039,b0035,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
39,YP_003043270.1,1.06492400104235,-1.45128588724277,0.821376219305625,-1.76689542883243,0.0772457427191659,NA,caiD,ECB_00040,b0036,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
40,YP_003043271.1,1.11529341483959,-1.39508516188199,0.842732242429601,-1.65543109856573,0.0978370820977899,NA,caiC,ECB_00041,b0037,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
41,YP_003043272.1,1.44734979176615,-1.51613466876508,0.844312109692786,-1.79570404280563,0.0725415985821768,0.356313465696954,caiA,ECB_00043,b0039,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
42,YP_003043273.1,0.221347481503169,-0.300194893496354,0.827957880537098,-0.362572662877025,0.716924134456801,NA,caiT,ECB_00044,b0040,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
43,YP_003043274.1,0.793389049509181,-1.07790752569585,0.844799241894572,-1.2759333487072,0.201979081150804,NA,fixA,ECB_00045,b0041,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
44,YP_003043275.1,1.3165942263568,-1.19157873316748,0.810563268336254,-1.47006258452013,0.141544804614257,NA,fixB,ECB_00046,b0042,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
45,YP_003043276.1,1.11744230002643,-1.72570975245019,0.824091613861853,-2.09407512881145,0.0362532882278599,NA,fixC,ECB_00047,b0043,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
46,YP_003043277.1,0.799481114115961,-0.968606884390111,0.843277937141333,-1.14862116240541,0.250712226924326,NA,fixX,ECB_00048,b0044,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
47,YP_003043278.1,0.277913006393609,-0.341059703056842,0.820337877703584,-0.415755156901433,0.677589175738556,NA,yaaU,ECB_00049,b0045,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
48,YP_003043279.1,0.813874575550085,-0.208165171672034,0.803905121406625,-0.258942462398795,0.79567963493396,NA,yabF,ECB_00050,b0046,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
49,YP_003043280.1,2.00995368428588,-1.43711984806744,0.783664208305719,-1.83384647765717,0.0666767863317431,0.345398941252257,kefC,ECB_00051,b0047,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
50,YP_003043281.1,10.9168307208588,-1.37620799465462,0.642477240424752,-2.14203384659165,0.0321907585021267,0.258498158445685,folA,ECB_00052,b0048,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
51,YP_003043282.1,3.83341909738491,-0.531460939964457,0.658066559082781,-0.807609705476011,0.419315297819947,0.826924710864587,apaH,ECB_00053,b0049,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
52,YP_003043283.1,3.89745352554197,0.23675067545877,0.579516286284559,0.40853153062642,0.682883486779385,0.970580044621937,apaG,ECB_00054,b0050,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
53,YP_003043284.1,10.0056134013168,-0.299644214312764,0.538167905825735,-0.556785737441936,0.577673829685243,0.919320900468447,ksgA,ECB_00055,b0051,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
54,YP_003043285.1,13.0926433981141,0.104082167728207,0.519508937136301,0.200347213085383,0.841209040275029,0.991638566914026,pdxA,ECB_00056,b0052,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
55,YP_003043286.1,79.4668254168488,-0.252544780892932,0.494695327862591,-0.51050569243112,0.609697227587787,0.937833616499571,surA,ECB_00057,b0053,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
56,YP_003043287.1,84.8661911771343,-0.602190690008824,0.503881616032418,-1.19510351409622,0.232046589197962,0.637696271803332,imp,ECB_00058,b0054,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
57,YP_003043288.1,11.7227324037673,-0.919972268261942,0.506067882637592,-1.8178831335178,0.0690819967339794,0.350373785706905,djlA,ECB_00059,b0055,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
58,YP_003043289.1,0.796569476394407,-1.07350052668157,0.83416708248481,-1.28691307679492,0.198124586848435,NA,rluA,ECB_00060,b0058,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
59,YP_003043290.1,21.4382399314976,-0.587642802960209,0.434182836572455,-1.35344549222444,0.175913352428035,0.554264687948929,hepA,ECB_00061,b0059,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
60,YP_003043291.1,3.04108001103151,-1.33278168094346,0.793009102009479,-1.68066378754821,0.0928282382034555,0.397707055359098,polB,ECB_00062,b0060,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
61,YP_003043292.1,1.65951587146141,-2.42260018119311,0.833485322421876,-2.90659009345685,0.00365391660960306,0.103761862695779,araD,ECB_00063,b0061,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
62,YP_003043293.1,8.42880628236444,-3.85780379366672,0.734013148243077,-5.25576933179018,1.47406953365778e-07,0.000163253200852599,araA,ECB_00064,b0062,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
63,YP_003043294.1,4.05847204699917,-3.85321880665355,0.791755746556518,-4.86667614780424,1.13490772232462e-06,0.000628455151237257,araB,ECB_00065,b0063,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
64,YP_003043295.1,1.28973710052413,-1.74130763715252,0.815796836971183,-2.13448687006129,0.0328029473116671,NA,araC,ECB_00066,b0064,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
65,YP_003043296.1,0.238739022320354,-0.0343805601934039,0.839864198157158,-0.0409358563787362,0.967347032137754,NA,yabI,ECB_00067,b0065,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
66,YP_003043297.1,1.38512824849048,-1.36530604402046,0.833009936350931,-1.63900331129457,0.10121257007415,NA,thiQ,ECB_00068,b0066,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
67,YP_003043298.1,0.334048877876975,-0.327812290142853,0.824111700797515,-0.397776526926653,0.690794921392724,NA,thiP,ECB_00069,b0067,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
68,YP_003043299.1,1.83173005580711,-1.69913362751519,0.794640338201581,-2.13824235422109,0.0324970784794946,0.259629906221669,tbpA,ECB_00070,b0068,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
69,YP_003043300.1,1.01122250634802,-1.33842630233246,0.842214301659442,-1.58917546246284,0.112020784600037,NA,yabN,ECB_00071,b0069,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
70,YP_003043301.1,0.373332792981215,-0.292067923886224,0.841705009062421,-0.346995587220706,0.728594633943752,NA,setA,ECB_00072,b0070,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
71,YP_003043302.1,72.6730123092557,-0.628908001070079,0.534674764787815,-1.17624403186423,0.23949737375878,0.645290804692338,leuD,ECB_00073,b0071,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
72,YP_003043303.1,132.701296671323,-0.403921630375997,0.478119274564954,-0.84481352638111,0.398214961190571,0.804052998210679,leuC,ECB_00074,b0072,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
73,YP_003043304.1,98.0135937724536,-0.550318205859941,0.485801201256627,-1.13280536243308,0.25729599904609,0.668909199397992,leuB,ECB_00075,b0073,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
74,YP_003043305.1,127.314370188958,-0.713541009583169,0.521966903795096,-1.36702347293513,0.171617948186964,0.549326235887463,leuA,ECB_00076,b0074,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
75,YP_003043306.1,0,NA,NA,NA,NA,NA,leuL,ECB_00077,b0075,NA,protein,Sta,Mg_mM_Levels,highMg,baseMg
76,YP_003043307.1,0.725661236870157,-0.92467363835959,0.832553664578971,-1.11064749060615,0.266720112475245,NA,leuO,ECB_00078,b0076,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
77,YP_003043308.1,60.9784370287165,0.0716191998972615,0.5109359602331,0.140172556781064,0.888523654322166,0.991638566914026,ilvI,ECB_00079,b0077,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
78,YP_003043309.1,19.2985495621849,-0.287645276480047,0.46038568625686,-0.624791962623188,0.532107606467601,0.899285941155433,ilvH,ECB_00080,b0078,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
79,YP_003043310.1,16.6095123030781,-0.94711730412916,0.589119521943265,-1.60768276869354,0.10790467434061,0.424527271162436,fruR,ECB_00081,b0080,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
80,YP_003043311.1,8.84595704810756,0.225482685354491,0.459102888827004,0.491137587765115,0.623329138075637,0.943083361227824,yabB,ECB_00082,b0081,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
81,YP_003043312.1,29.8170449112538,0.125785332105078,0.421151006607618,0.298670382194458,0.765191557685346,0.984262079136494,mraW,ECB_00083,b0082,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
82,YP_003043313.1,0.466468044553177,-0.306301903853484,0.836559002128973,-0.366145009585661,0.714256873127515,NA,ftsL,ECB_00084,b0083,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
83,YP_003043314.1,1.74818286347551,-0.517809302844422,0.805336299090477,-0.642972759863452,0.520241775470066,0.897943340751996,ftsI,ECB_00085,b0084,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
84,YP_003043315.1,30.3296869290336,0.395562706243558,0.609316611971486,0.649190746603294,0.516215092019579,0.897943340751996,murE,ECB_00086,b0085,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
85,YP_003043316.1,12.1545049815063,0.177732293482603,0.541959257713448,0.327944012309087,0.742953995232595,0.980243644345003,murF,ECB_00087,b0086,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
86,YP_003043317.1,0.606094205569739,0.149695246244172,0.844070367449902,0.177349249561301,0.859234068301925,NA,mraY,ECB_00088,b0087,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
