,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469602329412727,-0.144571858006507,1.31740241948429,-0.109740088425753,0.912615506434071,NA,thrL,ECB_00001,b0001,-1,protein,Sta,carbonSource,gluconate,glucose
2,YP_003043231.1,182.898722036479,0.441489458300572,0.451605531584153,0.97759975780612,0.328272317186599,0.473359097529604,thrA,ECB_00002,b0002,1,protein,Sta,carbonSource,gluconate,glucose
3,YP_003043232.1,41.9621076184805,0.705994415341217,0.433663596115987,1.6279771271195,0.103529735811589,0.249638648666765,thrB,ECB_00003,b0003,1,protein,Sta,carbonSource,gluconate,glucose
4,YP_003043233.1,178.921538549459,0.584774123766196,0.518572601640471,1.12766104864835,0.259463093673404,0.420054636361731,thrC,ECB_00004,b0004,1,protein,Sta,carbonSource,gluconate,glucose
5,YP_003043234.1,0.15122134955216,-0.245498769439232,1.44274779767357,-0.170160557399636,0.864883869928731,NA,yaaX,ECB_00005,b0005,-1,protein,Sta,carbonSource,gluconate,glucose
6,YP_003043235.1,27.0289230626919,0.727100569000974,0.459703747514788,1.58167205060164,0.113724456369046,0.262933900207524,yaaA,ECB_00006,b0006,1,protein,Sta,carbonSource,gluconate,glucose
7,YP_003043236.1,0.0984377045983535,-0.317826230990218,1.36199834701235,-0.233352875711923,0.815487402805062,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,carbonSource,gluconate,glucose
8,YP_003043237.1,145.403055904449,0.571666082072368,0.490802318753152,1.16475831557733,0.244116836386758,0.403833588255304,talB,ECB_00008,b0008,1,protein,Sta,carbonSource,gluconate,glucose
9,YP_003043238.1,8.86515360498028,0.792916927803212,0.453450326308506,1.74863018460759,0.0803549651867439,0.215423989583557,mogA,ECB_00009,b0009,1,protein,Sta,carbonSource,gluconate,glucose
10,YP_003043239.1,0.0379747773232496,-0.0226408996695573,1.31726470442125,-0.017187813196213,0.986286784415235,NA,yaaH,ECB_00010,b0010,-1,protein,Sta,carbonSource,gluconate,glucose
11,YP_003043242.1,0.461288573595087,-1.01654083763948,1.40090161000754,-0.725633285291181,0.468063610303982,NA,yaaI,ECB_00013,b0013,-1,protein,Sta,carbonSource,gluconate,glucose
12,YP_003043243.1,564.910001082785,0.489341815044769,0.469603088278357,1.04203278738813,0.29739647806467,0.449464648859777,dnaK,ECB_00014,b0014,1,protein,Sta,carbonSource,gluconate,glucose
13,YP_003043244.1,54.5280383354972,0.82525538690294,0.462978538888533,1.78249166556212,0.0746690891536806,0.208020673960776,dnaJ,ECB_00015,b0015,1,protein,Sta,carbonSource,gluconate,glucose
14,YP_003043245.1,1.65526621901174,-2.58468175269103,1.33468407389638,-1.93654948256444,0.0528004382718353,0.172112987796777,insL-1,ECB_00016,b0016,-1,protein,Sta,carbonSource,gluconate,glucose
15,YP_003043246.1,0.0846188867323091,-0.280785027406765,1.3175377692768,-0.213113455989112,0.83123846936304,NA,mokC,ECB_00017,b0018,-1,protein,Sta,carbonSource,gluconate,glucose
16,YP_003043247.1,0,NA,NA,NA,NA,NA,hokC,ECB_04280,b4412,NA,protein,Sta,carbonSource,gluconate,glucose
17,YP_003043248.1,0.120858740878878,-0.0833839059119079,1.32789287835779,-0.0627941509973523,0.949930423506953,NA,nhaA,ECB_00018,b0019,-1,protein,Sta,carbonSource,gluconate,glucose
18,YP_003043249.1,0.941684254827683,-2.36035363197362,1.3376144297527,-1.76459940882217,0.0776311149157542,NA,nhaR,ECB_00019,b0020,-1,protein,Sta,carbonSource,gluconate,glucose
19,YP_003043250.1,0.43054600563908,-1.46478442835474,1.44592407404805,-1.01304380682582,0.311039237038288,NA,cirA,ECB_00020,b2155,-1,protein,Sta,carbonSource,gluconate,glucose
20,YP_003043251.1,0.413631177081074,-1.34536397358624,1.46135627120129,-0.92062695463051,0.357245224407128,NA,yehB,ECB_00021,,-1,protein,Sta,carbonSource,gluconate,glucose
21,YP_003043252.1,1.15028634592556,0.883111986729969,1.10018778038945,0.802692051730806,0.422152748099368,NA,yjcF,ECB_00022,,1,protein,Sta,carbonSource,gluconate,glucose
22,YP_003043253.1,1.04433731411894,-1.02779992297532,1.2416044817475,-0.827799784943379,0.407783896516825,NA,insA-1,ECB_00023,b0022,-1,protein,Sta,carbonSource,gluconate,glucose
23,YP_003043254.1,0.414086344902107,-1.43727601410905,1.4531192442814,-0.989097088738793,0.322615641866908,NA,insB-1,ECB_00024,b0021,-1,protein,Sta,carbonSource,gluconate,glucose
24,YP_003043255.1,0.340065697955044,-1.28418300029074,1.45843779282706,-0.880519557712135,0.378577914968333,NA,talA,ECB_00025,,-1,protein,Sta,carbonSource,gluconate,glucose
25,YP_003043256.1,0.567479738439909,-0.274367915905907,1.41712545605535,-0.193608769593078,0.846482230982494,NA,elfG,ECB_00026,,-1,protein,Sta,carbonSource,gluconate,glucose
26,YP_003043257.1,58.5844955001369,0.471945817188619,0.49574408984725,0.951994843416159,0.341099597062156,0.485732234875338,rpsT,ECB_00027,b0023,1,protein,Sta,carbonSource,gluconate,glucose
27,YP_003043258.1,0.0591226416862088,-0.216706438503174,1.31747856524434,-0.164485741339544,0.869348770633353,NA,yaaY,ECB_00028,b0024,-1,protein,Sta,carbonSource,gluconate,glucose
28,YP_003043259.1,14.1640835158074,0.736808693660185,0.423047459300423,1.74166911409566,0.0815663599585536,0.216495786258151,ribF,ECB_00029,b0025,1,protein,Sta,carbonSource,gluconate,glucose
29,YP_003043260.1,178.511710792806,0.580476525504647,0.449797342390277,1.29052902451563,0.196867041079858,0.359881219867767,ileS,ECB_00030,b0026,1,protein,Sta,carbonSource,gluconate,glucose
30,YP_003043261.1,0.140525780195661,-0.527559581473793,1.40558980431517,-0.375329687120795,0.707415290144718,NA,lspA,ECB_00031,b0027,-1,protein,Sta,carbonSource,gluconate,glucose
31,YP_003043262.1,7.78852050249634,0.388709124884688,0.543544241029444,0.715137969539506,0.474523793992647,0.604196763950065,fkpB,ECB_00032,b0028,1,protein,Sta,carbonSource,gluconate,glucose
32,YP_003043263.1,9.93395657419997,0.456368700221314,0.490977325739587,0.929510745804523,0.352624458906759,0.496700062908927,ispH,ECB_00033,b0029,1,protein,Sta,carbonSource,gluconate,glucose
33,YP_003043264.1,5.60512318686036,1.24297614966793,0.658311049404619,1.88812894875772,0.0590086413883778,0.18172715521518,rihC,ECB_00034,b0030,1,protein,Sta,carbonSource,gluconate,glucose
34,YP_003043265.1,39.9100866879575,0.0909384825337059,0.41995331564412,0.216544266103068,0.828563524206521,0.888783486816997,dapB,ECB_00035,b0031,1,protein,Sta,carbonSource,gluconate,glucose
35,YP_003043266.1,99.6489814204791,0.713319111891486,0.466665334771405,1.52854531661518,0.126377201144546,0.279527866041754,carA,ECB_00036,b0032,1,protein,Sta,carbonSource,gluconate,glucose
36,YP_003043267.1,223.506300257316,0.52951029473851,0.414676915677233,1.27692252623644,0.201629600445867,0.361881890118992,carB,ECB_00037,b0033,1,protein,Sta,carbonSource,gluconate,glucose
37,YP_003043268.1,0.686030988183574,-1.30325021068358,1.30786975693397,-0.996467885104085,0.31902286344452,NA,caiF,ECB_00038,b0034,-1,protein,Sta,carbonSource,gluconate,glucose
38,YP_003043269.1,0.440732725872068,-0.47106063478356,1.37726055260667,-0.342027246690545,0.732330387560206,NA,caiE,ECB_00039,b0035,-1,protein,Sta,carbonSource,gluconate,glucose
39,YP_003043270.1,1.06492400104235,0.541194996226531,1.11623342796831,0.484840341335752,0.627789604040076,NA,caiD,ECB_00040,b0036,1,protein,Sta,carbonSource,gluconate,glucose
40,YP_003043271.1,1.11529341483959,-1.77835223409501,1.30685103015244,-1.36079185237171,0.173579477448814,NA,caiC,ECB_00041,b0037,-1,protein,Sta,carbonSource,gluconate,glucose
41,YP_003043272.1,1.44734979176615,-1.68074461730324,1.30626461564768,-1.28668004718928,0.198205830400688,NA,caiA,ECB_00043,b0039,-1,protein,Sta,carbonSource,gluconate,glucose
42,YP_003043273.1,0.221347481503169,0.439978861475173,1.46011185929245,0.301332297710657,0.763161114759749,NA,caiT,ECB_00044,b0040,1,protein,Sta,carbonSource,gluconate,glucose
43,YP_003043274.1,0.793389049509181,-2.2206892191151,1.31989795876317,-1.6824703791466,0.0924776640593527,NA,fixA,ECB_00045,b0041,-1,protein,Sta,carbonSource,gluconate,glucose
