,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469602329412727,-0.0982989139020503,1.22306930648889,-0.0803706816780814,0.935942444085257,NA,thrL,ECB_00001,b0001,-1,protein,Sta,carbonSource,lactate,glucose
2,YP_003043231.1,182.898722036479,2.55978589399492,0.636734259185118,4.02017930882327,5.81538623088788e-05,0.000350105599889128,thrA,ECB_00002,b0002,1,protein,Sta,carbonSource,lactate,glucose
3,YP_003043232.1,41.9621076184805,4.28788374356517,0.634827984915932,6.75440252391048,1.43425054143346e-11,7.78559002241464e-09,thrB,ECB_00003,b0003,1,protein,Sta,carbonSource,lactate,glucose
4,YP_003043233.1,178.921538549459,3.12150502925741,0.716835417262509,4.35456306159925,1.33332594856294e-05,0.000113384924659778,thrC,ECB_00004,b0004,1,protein,Sta,carbonSource,lactate,glucose
5,YP_003043234.1,0.15122134955216,-0.434772093134019,1.30755322454764,-0.332508141903313,0.739505592769892,NA,yaaX,ECB_00005,b0005,-1,protein,Sta,carbonSource,lactate,glucose
6,YP_003043235.1,27.0289230626919,1.44001225454368,0.645688256191763,2.23019737579989,0.0257343424072996,0.0521572826512599,yaaA,ECB_00006,b0006,1,protein,Sta,carbonSource,lactate,glucose
7,YP_003043236.1,0.0984377045983535,-0.268782628865914,1.25456594832978,-0.214243523207167,0.830357157330611,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,carbonSource,lactate,glucose
8,YP_003043237.1,145.403055904449,3.28150072966751,0.684003847837227,4.79748869840921,1.60667271541043e-06,2.2644822323474e-05,talB,ECB_00008,b0008,1,protein,Sta,carbonSource,lactate,glucose
9,YP_003043238.1,8.86515360498028,2.8651198377518,0.634024259647617,4.51894354853898,6.21489612517096e-06,6.22828205528671e-05,mogA,ECB_00009,b0009,1,protein,Sta,carbonSource,lactate,glucose
10,YP_003043239.1,0.0379747773232496,0.04421179365846,1.22271901857873,0.036158588348328,0.971155906090595,NA,yaaH,ECB_00010,b0010,1,protein,Sta,carbonSource,lactate,glucose
11,YP_003043242.1,0.461288573595087,-1.91888483056899,1.31701256456537,-1.45699811998547,0.145116899175757,0.198507240913667,yaaI,ECB_00013,b0013,-1,protein,Sta,carbonSource,lactate,glucose
12,YP_003043243.1,564.910001082785,3.03425148777601,0.657245492902939,4.61661817470097,3.90043953386901e-06,4.29667315930992e-05,dnaK,ECB_00014,b0014,1,protein,Sta,carbonSource,lactate,glucose
13,YP_003043244.1,54.5280383354972,3.12617207974561,0.651837086895306,4.79594079961841,1.61913097225176e-06,2.2644822323474e-05,dnaJ,ECB_00015,b0015,1,protein,Sta,carbonSource,lactate,glucose
14,YP_003043245.1,1.65526621901174,-2.27553896684938,1.26980023450371,-1.7920448469115,0.073125782478381,0.117499098930482,insL-1,ECB_00016,b0016,-1,protein,Sta,carbonSource,lactate,glucose
15,YP_003043246.1,0.0846188867323091,-0.246939121908239,1.22339593589711,-0.201847263557533,0.840036130951778,NA,mokC,ECB_00017,b0018,-1,protein,Sta,carbonSource,lactate,glucose
16,YP_003043247.1,0,NA,NA,NA,NA,NA,hokC,ECB_04280,b4412,NA,protein,Sta,carbonSource,lactate,glucose
17,YP_003043248.1,0.120858740878878,0.248131283368077,1.23072022338864,0.201614695730665,0.840217955620134,NA,nhaA,ECB_00018,b0019,1,protein,Sta,carbonSource,lactate,glucose
18,YP_003043249.1,0.941684254827683,-3.12138280361645,1.30164935823588,-2.39802123656931,0.016483909526007,0.0368736904712945,nhaR,ECB_00019,b0020,-1,protein,Sta,carbonSource,lactate,glucose
19,YP_003043250.1,0.43054600563908,-1.80964246966721,1.32642652572985,-1.36429906562029,0.172473459868591,NA,cirA,ECB_00020,b2155,-1,protein,Sta,carbonSource,lactate,glucose
20,YP_003043251.1,0.413631177081074,-1.69679401472218,1.32813697710977,-1.27757456043025,0.201399475191969,NA,yehB,ECB_00021,,-1,protein,Sta,carbonSource,lactate,glucose
21,YP_003043252.1,1.15028634592556,-3.2066063498867,1.2532087040795,-2.55871694750318,0.0105059244089204,0.0260013645895546,yjcF,ECB_00022,,-1,protein,Sta,carbonSource,lactate,glucose
22,YP_003043253.1,1.04433731411894,2.24457325186005,1.16654471415063,1.92412105994097,0.054339410885938,0.0927100373260871,insA-1,ECB_00023,b0022,1,protein,Sta,carbonSource,lactate,glucose
23,YP_003043254.1,0.414086344902107,-1.63208240437334,1.32717770048674,-1.22973917040256,0.218794793597207,NA,insB-1,ECB_00024,b0021,-1,protein,Sta,carbonSource,lactate,glucose
24,YP_003043255.1,0.340065697955044,-1.43420067492954,1.32731418960459,-1.08052839799505,0.279906947990166,NA,talA,ECB_00025,,-1,protein,Sta,carbonSource,lactate,glucose
25,YP_003043256.1,0.567479738439909,-1.93191173137743,1.320994434309,-1.46246772976602,0.143613081146912,0.196946444334944,elfG,ECB_00026,,-1,protein,Sta,carbonSource,lactate,glucose
26,YP_003043257.1,58.5844955001369,3.16709240199723,0.693751812013613,4.56516631330266,4.99098498218239e-06,5.1605200276089e-05,rpsT,ECB_00027,b0023,1,protein,Sta,carbonSource,lactate,glucose
27,YP_003043258.1,0.0591226416862088,-0.186350047700998,1.22326329880096,-0.152338460479979,0.878919991827196,NA,yaaY,ECB_00028,b0024,-1,protein,Sta,carbonSource,lactate,glucose
28,YP_003043259.1,14.1640835158074,2.96672879472867,0.600131895996063,4.94346128663046,7.67475961972301e-07,1.35117254494259e-05,ribF,ECB_00029,b0025,1,protein,Sta,carbonSource,lactate,glucose
29,YP_003043260.1,178.511710792806,2.58927141625565,0.633445108731125,4.08760187831003,4.35855290491823e-05,0.000277730034282331,ileS,ECB_00030,b0026,1,protein,Sta,carbonSource,lactate,glucose
30,YP_003043261.1,0.140525780195661,-0.523605450389196,1.28400703183501,-0.40779017357942,0.683427728420646,NA,lspA,ECB_00031,b0027,-1,protein,Sta,carbonSource,lactate,glucose
31,YP_003043262.1,7.78852050249634,3.17758247585104,0.724532839705193,4.38569834480378,1.15614252516732e-05,0.000100953249449597,fkpB,ECB_00032,b0028,1,protein,Sta,carbonSource,lactate,glucose
32,YP_003043263.1,9.93395657419997,2.49827348420856,0.666055157189742,3.75085074748075,0.000176235586674767,0.000879018845022538,ispH,ECB_00033,b0029,1,protein,Sta,carbonSource,lactate,glucose
33,YP_003043264.1,5.60512318686036,2.89263156803348,0.820927917228261,3.52361213125753,0.00042570692519355,0.00183160826334926,rihC,ECB_00034,b0030,1,protein,Sta,carbonSource,lactate,glucose
34,YP_003043265.1,39.9100866879575,2.29670315763578,0.603129976446517,3.80797381547399,0.000140110104643085,0.000723199066279757,dapB,ECB_00035,b0031,1,protein,Sta,carbonSource,lactate,glucose
35,YP_003043266.1,99.6489814204791,1.79497174904208,0.654598898205425,2.74209405784669,0.00610488574941298,0.0164872411988707,carA,ECB_00036,b0032,1,protein,Sta,carbonSource,lactate,glucose
36,YP_003043267.1,223.506300257316,1.84451468235153,0.589148645203691,3.13081375535338,0.00174322675502461,0.00583870158368467,carB,ECB_00037,b0033,1,protein,Sta,carbonSource,lactate,glucose
37,YP_003043268.1,0.686030988183574,-2.87421246062302,1.29160830142538,-2.22529729597675,0.0260612868610004,0.0526560864182869,caiF,ECB_00038,b0034,-1,protein,Sta,carbonSource,lactate,glucose
38,YP_003043269.1,0.440732725872068,-1.83993648527266,1.31064873336351,-1.40383646543559,0.160367552527066,NA,caiE,ECB_00039,b0035,-1,protein,Sta,carbonSource,lactate,glucose
39,YP_003043270.1,1.06492400104235,-1.1799779182459,1.18341739431741,-0.997093606965698,0.31871907587239,0.37761659880552,caiD,ECB_00040,b0036,-1,protein,Sta,carbonSource,lactate,glucose
40,YP_003043271.1,1.11529341483959,-2.30871771162054,1.27100392303327,-1.81645207365745,0.0693010533909183,0.112515457642488,caiC,ECB_00041,b0037,-1,protein,Sta,carbonSource,lactate,glucose
41,YP_003043272.1,1.44734979176615,-3.57728702284172,1.2937514333474,-2.76504970787626,0.00569141222737642,0.0157253812733002,caiA,ECB_00043,b0039,-1,protein,Sta,carbonSource,lactate,glucose
42,YP_003043273.1,0.221347481503169,-0.487861376531343,1.32401226192079,-0.368471947399933,0.712521358727875,NA,caiT,ECB_00044,b0040,-1,protein,Sta,carbonSource,lactate,glucose
