,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469602329412727,-0.0797325833621522,0.777398954041055,-0.10256327584143,0.918309590714425,NA,thrL,ECB_00001,b0001,-1,protein,Sta,carbonSource,gluconate,glucose
2,YP_003043231.1,182.898722036479,0.307810171679973,0.527789321257945,0.58320651684716,0.559754284654685,0.712067780507743,thrA,ECB_00002,b0002,1,protein,Sta,carbonSource,gluconate,glucose
3,YP_003043232.1,41.9621076184805,0.46169435784737,0.574277855856418,0.80395640044112,0.421422155391936,0.613503261070533,thrB,ECB_00003,b0003,1,protein,Sta,carbonSource,gluconate,glucose
4,YP_003043233.1,178.921538549459,0.360086840127285,0.596239565733103,0.603929797386965,0.545890317110484,0.701768457573837,thrC,ECB_00004,b0004,1,protein,Sta,carbonSource,gluconate,glucose
5,YP_003043234.1,0.15122134955216,-0.169907141825247,0.930649824498644,-0.182568284388577,0.855136771432713,NA,yaaX,ECB_00005,b0005,-1,protein,Sta,carbonSource,gluconate,glucose
6,YP_003043235.1,27.0289230626919,0.681531684186156,0.472734452682765,1.44167974286297,0.149392740848166,0.362040394943859,yaaA,ECB_00006,b0006,1,protein,Sta,carbonSource,gluconate,glucose
7,YP_003043236.1,0.0984377045983535,-0.197854421972569,0.837137621249029,-0.236346350887165,0.813163922710255,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,carbonSource,gluconate,glucose
8,YP_003043237.1,145.403055904449,0.405719599006236,0.564881022299747,0.718239032627559,0.472609914685708,0.645793313404592,talB,ECB_00008,b0008,1,protein,Sta,carbonSource,gluconate,glucose
9,YP_003043238.1,8.86515360498028,0.746335353285842,0.507047499765636,1.47192393933667,0.141041418184789,0.355007660544667,mogA,ECB_00009,b0009,1,protein,Sta,carbonSource,gluconate,glucose
10,YP_003043239.1,0.0379747773232496,-0.0163728525026091,0.777327766900866,-0.0210629971033791,0.983195402375692,NA,yaaH,ECB_00010,b0010,-1,protein,Sta,carbonSource,gluconate,glucose
