,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469011247692442,0.0453105876643902,0.712632360077297,0.0635819957144179,0.949303068069335,0.999943901120446,thrL,ECB_00001,b0001,1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
2,YP_003043231.1,182.897172239726,0.397802218789507,0.592039789034418,0.671918046991907,0.501635870628133,0.999943901120446,thrA,ECB_00002,b0002,1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
3,YP_003043232.1,41.9593050260877,0.0318404291679173,0.65308583441827,0.0487538199267158,0.961115484737454,0.999943901120446,thrB,ECB_00003,b0003,1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
4,YP_003043233.1,178.93041930323,0.302612287341533,0.658258859833308,0.459716239016007,0.645719911915857,0.999943901120446,thrC,ECB_00004,b0004,1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
5,YP_003043234.1,0.150946698062214,-0.129264960274789,0.852558883232758,-0.151619979355136,0.879486674348439,0.999943901120446,yaaX,ECB_00005,b0005,-1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
6,YP_003043235.1,27.0244268920059,-0.494535453421224,0.568659331177293,-0.869651522990733,0.384490871878735,0.999943901120446,yaaA,ECB_00006,b0006,-1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
7,YP_003043236.1,0.0983162072795633,-0.018440373985797,0.765511123872839,-0.0240889693313721,0.980781641969298,0.999943901120446,yaaJ,ECB_00007,b0007,-1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
8,YP_003043237.1,145.393208489599,0.144909590746327,0.631122735691624,0.229606037861281,0.818397914682804,0.999943901120446,talB,ECB_00008,b0008,1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
9,YP_003043238.1,8.86323480291221,-0.300384776852383,0.652391734993584,-0.460436208400674,0.645203150001653,0.999943901120446,mogA,ECB_00009,b0009,-1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
10,YP_003043239.1,0.0380004688949245,0.22098522162126,0.712583672666126,0.310118278172787,0.756471013048152,0.999943901120446,yaaH,ECB_00010,b0010,1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
