,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469011247692442,0.0200409856006556,1.39146837293292,0.0144027604151818,0.988508657126242,NA,thrL,ECB_00001,b0001,1,protein,Sta,carbonSource,glycerol,glucose
2,YP_003043231.1,182.897172239726,0.749630277407332,0.454685991530361,1.64867687012802,0.0992138511598589,0.196618942035237,thrA,ECB_00002,b0002,1,protein,Sta,carbonSource,glycerol,glucose
3,YP_003043232.1,41.9593050260877,1.53129864714595,0.460578744399422,3.32472713030366,0.000885051103157733,0.0138858376379392,thrB,ECB_00003,b0003,1,protein,Sta,carbonSource,glycerol,glucose
4,YP_003043233.1,178.93041930323,1.06443535065464,0.51542888015037,2.06514495335245,0.0389092870998829,0.109100312067708,thrC,ECB_00004,b0004,1,protein,Sta,carbonSource,glycerol,glucose
5,YP_003043234.1,0.150946698062214,-0.302575685037696,1.42885216465715,-0.211761365186649,0.832293211044091,NA,yaaX,ECB_00005,b0005,-1,protein,Sta,carbonSource,glycerol,glucose
6,YP_003043235.1,27.0244268920059,0.0998784246883668,0.47284381944504,0.211229206306621,0.832708421535377,0.894815608292643,yaaA,ECB_00006,b0006,1,protein,Sta,carbonSource,glycerol,glucose
7,YP_003043236.1,0.0983162072795633,-0.15636555164297,1.4145162636809,-0.110543480946674,0.911978368335691,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,carbonSource,glycerol,glucose
8,YP_003043237.1,145.393208489599,1.12398446485143,0.490733880468076,2.29041545649823,0.0219972443712543,0.076476182694505,talB,ECB_00008,b0008,1,protein,Sta,carbonSource,glycerol,glucose
9,YP_003043238.1,8.86323480291221,0.90224110183696,0.482927440548823,1.86827466422618,0.0617237962148298,0.143821795919354,mogA,ECB_00009,b0009,1,protein,Sta,carbonSource,glycerol,glucose
10,YP_003043239.1,0.0380004688949245,0.178977461780411,1.39117863159795,0.128651675432099,0.897633274947898,NA,yaaH,ECB_00010,b0010,1,protein,Sta,carbonSource,glycerol,glucose
11,YP_003043242.1,0.460573079252133,-1.28285753932616,1.27457133658343,-1.00650116827901,0.314174549931986,NA,yaaI,ECB_00013,b0013,-1,protein,Sta,carbonSource,glycerol,glucose
12,YP_003043243.1,564.923448455879,1.3439765214773,0.467967045194448,2.87194693574813,0.00407951462609814,0.0307613976443974,dnaK,ECB_00014,b0014,1,protein,Sta,carbonSource,glycerol,glucose
13,YP_003043244.1,54.5181153081385,1.34902634139547,0.468306614880837,2.88064763240369,0.00396859044309566,0.0303797979332967,dnaJ,ECB_00015,b0015,1,protein,Sta,carbonSource,glycerol,glucose
14,YP_003043245.1,1.65261313575521,-3.09821196337676,1.20237125480712,-2.57675152411538,0.00997336151112933,0.0495292995518859,insL-1,ECB_00016,b0016,-1,protein,Sta,carbonSource,glycerol,glucose
15,YP_003043246.1,0.0844726330241291,-0.148336845691275,1.39174280973778,-0.10658351863102,0.915119394322364,NA,mokC,ECB_00017,b0018,-1,protein,Sta,carbonSource,glycerol,glucose
16,YP_003043248.1,0.120783174118313,0.0441401112312423,1.39796528010896,0.0315745404119063,0.974811347071734,NA,nhaA,ECB_00018,b0019,1,protein,Sta,carbonSource,glycerol,glucose
17,YP_003043249.1,0.940664734489515,-2.34364171902618,1.20302022821507,-1.94813159750727,0.0513992188808308,0.128061721065567,nhaR,ECB_00019,b0020,-1,protein,Sta,carbonSource,glycerol,glucose
18,YP_003043250.1,0.43007447455754,-1.45902041140719,1.33992878455584,-1.0888790719507,0.276207216255244,NA,cirA,ECB_00020,b2155,-1,protein,Sta,carbonSource,glycerol,glucose
19,YP_003043251.1,0.413005648558549,-1.41284328878226,1.37640828153173,-1.02647107529024,0.304669590834359,NA,yehB,ECB_00021,,-1,protein,Sta,carbonSource,glycerol,glucose
20,YP_003043252.1,1.14879639741987,-2.4576449572537,1.0920745085788,-2.2504370699505,0.0244212140526558,0.0816909629077182,yjcF,ECB_00022,,-1,protein,Sta,carbonSource,glycerol,glucose
21,YP_003043253.1,1.04267311930018,-1.49570914183251,1.10928716019358,-1.34835162210973,0.177545316043541,0.294904076167398,insA-1,ECB_00023,b0022,-1,protein,Sta,carbonSource,glycerol,glucose
22,YP_003043254.1,0.413417998283813,-1.40513908898691,1.3541904398495,-1.03762295733167,0.299445625586966,NA,insB-1,ECB_00024,b0021,-1,protein,Sta,carbonSource,glycerol,glucose
23,YP_003043255.1,0.339488228686362,-1.2102170905942,1.3669164910636,-0.88536285757481,0.375960958152347,NA,talA,ECB_00025,,-1,protein,Sta,carbonSource,glycerol,glucose
24,YP_003043256.1,0.566441257842381,-1.64756548169242,1.30146811748111,-1.26592842311124,0.205538709298113,NA,elfG,ECB_00026,,-1,protein,Sta,carbonSource,glycerol,glucose
25,YP_003043257.1,58.5889092133763,1.66607404180949,0.497380079371248,3.34969997977325,0.000808991341222528,0.0133046786687264,rpsT,ECB_00027,b0023,1,protein,Sta,carbonSource,glycerol,glucose
