,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469011247692442,-0.0987419822249566,1.22176024220814,-0.0808194429755677,0.935585545390999,NA,thrL,ECB_00001,b0001,-1,protein,Sta,carbonSource,lactate,glucose
2,YP_003043231.1,182.897172239726,2.55808761207725,0.637005689067096,4.01580026047115,5.9244417047613e-05,0.000357112180537,thrA,ECB_00002,b0002,1,protein,Sta,carbonSource,lactate,glucose
3,YP_003043232.1,41.9593050260877,4.2857398805204,0.635049232826703,6.7486734240177,1.49202989843216e-11,8.09426219899448e-09,thrB,ECB_00003,b0003,1,protein,Sta,carbonSource,lactate,glucose
4,YP_003043233.1,178.93041930323,3.11920608057395,0.716876620331761,4.35110588364623,1.35452617182353e-05,0.00011492735699988,thrC,ECB_00004,b0004,1,protein,Sta,carbonSource,lactate,glucose
5,YP_003043234.1,0.150946698062214,-0.434868343235439,1.30641467958645,-0.332871598911534,0.739231208824591,NA,yaaX,ECB_00005,b0005,-1,protein,Sta,carbonSource,lactate,glucose
6,YP_003043235.1,27.0244268920059,1.43899902091142,0.645966409791952,2.22766849653202,0.0259026292960675,0.0524009063758232,yaaA,ECB_00006,b0006,1,protein,Sta,carbonSource,lactate,glucose
7,YP_003043236.1,0.0983162072795633,-0.269302961414244,1.25349242479713,-0.21484211319253,0.829890417876498,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,carbonSource,lactate,glucose
8,YP_003043237.1,145.393208489599,3.27927046000764,0.684122150715996,4.79339903930254,1.63978999549548e-06,2.30976710754806e-05,talB,ECB_00008,b0008,1,protein,Sta,carbonSource,lactate,glucose
9,YP_003043238.1,8.86323480291221,2.86356453698334,0.634585569322784,4.51249551741189,6.40692892333126e-06,6.39710234522799e-05,mogA,ECB_00009,b0009,1,protein,Sta,carbonSource,lactate,glucose
10,YP_003043239.1,0.0380004688949245,0.0434077406926032,1.22141075435768,0.0355390195622033,0.971649932903485,NA,yaaH,ECB_00010,b0010,1,protein,Sta,carbonSource,lactate,glucose
11,YP_003043242.1,0.460573079252133,-1.91776807570926,1.31596681272896,-1.45730732504744,0.145031565743827,0.198435370532223,yaaI,ECB_00013,b0013,-1,protein,Sta,carbonSource,lactate,glucose
12,YP_003043243.1,564.923448455879,3.03235596804782,0.657351968010731,4.61298682534456,3.96923470825116e-06,4.3796132119856e-05,dnaK,ECB_00014,b0014,1,protein,Sta,carbonSource,lactate,glucose
