,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469011247692442,0.0090065627124701,0.880154886959575,0.0102329292785984,0.991835446206005,NA,thrL,ECB_00001,b0001,1,protein,Sta,carbonSource,glycerol,glucose
2,YP_003043231.1,182.897172239726,-0.750891870683686,0.435192588192296,-1.72542430881634,0.0844510336178186,0.241168161082213,thrA,ECB_00002,b0002,-1,protein,Sta,carbonSource,glycerol,glucose
3,YP_003043232.1,41.9593050260877,-0.796037729186229,0.481631783004139,-1.65279318615771,0.0983729613123758,0.258318221725969,thrB,ECB_00003,b0003,-1,protein,Sta,carbonSource,glycerol,glucose
4,YP_003043233.1,178.93041930323,-0.844067879745219,0.494472916049365,-1.70700528249145,0.0878210705512011,0.24419057721495,thrC,ECB_00004,b0004,-1,protein,Sta,carbonSource,glycerol,glucose
5,YP_003043234.1,0.150946698062214,-0.201770658829087,1.00983051770097,-0.199806457907856,0.841631950492684,NA,yaaX,ECB_00005,b0005,-1,protein,Sta,carbonSource,glycerol,glucose
6,YP_003043235.1,27.0244268920059,-0.448920862683177,0.401930859835043,-1.11691066186712,0.264032525453363,0.463795020378069,yaaA,ECB_00006,b0006,-1,protein,Sta,carbonSource,glycerol,glucose
7,YP_003043236.1,0.0983162072795633,-0.106602271009498,0.935799771628427,-0.113915683933108,0.909304632521331,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,carbonSource,glycerol,glucose
8,YP_003043237.1,145.393208489599,-0.510142887266801,0.467179008224595,-1.09196448959785,0.274848709774368,0.47670542817813,talB,ECB_00008,b0008,-1,protein,Sta,carbonSource,glycerol,glucose
9,YP_003043238.1,8.86323480291221,-0.0799368307423635,0.43720879683167,-0.18283445191781,0.854927915505825,0.914087484342515,mogA,ECB_00009,b0009,-1,protein,Sta,carbonSource,glycerol,glucose
10,YP_003043239.1,0.0380004688949245,0.0873505299157599,0.880063445604479,0.0992548098117658,0.92093595772199,NA,yaaH,ECB_00010,b0010,1,protein,Sta,carbonSource,glycerol,glucose
11,YP_003043242.1,0.460573079252133,-0.787667314484573,1.01906083798138,-0.772934534551276,0.439561125261705,NA,yaaI,ECB_00013,b0013,-1,protein,Sta,carbonSource,glycerol,glucose
12,YP_003043243.1,564.923448455879,-0.384936980238486,0.446970712656125,-0.86121298183274,0.389120751443716,0.577710742652641,dnaK,ECB_00014,b0014,-1,protein,Sta,carbonSource,glycerol,glucose
13,YP_003043244.1,54.5181153081385,0.0896356452820821,0.430073404078131,0.208419410342794,0.834901501829672,0.899506975185539,dnaJ,ECB_00015,b0015,1,protein,Sta,carbonSource,glycerol,glucose
14,YP_003043245.1,1.65261313575521,-1.93696235530551,0.997657901857857,-1.94150956124185,0.0521965008326744,0.18344789613037,insL-1,ECB_00016,b0016,-1,protein,Sta,carbonSource,glycerol,glucose
15,YP_003043246.1,0.0844726330241291,-0.0861461947490406,0.880265938787069,-0.0978638283650309,0.922040422852071,NA,mokC,ECB_00017,b0018,-1,protein,Sta,carbonSource,glycerol,glucose
16,YP_003043248.1,0.120783174118313,0.0398861710612328,0.90857657891511,0.0438996249593612,0.964984414253286,NA,nhaA,ECB_00018,b0019,1,protein,Sta,carbonSource,glycerol,glucose
17,YP_003043249.1,0.940664734489515,-1.61920926390321,0.995725288468315,-1.62616063150709,0.103915488608222,NA,nhaR,ECB_00019,b0020,-1,protein,Sta,carbonSource,glycerol,glucose
18,YP_003043250.1,0.43007447455754,-0.907278750253904,1.03843831131801,-0.873695375416539,0.382284170104264,NA,cirA,ECB_00020,b2155,-1,protein,Sta,carbonSource,glycerol,glucose
19,YP_003043251.1,0.413005648558549,-0.858674846283045,1.03767451616447,-0.827499213777495,0.407954167527837,NA,yehB,ECB_00021,,-1,protein,Sta,carbonSource,glycerol,glucose
20,YP_003043252.1,1.14879639741987,-1.51705857101566,0.940672875250125,-1.61273765931889,0.106801515109389,0.270635039287191,yjcF,ECB_00022,,-1,protein,Sta,carbonSource,glycerol,glucose
21,YP_003043253.1,1.04267311930018,-0.609171698124562,0.916177407643554,-0.664905828327918,0.506110727671187,0.679282088940036,insA-1,ECB_00023,b0022,-1,protein,Sta,carbonSource,glycerol,glucose
22,YP_003043254.1,0.413417998283813,-0.962160746174844,1.03791835687609,-0.927010048334382,0.353921317158389,NA,insB-1,ECB_00024,b0021,-1,protein,Sta,carbonSource,glycerol,glucose
23,YP_003043255.1,0.339488228686362,-0.803489133498678,1.03875892683958,-0.773508763908569,0.439221344131347,NA,talA,ECB_00025,,-1,protein,Sta,carbonSource,glycerol,glucose
24,YP_003043256.1,0.566441257842381,-1.02700610883104,1.03034492237967,-0.996759518607689,0.318881251985784,NA,elfG,ECB_00026,,-1,protein,Sta,carbonSource,glycerol,glucose
25,YP_003043257.1,58.5889092133763,-0.178971442544603,0.476646123703709,-0.375480746919605,0.707302962512898,0.825096691634123,rpsT,ECB_00027,b0023,-1,protein,Sta,carbonSource,glycerol,glucose
26,YP_003043258.1,0.0590341309619599,-0.0372551011930661,0.880205503641953,-0.0423254581332641,0.966239250811598,NA,yaaY,ECB_00028,b0024,-1,protein,Sta,carbonSource,glycerol,glucose
27,YP_003043259.1,14.1610344535987,-0.111141711024269,0.413404089998806,-0.268845213951779,0.788048798068965,0.873300119012656,ribF,ECB_00029,b0025,-1,protein,Sta,carbonSource,glycerol,glucose
28,YP_003043260.1,178.486915887706,-0.682115957829133,0.417066003701918,-1.63551081069808,0.101942010296673,0.264217765239137,ileS,ECB_00030,b0026,-1,protein,Sta,carbonSource,glycerol,glucose
29,YP_003043261.1,0.140302622497222,-0.23894185309896,0.974689335443261,-0.245146678444262,0.806342861185687,NA,lspA,ECB_00031,b0027,-1,protein,Sta,carbonSource,glycerol,glucose
30,YP_003043262.1,7.78527642020038,0.296905180834051,0.485906514335949,0.611033546730299,0.541177371766976,0.707242630251427,fkpB,ECB_00032,b0028,1,protein,Sta,carbonSource,glycerol,glucose
31,YP_003043263.1,9.93146478575969,0.503542816542564,0.426213707675582,1.18143271198082,0.23743086936132,0.431909420647225,ispH,ECB_00033,b0029,1,protein,Sta,carbonSource,glycerol,glucose
32,YP_003043264.1,5.60159281294427,0.657170007120561,0.525692307444435,1.25010390643775,0.211261592967006,0.405198469541145,rihC,ECB_00034,b0030,1,protein,Sta,carbonSource,glycerol,glucose
33,YP_003043265.1,39.9101760758008,-0.622041091941787,0.42898994311044,-1.45001322742349,0.147054830640371,0.330351897910195,dapB,ECB_00035,b0031,-1,protein,Sta,carbonSource,glycerol,glucose
34,YP_003043266.1,99.6422844946792,-0.548888405089355,0.41394064987862,-1.32600749708999,0.184837214100301,0.377115539879358,carA,ECB_00036,b0032,-1,protein,Sta,carbonSource,glycerol,glucose
35,YP_003043267.1,223.482428744855,-0.706276688187827,0.37086107935966,-1.90442385975716,0.056855004226839,0.19155323065114,carB,ECB_00037,b0033,-1,protein,Sta,carbonSource,glycerol,glucose
36,YP_003043268.1,0.685278853401796,-0.928787182917742,0.98856858457426,-0.939527309901049,0.347460077425884,NA,caiF,ECB_00038,b0034,-1,protein,Sta,carbonSource,glycerol,glucose
37,YP_003043269.1,0.440163868323554,-0.931049430741241,1.0092059221409,-0.922556447911184,0.356238400820196,NA,caiE,ECB_00039,b0035,-1,protein,Sta,carbonSource,glycerol,glucose
38,YP_003043270.1,1.06319284562038,-1.57106065706457,0.934409581024644,-1.68134048383986,0.0926967986396346,0.250954794607729,caiD,ECB_00040,b0036,-1,protein,Sta,carbonSource,glycerol,glucose
39,YP_003043271.1,1.11376685040989,-2.01744292686734,0.977177183585448,-2.0645620474528,0.0389644573836453,0.15823066508038,caiC,ECB_00041,b0037,-1,protein,Sta,carbonSource,glycerol,glucose
40,YP_003043272.1,1.44529468563074,-2.33638765084472,0.98065939336606,-2.38246598834403,0.0171971204969891,0.109622159657387,caiA,ECB_00043,b0039,-1,protein,Sta,carbonSource,glycerol,glucose
41,YP_003043273.1,0.221026735395859,-0.213932081037317,1.03840721516261,-0.206019447778796,0.836775720026309,NA,caiT,ECB_00044,b0040,-1,protein,Sta,carbonSource,glycerol,glucose
42,YP_003043274.1,0.792497628866226,-1.81078855337876,0.995938082220876,-1.81817382596799,0.0690375691421063,NA,fixA,ECB_00045,b0041,-1,protein,Sta,carbonSource,glycerol,glucose
43,YP_003043275.1,1.31487101877125,-0.791058845628979,0.882374223349972,-0.896511734698788,0.369979515812075,0.561394067705268,fixB,ECB_00046,b0042,-1,protein,Sta,carbonSource,glycerol,glucose
44,YP_003043276.1,1.11568920648996,-1.5941525486785,0.920627593862501,-1.73159327322595,0.0833460047493777,0.239998609130594,fixC,ECB_00047,b0043,-1,protein,Sta,carbonSource,glycerol,glucose
45,YP_003043277.1,0.798336050856897,-1.53162427235734,1.02734385621014,-1.49085845318381,0.13599866127327,NA,fixX,ECB_00048,b0044,-1,protein,Sta,carbonSource,glycerol,glucose
46,YP_003043278.1,0.277476860374354,-0.667804064387327,1.03875809825171,-0.642886987366239,0.520297433571518,NA,yaaU,ECB_00049,b0045,-1,protein,Sta,carbonSource,glycerol,glucose
47,YP_003043279.1,0.813201112220413,-0.300014522352441,0.894235405657547,-0.335498371518667,0.737249172948205,NA,yabF,ECB_00050,b0046,-1,protein,Sta,carbonSource,glycerol,glucose
48,YP_003043280.1,2.00764633646497,-0.864544294215726,0.834408810965231,-1.03611596959964,0.300148042815601,0.499392738341913,kefC,ECB_00051,b0047,-1,protein,Sta,carbonSource,glycerol,glucose
49,YP_003043281.1,10.909454586206,0.878575461963304,0.518164311186671,1.69555379055582,0.0899704152166544,0.246470305036759,folA,ECB_00052,b0048,1,protein,Sta,carbonSource,glycerol,glucose
50,YP_003043282.1,3.83157173846764,0.578726467572134,0.582119843608723,0.994170657341704,0.320139790813542,0.514742531676088,apaH,ECB_00053,b0049,1,protein,Sta,carbonSource,glycerol,glucose
51,YP_003043283.1,3.89654759828314,0.032690426269818,0.533175893385363,0.0613126487438366,0.951110217514274,0.973297909710092,apaG,ECB_00054,b0050,1,protein,Sta,carbonSource,glycerol,glucose
52,YP_003043284.1,10.0060990419645,-0.722714218320917,0.520638382475568,-1.38813088440484,0.165097193601679,0.353939330445562,ksgA,ECB_00055,b0051,-1,protein,Sta,carbonSource,glycerol,glucose
53,YP_003043285.1,13.0905148515751,0.0014227087369823,0.452470829059334,0.00314431040767876,0.997491207405284,0.998617599353239,pdxA,ECB_00056,b0052,1,protein,Sta,carbonSource,glycerol,glucose
54,YP_003043286.1,79.4464622100867,-0.1511033495542,0.414169860669068,-0.364834247741013,0.715235138581898,0.829151956438629,surA,ECB_00057,b0053,-1,protein,Sta,carbonSource,glycerol,glucose
55,YP_003043287.1,84.843069491786,-0.518477343284142,0.404368555408634,-1.28219006238058,0.199775981421868,0.394261944644092,imp,ECB_00058,b0054,-1,protein,Sta,carbonSource,glycerol,glucose
56,YP_003043288.1,11.7201164635085,-1.03501998717837,0.390106715873169,-2.65317141454923,0.00797393649967994,0.0721641253221035,djlA,ECB_00059,b0055,-1,protein,Sta,carbonSource,glycerol,glucose
57,YP_003043289.1,0.79591618031177,-0.879829458155068,0.957785313114672,-0.918608216379832,0.358300532818481,NA,rluA,ECB_00060,b0058,-1,protein,Sta,carbonSource,glycerol,glucose
58,YP_003043290.1,21.4315202222581,-1.47076440833871,0.370210687666074,-3.97277673859411,7.10396279819624e-05,0.00324860408202692,hepA,ECB_00061,b0059,-1,protein,Sta,carbonSource,glycerol,glucose
59,YP_003043291.1,3.03729593977001,-2.07025541140477,0.893699456804569,-2.31650069342885,0.0205309466197578,0.119654909275903,polB,ECB_00062,b0060,-1,protein,Sta,carbonSource,glycerol,glucose
60,YP_003043292.1,1.65618022663888,-0.256078245242065,0.881169481126194,-0.290611795718094,0.771348237596247,0.865631724565495,araD,ECB_00063,b0061,-1,protein,Sta,carbonSource,glycerol,glucose
61,YP_003043293.1,8.41469932457575,-0.961922652770738,0.578021464575516,-1.66416424254616,0.0960796116830902,0.255472965377703,araA,ECB_00064,b0062,-1,protein,Sta,carbonSource,glycerol,glucose
62,YP_003043294.1,4.05183814799533,-1.88149941573483,0.812439871929442,-2.31586297120858,0.0205657516658267,0.119654909275903,araB,ECB_00065,b0063,-1,protein,Sta,carbonSource,glycerol,glucose
63,YP_003043295.1,1.28800161968878,-0.793403777961022,0.896853692466878,-0.884652407215599,0.376344131873276,0.566304055918576,araC,ECB_00066,b0064,-1,protein,Sta,carbonSource,glycerol,glucose
64,YP_003043296.1,0.238598313865917,0.0998943285259745,1.03070363381966,0.096918576056415,0.922791056694195,NA,yabI,ECB_00067,b0065,1,protein,Sta,carbonSource,glycerol,glucose
65,YP_003043297.1,1.3833936118531,-1.67749438336136,0.948956948385648,-1.76772443282605,0.0771069833209978,0.227726218805837,thiQ,ECB_00068,b0066,-1,protein,Sta,carbonSource,glycerol,glucose
66,YP_003043298.1,0.333631264995377,-0.726911176564962,1.03886210164768,-0.699718639665507,0.484103033490651,NA,thiP,ECB_00069,b0067,-1,protein,Sta,carbonSource,glycerol,glucose
67,YP_003043299.1,1.82886308615585,-1.24779813051535,0.804048588576148,-1.55189393805792,0.120687603627723,0.291537071108342,tbpA,ECB_00070,b0068,-1,protein,Sta,carbonSource,glycerol,glucose
68,YP_003043300.1,1.00985596373618,-1.07789272929852,0.981902403649887,-1.09775953831239,0.272309503876076,0.473273170659792,yabN,ECB_00071,b0069,-1,protein,Sta,carbonSource,glycerol,glucose
