,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
1,YP_003043230.1,0.0104584129130671,-0.0651119723761454,0.589567626324497,-0.110440209856957,0.91206026529741,NA,thrL,ECB_00001,b0001,-1,protein,Exp,carbonSource,glucoseglycerol
2,YP_003043231.1,205.735876715905,-1.08693463687332,0.226744622485494,-4.79365122294293,1.63772901889771e-06,3.24350234962182e-05,thrA,ECB_00002,b0002,-1,protein,Exp,carbonSource,glucoseglycerol
3,YP_003043232.1,47.4489333135672,-1.48263749882338,0.296637405368126,-4.99814747564771,5.78837098712424e-07,1.43516251650225e-05,thrB,ECB_00003,b0003,-1,protein,Exp,carbonSource,glucoseglycerol
4,YP_003043233.1,236.085739186476,-1.51173762773352,0.292967219315365,-5.16009139611696,2.46829313953114e-07,7.49253842728704e-06,thrC,ECB_00004,b0004,-1,protein,Exp,carbonSource,glucoseglycerol
5,YP_003043234.1,0.0471508265836207,0.0869794733533089,0.590342313889599,0.147337352086835,0.882865751477501,NA,yaaX,ECB_00005,b0005,1,protein,Exp,carbonSource,glucoseglycerol
6,YP_003043235.1,26.5834715006676,-1.04196475796784,0.288797877694386,-3.60793772546513,0.00030864054426876,0.00192411609939527,yaaA,ECB_00006,b0006,-1,protein,Exp,carbonSource,glucoseglycerol
7,YP_003043236.1,0.13831369605445,-0.476332243442962,0.70661309256593,-0.67410616708679,0.500243818985056,NA,yaaJ,ECB_00007,b0007,-1,protein,Exp,carbonSource,glucoseglycerol
8,YP_003043237.1,168.026293005814,-0.587564208215837,0.263880522754895,-2.22662969620382,0.025972032572165,0.0743234905677463,talB,ECB_00008,b0008,-1,protein,Exp,carbonSource,glucoseglycerol
9,YP_003043238.1,9.09134854744087,-0.627728399167135,0.321441515958637,-1.95285415231775,0.0508368796780842,0.128797336345099,mogA,ECB_00009,b0009,-1,protein,Exp,carbonSource,glucoseglycerol
10,YP_003043239.1,0.00856664991563993,-0.0518154117559262,0.589520657566442,-0.0878941409276848,0.929960813445126,NA,yaaH,ECB_00010,b0010,-1,protein,Exp,carbonSource,glucoseglycerol
11,YP_003043242.1,0.21770815333273,-0.815032758467204,0.734698047498196,-1.10934384709823,0.26728187645283,0.455951436301887,yaaI,ECB_00013,b0013,-1,protein,Exp,carbonSource,glucoseglycerol
12,YP_003043243.1,557.031697257745,-0.752372196911486,0.309600381248385,-2.43013976235344,0.0150930014817516,0.0476868373664681,dnaK,ECB_00014,b0014,-1,protein,Exp,carbonSource,glucoseglycerol
13,YP_003043244.1,57.8423896685983,-0.683811389197799,0.297399278129983,-2.29930413246978,0.0214876753373362,0.0639120599777181,dnaJ,ECB_00015,b0015,-1,protein,Exp,carbonSource,glucoseglycerol
14,YP_003043245.1,0.211447787430159,0.663148001150703,0.742023525106896,0.893702124949704,0.371481288148799,0.574557725670143,insL-1,ECB_00016,b0016,1,protein,Exp,carbonSource,glucoseglycerol
15,YP_003043246.1,0.019025062828707,-0.127752144382763,0.589773938340457,-0.216612054344484,0.828510690765289,NA,mokC,ECB_00017,b0018,-1,protein,Exp,carbonSource,glucoseglycerol
16,YP_003043247.1,0,NA,NA,NA,NA,NA,hokC,ECB_04280,b4412,NA,protein,Exp,carbonSource,glucoseglycerol
17,YP_003043248.1,0.140849415903259,0.695867997055481,0.688595976137075,1.01056064974298,0.312226757570107,NA,nhaA,ECB_00018,b0019,1,protein,Exp,carbonSource,glucoseglycerol
18,YP_003043249.1,0.735744259749866,-1.51568949300828,0.719620900947833,-2.1062332834023,0.0351840933510868,0.0939785651351398,nhaR,ECB_00019,b0020,-1,protein,Exp,carbonSource,glucoseglycerol
19,YP_003043250.1,0.103620253023283,-0.195545447470437,0.650706055572621,-0.300512721213816,0.763786094468448,NA,cirA,ECB_00020,b2155,-1,protein,Exp,carbonSource,glucoseglycerol
20,YP_003043251.1,0.19912973890665,-0.224418790407452,0.748462020457523,-0.299839917421953,0.764299265643172,NA,yehB,ECB_00021,,-1,protein,Exp,carbonSource,glucoseglycerol
21,YP_003043252.1,0.324392441414745,-0.0088442716531332,0.769869094524607,-0.0114880201271029,0.990834087718113,0.996973084544124,yjcF,ECB_00022,,-1,protein,Exp,carbonSource,glucoseglycerol
22,YP_003043253.1,3.47992365734551,-1.45280223950959,0.597301293656499,-2.4322770684389,0.0150042248127552,0.0475450948212966,insA-1,ECB_00023,b0022,-1,protein,Exp,carbonSource,glucoseglycerol
23,YP_003043254.1,0.336763016445621,-0.024995931942037,0.765097953816543,-0.0326702376046749,0.97393755816692,0.991645513769955,insB-1,ECB_00024,b0021,-1,protein,Exp,carbonSource,glucoseglycerol
24,YP_003043255.1,0.176998232055361,-0.986676197436539,0.722951040594721,-1.3647897880123,0.172319129356593,NA,talA,ECB_00025,,-1,protein,Exp,carbonSource,glucoseglycerol
25,YP_003043256.1,0.153958077928396,-0.602699602606205,0.712518311119177,-0.845872440330023,0.397623908398774,NA,elfG,ECB_00026,,-1,protein,Exp,carbonSource,glucoseglycerol
26,YP_003043257.1,109.531598796895,-0.823754354462117,0.300601061635589,-2.74035743579885,0.00613724006198787,0.0230181936735988,rpsT,ECB_00027,b0023,-1,protein,Exp,carbonSource,glucoseglycerol
27,YP_003043258.1,0.0382878794308076,0.0378066729075371,0.590339033612446,0.064042305785182,0.948936540781945,NA,yaaY,ECB_00028,b0024,1,protein,Exp,carbonSource,glucoseglycerol
28,YP_003043259.1,17.0943341940256,-0.583114037824501,0.269135976821929,-2.16661497548621,0.0302642245496476,0.0836580436912813,ribF,ECB_00029,b0025,-1,protein,Exp,carbonSource,glucoseglycerol
29,YP_003043260.1,177.356057407642,-1.33345304346076,0.241049368264265,-5.53186699082688,3.16840130171855e-08,1.44943203211012e-06,ileS,ECB_00030,b0026,-1,protein,Exp,carbonSource,glucoseglycerol
30,YP_003043261.1,0.0934713049195016,-0.265441600078603,0.640449543805234,-0.414461377396696,0.678536246881821,NA,lspA,ECB_00031,b0027,-1,protein,Exp,carbonSource,glucoseglycerol
31,YP_003043262.1,6.59223894917154,0.216365693429997,0.358468949872942,0.603582802657487,0.546121049234255,0.735406786033524,fkpB,ECB_00032,b0028,1,protein,Exp,carbonSource,glucoseglycerol
