"","X","Category","MF","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_MF","MF_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","MF_long","MF_short","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",16,"GOTERM_MF_ALL","GO:0005524~ATP binding",72,15.6182212581345,8.5142933496221e-07,393,2225,21998,1.81131143322755,0.000480942089284397,3.20700043481281e-05,1.24714313877172e-05,"ATP binding","gene_193","948423","glpK",6.97248696648571e-17,3.41471152589504,1,16.1566122888781,16.1566122888781,5,5,62,"ATP binding
 padj:0.00001 N( -62/ +5/ 2225)","ATP binding","mrna","Exp","carbonSource","glucose","glycerol","kegg"
"2",17,"GOTERM_MF_ALL","GO:0032559~adenyl ribonucleotide binding",72,15.6182212581345,9.6582205232457e-07,393,2231,21998,1.80644013398982,0.000545540861530358,3.41050261034592e-05,1.41470038227398e-05,"adenyl ribonucleotide binding","gene_193","948423","glpK",6.97248696648571e-17,3.41471152589504,1,16.1566122888781,16.1566122888781,5,5,62,"adenyl ribonucleotide binding
 padj:0.00001 N( -62/ +5/ 2231)","adenyl ribonucleotide binding","mrna","Exp","carbonSource","glucose","glycerol","kegg"
"3",20,"GOTERM_MF_ALL","GO:0030554~adenyl nucleotide binding",77,16.7028199566161,2.85704044549494e-06,393,2523,21998,1.7082999256711,0.00161292798889945,8.49558730264821e-05,4.18483305411055e-05,"adenyl nucleotide binding","gene_203","948423","glpK",6.97248696648571e-17,3.41471152589504,1,16.1566122888781,16.1566122888781,6,6,65,"adenyl nucleotide binding
 padj:0.00004 N( -65/ +6/ 2523)","adenyl nucleotide binding","mrna","Exp","carbonSource","glucose","glycerol","kegg"
"4",21,"GOTERM_MF_ALL","GO:0001883~purine nucleoside binding",77,16.7028199566161,2.85704044549494e-06,393,2523,21998,1.7082999256711,0.00161292798889945,8.49558730264821e-05,4.18483305411055e-05,"purine nucleoside binding","gene_203","948423","glpK",6.97248696648571e-17,3.41471152589504,1,16.1566122888781,16.1566122888781,6,6,65,"purine nucleoside binding
 padj:0.00004 N( -65/ +6/ 2523)","purine nucleoside binding","mrna","Exp","carbonSource","glucose","glycerol","kegg"
"5",19,"GOTERM_MF_ALL","GO:0001882~nucleoside binding",78,16.9197396963124,2.80080510626078e-06,393,2565,21998,1.7021502016279,0.00158120567608611,8.79104190486535e-05,4.10246424875638e-05,"nucleoside binding","gene_206","948423","glpK",6.97248696648571e-17,3.41471152589504,1,16.1566122888781,16.1566122888781,6,6,66,"nucleoside binding
 padj:0.00004 N( -66/ +6/ 2565)","nucleoside binding","mrna","Exp","carbonSource","glucose","glycerol","kegg"
"6",7,"GOTERM_MF_ALL","GO:0046914~transition metal ion binding",86,18.6550976138829,1.86962978131824e-13,393,2075,21998,2.31990925534198,1.05633279900985e-10,1.50904844176125e-11,2.73858713484287e-12,"transition metal ion binding","gene_208","948423","glpK",6.97248696648571e-17,3.41471152589504,1,16.1566122888781,16.1566122888781,11,11,65,"transition metal ion binding
 padj:0.00000 N( -65/ +11/ 2075)","transition metal ion binding","mrna","Exp","carbonSource","glucose","glycerol","kegg"
"7",13,"GOTERM_MF_ALL","GO:0032555~purine ribonucleotide binding",79,17.1366594360087,7.74417972279697e-08,393,2385,21998,1.85408378276015,4.3753659891288e-05,3.36573411363617e-06,1.13434564874559e-06,"purine ribonucleotide binding","gene_211","948423","glpK",6.97248696648571e-17,3.41471152589504,1,16.1566122888781,16.1566122888781,5,5,67,"purine ribonucleotide binding
 padj:0.00000 N( -67/ +5/ 2385)","purine ribonucleotide binding","mrna","Exp","carbonSource","glucose","glycerol","kegg"
"8",14,"GOTERM_MF_ALL","GO:0032553~ribonucleotide binding",79,17.1366594360087,7.74417972279697e-08,393,2385,21998,1.85408378276015,4.3753659891288e-05,3.36573411363617e-06,1.13434564874559e-06,"ribonucleotide binding","gene_211","948423","glpK",6.97248696648571e-17,3.41471152589504,1,16.1566122888781,16.1566122888781,5,5,67,"ribonucleotide binding
 padj:0.00000 N( -67/ +5/ 2385)","ribonucleotide binding","mrna","Exp","carbonSource","glucose","glycerol","kegg"
"9",15,"GOTERM_MF_ALL","GO:0017076~purine nucleotide binding",84,18.2212581344902,2.68146647237207e-07,393,2677,21998,1.75639245252889,0.000151491400010584,1.08215754457408e-05,3.92773150525993e-06,"purine nucleotide binding","gene_221","948423","glpK",6.97248696648571e-17,3.41471152589504,1,16.1566122888781,16.1566122888781,6,6,70,"purine nucleotide binding
 padj:0.00000 N( -70/ +6/ 2677)","purine nucleotide binding","mrna","Exp","carbonSource","glucose","glycerol","kegg"
"10",18,"GOTERM_MF_ALL","GO:0000166~nucleotide binding",93,20.1735357917571,1.04206030230677e-06,393,3175,21998,1.63956963394843,0.000588591089810575,3.4632598956863e-05,1.52637055393923e-05,"nucleotide binding","gene_240","948423","glpK",6.97248696648571e-17,3.41471152589504,1,16.1566122888781,16.1566122888781,7,7,77,"nucleotide binding
 padj:0.00002 N( -77/ +7/ 3175)","nucleotide binding","mrna","Exp","carbonSource","glucose","glycerol","kegg"
