"","X","Category","MF","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_MF","MF_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","MF_Long","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",8,"GOTERM_MF_ALL","GO:0005488~binding",295,52.9622980251346,0.00229854984564712,433,13515,21998,1.10892268363182,0.743340911792833,0.156335877286429,0.0333478954620737,"binding","gene_41","947280","flhC",5.46101090896548e-09,3.36504419248182,1,8.26272695591295,8.26272695591295,140,140,115,"binding
 padj:0.03335 N( -115/ +140/ 13515)","mrna","Exp","carbonSource","glucose","lactate","kegg"
"2",8,"GOTERM_MF_ALL","GO:0005488~binding",295,52.9622980251346,0.00229854984564712,433,13515,21998,1.10892268363182,0.743340911792833,0.156335877286429,0.0333478954620737,"binding","gene_200","945442","flhD",9.27818850146858e-09,3.32941746019724,1,8.03253680832987,8.03253680832987,139,140,115,"binding
 padj:0.03335 N( -115/ +140/ 13515)","mrna","Exp","carbonSource","glucose","lactate","kegg"
"3",8,"GOTERM_MF_ALL","GO:0005488~binding",295,52.9622980251346,0.00229854984564712,433,13515,21998,1.10892268363182,0.743340911792833,0.156335877286429,0.0333478954620737,"binding","gene_35","945038","yaiW",5.20338289044738e-08,2.35402174313588,1,7.28371421540894,7.28371421540894,138,140,115,"binding
 padj:0.03335 N( -115/ +140/ 13515)","mrna","Exp","carbonSource","glucose","lactate","kegg"
"4",1,"GOTERM_MF_ALL","GO:0005515~protein binding",113,20.2872531418312,3.38759546185351e-39,433,1395,21998,4.11528139925667,2.00206891795542e-36,2.00206891795542e-36,4.99287311030886e-38,"protein binding","gene_82","945950","abgB",1.38662180231519e-07,3.34348468723526,1,6.85804197552716,6.85804197552716,53,53,49,"protein binding
 padj:0.00000 N( -49/ +53/ 1395)","mrna","Exp","carbonSource","glucose","lactate","kegg"
"5",8,"GOTERM_MF_ALL","GO:0005488~binding",295,52.9622980251346,0.00229854984564712,433,13515,21998,1.10892268363182,0.743340911792833,0.156335877286429,0.0333478954620737,"binding","gene_447","945950","abgB",1.38662180231519e-07,3.34348468723526,1,6.85804197552716,6.85804197552716,137,140,115,"binding
 padj:0.03335 N( -115/ +140/ 13515)","mrna","Exp","carbonSource","glucose","lactate","kegg"
"6",12,"GOTERM_MF_ALL","GO:0046872~metal ion binding",76,13.6445242369838,0.00289643151367824,433,2793,21998,1.38241347347253,0.819905733907138,0.144306621343633,0.0418505965199186,"metal ion binding","gene_28","946209","ppsA",3.07359203954561e-06,2.38004907037098,1,5.51235377728258,5.51235377728258,35,35,28,"metal ion binding
 padj:0.04185 N( -28/ +35/ 2793)","mrna","Exp","carbonSource","glucose","lactate","kegg"
"7",6,"GOTERM_MF_ALL","GO:0043169~cation binding",79,14.1831238779174,0.00181099740291071,433,2876,21998,1.39551179306645,0.657426755496748,0.163513556801284,0.0263622205051485,"cation binding","gene_30","946209","ppsA",3.07359203954561e-06,2.38004907037098,1,5.51235377728258,5.51235377728258,35,35,30,"cation binding
 padj:0.02636 N( -30/ +35/ 2876)","mrna","Exp","carbonSource","glucose","lactate","kegg"
"8",7,"GOTERM_MF_ALL","GO:0043167~ion binding",79,14.1831238779174,0.00206671547645786,433,2891,21998,1.38827115768216,0.705563748044304,0.16026624394814,0.0300320081415736,"ion binding","gene_30","946209","ppsA",3.07359203954561e-06,2.38004907037098,1,5.51235377728258,5.51235377728258,35,35,30,"ion binding
 padj:0.03003 N( -30/ +35/ 2891)","mrna","Exp","carbonSource","glucose","lactate","kegg"
"9",1,"GOTERM_MF_ALL","GO:0005515~protein binding",113,20.2872531418312,3.38759546185351e-39,433,1395,21998,4.11528139925667,2.00206891795542e-36,2.00206891795542e-36,4.99287311030886e-38,"protein binding","gene_46","946209","ppsA",3.07359203954561e-06,2.38004907037098,1,5.51235377728258,5.51235377728258,52,53,49,"protein binding
 padj:0.00000 N( -49/ +53/ 1395)","mrna","Exp","carbonSource","glucose","lactate","kegg"
"10",8,"GOTERM_MF_ALL","GO:0005488~binding",295,52.9622980251346,0.00229854984564712,433,13515,21998,1.10892268363182,0.743340911792833,0.156335877286429,0.0333478954620737,"binding","gene_211","946209","ppsA",3.07359203954561e-06,2.38004907037098,1,5.51235377728258,5.51235377728258,136,140,115,"binding
 padj:0.03335 N( -115/ +140/ 13515)","mrna","Exp","carbonSource","glucose","lactate","kegg"
"11",1,"GOTERM_MF_ALL","GO:0005515~protein binding",113,20.2872531418312,3.38759546185351e-39,433,1395,21998,4.11528139925667,2.00206891795542e-36,2.00206891795542e-36,4.99287311030886e-38,"protein binding","gene_12","945742","abgA",3.746297077703e-06,3.08282609101424,1,5.42639778646654,5.42639778646654,51,53,49,"protein binding
 padj:0.00000 N( -49/ +53/ 1395)","mrna","Exp","carbonSource","glucose","lactate","kegg"
