"","X","Category","KEGG_Path","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_KEGG_Path","KEGG_Path_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",3,"KEGG_PATHWAY","eco00910:Nitrogen metabolism",6,5.94059405940594,0.00136982270814311,54,26,1575,6.73076923076923,0.0455365227316068,0.0154152497952276,0.0119822122063495,"Nitrogen metabolism","gene_03","945808","narI",4.12105865450113e-16,4.01526504567674,1,15.3849912041736,15.3849912041736,5,5,1,"Nitrogen metabolism padj:0.01198 N( -1/ +5/ 26)","Nitrogen metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"2",3,"KEGG_PATHWAY","eco00910:Nitrogen metabolism",6,5.94059405940594,0.00136982270814311,54,26,1575,6.73076923076923,0.0455365227316068,0.0154152497952276,0.0119822122063495,"Nitrogen metabolism","gene_04","945780","narH",1.89248256389416e-14,3.64229723569276,1,13.7229681131169,13.7229681131169,4,5,1,"Nitrogen metabolism padj:0.01198 N( -1/ +5/ 26)","Nitrogen metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"3",3,"KEGG_PATHWAY","eco00910:Nitrogen metabolism",6,5.94059405940594,0.00136982270814311,54,26,1575,6.73076923076923,0.0455365227316068,0.0154152497952276,0.0119822122063495,"Nitrogen metabolism","gene_01","945807","narJ",4.64200042211237e-14,3.95431782297939,1,13.3332948243883,13.3332948243883,3,5,1,"Nitrogen metabolism padj:0.01198 N( -1/ +5/ 26)","Nitrogen metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"4",3,"KEGG_PATHWAY","eco00910:Nitrogen metabolism",6,5.94059405940594,0.00136982270814311,54,26,1575,6.73076923076923,0.0455365227316068,0.0154152497952276,0.0119822122063495,"Nitrogen metabolism","gene_06","945782","narG",1.42689801648705e-12,3.38205214572923,1,11.8456070657499,11.8456070657499,2,5,1,"Nitrogen metabolism padj:0.01198 N( -1/ +5/ 26)","Nitrogen metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"5",2,"KEGG_PATHWAY","eco00920:Sulfur metabolism",8,7.92079207920792,7.10755853472944e-05,54,33,1575,7.07070707070707,0.00241373802372524,0.0012075981585189,0.000624870706862457,"Sulfur metabolism","gene_05","947216","ssuC",2.53235905580129e-08,2.85957215508421,1,7.59647471694148,7.59647471694148,7,7,1,"Sulfur metabolism padj:0.00062 N( -1/ +7/ 33)","Sulfur metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"6",2,"KEGG_PATHWAY","eco00920:Sulfur metabolism",8,7.92079207920792,7.10755853472944e-05,54,33,1575,7.07070707070707,0.00241373802372524,0.0012075981585189,0.000624870706862457,"Sulfur metabolism","gene_01","945557","ssuD",1.42499061893858e-07,2.86978748153986,1,6.84618799471275,6.84618799471275,6,7,1,"Sulfur metabolism padj:0.00062 N( -1/ +7/ 33)","Sulfur metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"7",2,"KEGG_PATHWAY","eco00920:Sulfur metabolism",8,7.92079207920792,7.10755853472944e-05,54,33,1575,7.07070707070707,0.00241373802372524,0.0012075981585189,0.000624870706862457,"Sulfur metabolism","gene_02","947220","ssuB",3.32050585068641e-07,2.3015155917199,1,6.47879575020346,6.47879575020346,4,7,1,"Sulfur metabolism padj:0.00062 N( -1/ +7/ 33)","Sulfur metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"8",2,"KEGG_PATHWAY","eco00920:Sulfur metabolism",8,7.92079207920792,7.10755853472944e-05,54,33,1575,7.07070707070707,0.00241373802372524,0.0012075981585189,0.000624870706862457,"Sulfur metabolism","gene_07","945560","ssuA",3.32050585068641e-07,2.77696084873633,1,6.47879575020346,6.47879575020346,5,7,1,"Sulfur metabolism padj:0.00062 N( -1/ +7/ 33)","Sulfur metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"9",3,"KEGG_PATHWAY","eco00910:Nitrogen metabolism",6,5.94059405940594,0.00136982270814311,54,26,1575,6.73076923076923,0.0455365227316068,0.0154152497952276,0.0119822122063495,"Nitrogen metabolism","gene_02","945783","narK",4.74965333880202e-07,2.71444859919153,1,6.32333808690975,6.32333808690975,1,5,1,"Nitrogen metabolism padj:0.01198 N( -1/ +5/ 26)","Nitrogen metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"10",2,"KEGG_PATHWAY","eco00920:Sulfur metabolism",8,7.92079207920792,7.10755853472944e-05,54,33,1575,7.07070707070707,0.00241373802372524,0.0012075981585189,0.000624870706862457,"Sulfur metabolism","gene_08","945947","ssuE",3.15841027657142e-05,2.7334258178405,1,4.50053145593707,4.50053145593707,3,7,1,"Sulfur metabolism padj:0.00062 N( -1/ +7/ 33)","Sulfur metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"11",2,"KEGG_PATHWAY","eco00920:Sulfur metabolism",8,7.92079207920792,7.10755853472944e-05,54,33,1575,7.07070707070707,0.00241373802372524,0.0012075981585189,0.000624870706862457,"Sulfur metabolism","gene_06","948434","metB",0.0015241383005215,1.31972761961046,1,2.81697562326664,2.81697562326664,2,7,1,"Sulfur metabolism padj:0.00062 N( -1/ +7/ 33)","Sulfur metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"12",2,"KEGG_PATHWAY","eco00920:Sulfur metabolism",8,7.92079207920792,7.10755853472944e-05,54,33,1575,7.07070707070707,0.00241373802372524,0.0012075981585189,0.000624870706862457,"Sulfur metabolism","gene_04","945502","dmsC",0.0416114387626972,1.14389403582789,1,1.38078726772309,1.38078726772309,1,7,1,"Sulfur metabolism padj:0.00062 N( -1/ +7/ 33)","Sulfur metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"13",3,"KEGG_PATHWAY","eco00910:Nitrogen metabolism",6,5.94059405940594,0.00136982270814311,54,26,1575,6.73076923076923,0.0455365227316068,0.0154152497952276,0.0119822122063495,"Nitrogen metabolism","gene_05","948370","glnA",0.0424212336621665,-1.38285290170718,-1,-1.37241670581284,1.37241670581284,-1,5,1,"Nitrogen metabolism padj:0.01198 N( -1/ +5/ 26)","Nitrogen metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"14",2,"KEGG_PATHWAY","eco00920:Sulfur metabolism",8,7.92079207920792,7.10755853472944e-05,54,33,1575,7.07070707070707,0.00241373802372524,0.0012075981585189,0.000624870706862457,"Sulfur metabolism","gene_03","947231","cysI",0.0399697048941551,-1.38635136886791,-1,-1.39826905822759,1.39826905822759,-1,7,1,"Sulfur metabolism padj:0.00062 N( -1/ +7/ 33)","Sulfur metabolism","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"15",1,"KEGG_PATHWAY","eco02040:Flagellar assembly",9,8.91089108910891,1.40620769052998e-05,54,36,1575,7.29166666666667,0.000477999698153764,0.000477999698153764,0.000123656138473316,"Flagellar assembly","gene_07","945647","flgG",0.0358376538400714,-1.30427576288895,-1,-1.44566042974826,1.44566042974826,-1,0,9,"Flagellar assembly padj:0.00012 N( -9/ +0/ 36)","Flagellar assembly","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"16",1,"KEGG_PATHWAY","eco02040:Flagellar assembly",9,8.91089108910891,1.40620769052998e-05,54,36,1575,7.29166666666667,0.000477999698153764,0.000477999698153764,0.000123656138473316,"Flagellar assembly","gene_05","946390","flhA",0.0308272943215177,-1.35116335619232,-1,-1.51106459116062,1.51106459116062,-2,0,9,"Flagellar assembly padj:0.00012 N( -9/ +0/ 36)","Flagellar assembly","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"17",1,"KEGG_PATHWAY","eco02040:Flagellar assembly",9,8.91089108910891,1.40620769052998e-05,54,36,1575,7.29166666666667,0.000477999698153764,0.000477999698153764,0.000123656138473316,"Flagellar assembly","gene_04","945646","flgL",0.0296721552427024,-1.43920998415988,-1,-1.52765090747425,1.52765090747425,-3,0,9,"Flagellar assembly padj:0.00012 N( -9/ +0/ 36)","Flagellar assembly","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
