"","X","Category","MF","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_MF","MF_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","MF_Long","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",3,"GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",22,21.7821782178218,0.00326915126550527,84,439,3186,1.90074845427921,0.63881737327531,0.399015285781169,0.0430436710221456,"oxidoreductase activity","gene_18","945808","narI",4.12105865450113e-16,4.01526504567674,1,15.3849912041736,15.3849912041736,10,10,12,"oxidoreductase activity padj:0.04304 N( -12/ +10/ 439)","mrna","Exp","Mg_mM_Levels","baseMg","highMg","mf"
"2",3,"GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",22,21.7821782178218,0.00326915126550527,84,439,3186,1.90074845427921,0.63881737327531,0.399015285781169,0.0430436710221456,"oxidoreductase activity","gene_08","945780","narH",1.89248256389416e-14,3.64229723569276,1,13.7229681131169,13.7229681131169,9,10,12,"oxidoreductase activity padj:0.04304 N( -12/ +10/ 439)","mrna","Exp","Mg_mM_Levels","baseMg","highMg","mf"
"3",3,"GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",22,21.7821782178218,0.00326915126550527,84,439,3186,1.90074845427921,0.63881737327531,0.399015285781169,0.0430436710221456,"oxidoreductase activity","gene_09","945782","narG",1.42689801648705e-12,3.38205214572923,1,11.8456070657499,11.8456070657499,8,10,12,"oxidoreductase activity padj:0.04304 N( -12/ +10/ 439)","mrna","Exp","Mg_mM_Levels","baseMg","highMg","mf"
"4",2,"GOTERM_MF_ALL","GO:0042959~alkanesulfonate transporter activity",3,2.97029702970297,0.00197801358418018,84,3,3186,37.9285714285714,0.459776009265639,0.459776009265639,0.0262529059157348,"alkanesulfonate transporter activity","gene_02","947216","ssuC",2.53235905580129e-08,2.85957215508421,1,7.59647471694148,7.59647471694148,3,3,1,"alkanesulfonate transporter activity padj:0.02625 N( -1/ +3/ 3)","mrna","Exp","Mg_mM_Levels","baseMg","highMg","mf"
"5",3,"GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",22,21.7821782178218,0.00326915126550527,84,439,3186,1.90074845427921,0.63881737327531,0.399015285781169,0.0430436710221456,"oxidoreductase activity","gene_17","945557","ssuD",1.42499061893858e-07,2.86978748153986,1,6.84618799471275,6.84618799471275,7,10,12,"oxidoreductase activity padj:0.04304 N( -12/ +10/ 439)","mrna","Exp","Mg_mM_Levels","baseMg","highMg","mf"
"6",2,"GOTERM_MF_ALL","GO:0042959~alkanesulfonate transporter activity",3,2.97029702970297,0.00197801358418018,84,3,3186,37.9285714285714,0.459776009265639,0.459776009265639,0.0262529059157348,"alkanesulfonate transporter activity","gene_01","947220","ssuB",3.32050585068641e-07,2.3015155917199,1,6.47879575020346,6.47879575020346,1,3,1,"alkanesulfonate transporter activity padj:0.02625 N( -1/ +3/ 3)","mrna","Exp","Mg_mM_Levels","baseMg","highMg","mf"
"7",2,"GOTERM_MF_ALL","GO:0042959~alkanesulfonate transporter activity",3,2.97029702970297,0.00197801358418018,84,3,3186,37.9285714285714,0.459776009265639,0.459776009265639,0.0262529059157348,"alkanesulfonate transporter activity","gene_03","945560","ssuA",3.32050585068641e-07,2.77696084873633,1,6.47879575020346,6.47879575020346,2,3,1,"alkanesulfonate transporter activity padj:0.02625 N( -1/ +3/ 3)","mrna","Exp","Mg_mM_Levels","baseMg","highMg","mf"
"8",3,"GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",22,21.7821782178218,0.00326915126550527,84,439,3186,1.90074845427921,0.63881737327531,0.399015285781169,0.0430436710221456,"oxidoreductase activity","gene_22","945947","ssuE",3.15841027657142e-05,2.7334258178405,1,4.50053145593707,4.50053145593707,6,10,12,"oxidoreductase activity padj:0.04304 N( -12/ +10/ 439)","mrna","Exp","Mg_mM_Levels","baseMg","highMg","mf"
"9",3,"GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",22,21.7821782178218,0.00326915126550527,84,439,3186,1.90074845427921,0.63881737327531,0.399015285781169,0.0430436710221456,"oxidoreductase activity","gene_12","948432","metF",0.000264768465897399,1.79955871833349,1,3.57713374091763,3.57713374091763,5,10,12,"oxidoreductase activity padj:0.04304 N( -12/ +10/ 439)","mrna","Exp","Mg_mM_Levels","baseMg","highMg","mf"
"10",3,"GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",22,21.7821782178218,0.00326915126550527,84,439,3186,1.90074845427921,0.63881737327531,0.399015285781169,0.0430436710221456,"oxidoreductase activity","gene_21","945981","ydeM",0.00134553951009068,1.7764147450199,1,2.87110354519682,2.87110354519682,4,10,12,"oxidoreductase activity padj:0.04304 N( -12/ +10/ 439)","mrna","Exp","Mg_mM_Levels","baseMg","highMg","mf"
