"","X","Category","KEGG_Path","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_KEGG_Path","KEGG_Path_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",1,"KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",6,2.66666666666667,8.35681706669702e-06,110,6,1571,14.2818181818182,0.000559752363160082,0.000559752363160082,8.57067584899562e-05,"Biosynthesis of siderophore group nonribosomal peptides","gene_01","945284","entA",0.003979097592696,3.23511742979945,1,2.40021540906935,2.40021540906935,5,5,1,"Biosynthesis of siderophore group nonribosomal peptides
 padj:0.00009 N( -1/ +5/ 6)","Biosynthesis of siderophore group nonribosomal peptides","protein","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"2",1,"KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",6,2.66666666666667,8.35681706669702e-06,110,6,1571,14.2818181818182,0.000559752363160082,0.000559752363160082,8.57067584899562e-05,"Biosynthesis of siderophore group nonribosomal peptides","gene_03","945184","entF",0.0149573717725092,3.11463486241092,1,1.82514471161681,1.82514471161681,4,5,1,"Biosynthesis of siderophore group nonribosomal peptides
 padj:0.00009 N( -1/ +5/ 6)","Biosynthesis of siderophore group nonribosomal peptides","protein","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"3",1,"KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",6,2.66666666666667,8.35681706669702e-06,110,6,1571,14.2818181818182,0.000559752363160082,0.000559752363160082,8.57067584899562e-05,"Biosynthesis of siderophore group nonribosomal peptides","gene_04","945511","entC",0.0189681818224971,3.42701285670764,1,1.7219742960117,1.7219742960117,3,5,1,"Biosynthesis of siderophore group nonribosomal peptides
 padj:0.00009 N( -1/ +5/ 6)","Biosynthesis of siderophore group nonribosomal peptides","protein","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"4",1,"KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",6,2.66666666666667,8.35681706669702e-06,110,6,1571,14.2818181818182,0.000559752363160082,0.000559752363160082,8.57067584899562e-05,"Biosynthesis of siderophore group nonribosomal peptides","gene_05","946178","entB",0.0197487681335015,2.77146760860024,1,1.70445998912653,1.70445998912653,2,5,1,"Biosynthesis of siderophore group nonribosomal peptides
 padj:0.00009 N( -1/ +5/ 6)","Biosynthesis of siderophore group nonribosomal peptides","protein","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"5",1,"KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",6,2.66666666666667,8.35681706669702e-06,110,6,1571,14.2818181818182,0.000559752363160082,0.000559752363160082,8.57067584899562e-05,"Biosynthesis of siderophore group nonribosomal peptides","gene_02","947426","entE",0.0247382555520751,2.91125226182049,1,1.60663092842633,1.60663092842633,1,5,1,"Biosynthesis of siderophore group nonribosomal peptides
 padj:0.00009 N( -1/ +5/ 6)","Biosynthesis of siderophore group nonribosomal peptides","protein","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"6",1,"KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",6,2.66666666666667,8.35681706669702e-06,110,6,1571,14.2818181818182,0.000559752363160082,0.000559752363160082,8.57067584899562e-05,"Biosynthesis of siderophore group nonribosomal peptides","gene_06","946712","menF",0.0498325576950321,-2.6708855057773,-1,-1.30248682175264,1.30248682175264,-1,5,1,"Biosynthesis of siderophore group nonribosomal peptides
 padj:0.00009 N( -1/ +5/ 6)","Biosynthesis of siderophore group nonribosomal peptides","protein","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"7",2,"KEGG_PATHWAY","eco02020:Two-component system",21,9.33333333333333,0.00164024734029778,110,146,1571,2.05423412204234,0.10415403894906,0.0535086048722156,0.0166957457045203,"Two-component system","gene_05","945464","acrD",0.0408875334319282,-3.16030875990087,-1,-1.38840908776342,1.38840908776342,-1,0,21,"Two-component system
 padj:0.01670 N( -21/ +0/ 146)","Two-component system","protein","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"8",2,"KEGG_PATHWAY","eco02020:Two-component system",21,9.33333333333333,0.00164024734029778,110,146,1571,2.05423412204234,0.10415403894906,0.0535086048722156,0.0166957457045203,"Two-component system","gene_19","945995","trg",0.0378778768115734,-3.19965507359249,-1,-1.4216143727221,1.4216143727221,-2,0,21,"Two-component system
 padj:0.01670 N( -21/ +0/ 146)","Two-component system","protein","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"9",2,"KEGG_PATHWAY","eco02020:Two-component system",21,9.33333333333333,0.00164024734029778,110,146,1571,2.05423412204234,0.10415403894906,0.0535086048722156,0.0166957457045203,"Two-component system","gene_12","948922","creB",0.0375341940764956,-2.70197110351342,-1,-1.42557290474467,1.42557290474467,-3,0,21,"Two-component system
 padj:0.01670 N( -21/ +0/ 146)","Two-component system","protein","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"10",2,"KEGG_PATHWAY","eco02020:Two-component system",21,9.33333333333333,0.00164024734029778,110,146,1571,2.05423412204234,0.10415403894906,0.0535086048722156,0.0166957457045203,"Two-component system","gene_08","946267","torA",0.0364040679458706,-3.0424774972959,-1,-1.43885008372094,1.43885008372094,-4,0,21,"Two-component system
 padj:0.01670 N( -21/ +0/ 146)","Two-component system","protein","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
