"","X","Category","MF","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_MF","MF_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","MF_Long","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",52,3.601108033241,4.51160969479915e-09,72,56,108,1.39285714285714,2.25580457091645e-07,2.25580457091645e-07,4.34531959303541e-08,"structural constituent of ribosome","gene_03","945484","rimK",0.010427210530357,1.66671830828951,1,1.98183185775771,1.98183185775771,1,1,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +1/ 56)","protein","Exp","Na_mM_Levels","baseNa","highNa","mf"
"2",2,"GOTERM_MF_ALL","GO:0005198~structural molecule activity",52,3.601108033241,4.51160969479915e-09,72,56,108,1.39285714285714,2.25580457091645e-07,2.25580457091645e-07,4.34531959303541e-08,"structural molecule activity","gene_03","945484","rimK",0.010427210530357,1.66671830828951,1,1.98183185775771,1.98183185775771,1,1,51,"structural molecule activity
 padj:0.00000 N( -51/ +1/ 56)","protein","Exp","Na_mM_Levels","baseNa","highNa","mf"
"3",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",52,3.601108033241,4.51160969479915e-09,72,56,108,1.39285714285714,2.25580457091645e-07,2.25580457091645e-07,4.34531959303541e-08,"structural constituent of ribosome","gene_04","945152","rplT",0.0486457560640841,-1.12677214621459,-1,-1.31295504230921,1.31295504230921,-1,1,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +1/ 56)","protein","Exp","Na_mM_Levels","baseNa","highNa","mf"
"4",2,"GOTERM_MF_ALL","GO:0005198~structural molecule activity",52,3.601108033241,4.51160969479915e-09,72,56,108,1.39285714285714,2.25580457091645e-07,2.25580457091645e-07,4.34531959303541e-08,"structural molecule activity","gene_04","945152","rplT",0.0486457560640841,-1.12677214621459,-1,-1.31295504230921,1.31295504230921,-1,1,51,"structural molecule activity
 padj:0.00000 N( -51/ +1/ 56)","protein","Exp","Na_mM_Levels","baseNa","highNa","mf"
"5",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",52,3.601108033241,4.51160969479915e-09,72,56,108,1.39285714285714,2.25580457091645e-07,2.25580457091645e-07,4.34531959303541e-08,"structural constituent of ribosome","gene_17","949057","rplU",0.0377437567499952,-1.2275298554867,-1,-1.42315487537951,1.42315487537951,-2,1,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +1/ 56)","protein","Exp","Na_mM_Levels","baseNa","highNa","mf"
"6",2,"GOTERM_MF_ALL","GO:0005198~structural molecule activity",52,3.601108033241,4.51160969479915e-09,72,56,108,1.39285714285714,2.25580457091645e-07,2.25580457091645e-07,4.34531959303541e-08,"structural molecule activity","gene_17","949057","rplU",0.0377437567499952,-1.2275298554867,-1,-1.42315487537951,1.42315487537951,-2,1,51,"structural molecule activity
 padj:0.00000 N( -51/ +1/ 56)","protein","Exp","Na_mM_Levels","baseNa","highNa","mf"
"7",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",52,3.601108033241,4.51160969479915e-09,72,56,108,1.39285714285714,2.25580457091645e-07,2.25580457091645e-07,4.34531959303541e-08,"structural constituent of ribosome","gene_28","947819","rplW",0.0267064604623406,-1.02330475530218,-1,-1.57338366733377,1.57338366733377,-3,1,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +1/ 56)","protein","Exp","Na_mM_Levels","baseNa","highNa","mf"
"8",2,"GOTERM_MF_ALL","GO:0005198~structural molecule activity",52,3.601108033241,4.51160969479915e-09,72,56,108,1.39285714285714,2.25580457091645e-07,2.25580457091645e-07,4.34531959303541e-08,"structural molecule activity","gene_28","947819","rplW",0.0267064604623406,-1.02330475530218,-1,-1.57338366733377,1.57338366733377,-3,1,51,"structural molecule activity
 padj:0.00000 N( -51/ +1/ 56)","protein","Exp","Na_mM_Levels","baseNa","highNa","mf"
"9",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",52,3.601108033241,4.51160969479915e-09,72,56,108,1.39285714285714,2.25580457091645e-07,2.25580457091645e-07,4.34531959303541e-08,"structural constituent of ribosome","gene_37","947804","rplR",0.0223631998113194,-1.16746790296009,-1,-1.65046605584038,1.65046605584038,-4,1,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +1/ 56)","protein","Exp","Na_mM_Levels","baseNa","highNa","mf"
"10",2,"GOTERM_MF_ALL","GO:0005198~structural molecule activity",52,3.601108033241,4.51160969479915e-09,72,56,108,1.39285714285714,2.25580457091645e-07,2.25580457091645e-07,4.34531959303541e-08,"structural molecule activity","gene_37","947804","rplR",0.0223631998113194,-1.16746790296009,-1,-1.65046605584038,1.65046605584038,-4,1,51,"structural molecule activity
 padj:0.00000 N( -51/ +1/ 56)","protein","Exp","Na_mM_Levels","baseNa","highNa","mf"
