"","X","Category","KEGG_Path","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_KEGG_Path","KEGG_Path_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",2,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",14,3.98860398860399,0.00409619759601556,184,51,1571,2.34377664109122,0.273966832193597,0.147924200668507,0.0424887064613388,"Pyruvate metabolism","gene_09","948121","lldD",5.58725513312103e-11,4.22521087999444,1,10.2528014968201,10.2528014968201,14,14,1,"Pyruvate metabolism
 padj:0.04249 N( -1/ +14/ 51)","Pyruvate metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"2",2,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",14,3.98860398860399,0.00409619759601556,184,51,1571,2.34377664109122,0.273966832193597,0.147924200668507,0.0424887064613388,"Pyruvate metabolism","gene_13","948572","acs",3.16529569861036e-09,2.85725745817063,1,8.49958571241561,8.49958571241561,13,14,1,"Pyruvate metabolism
 padj:0.04249 N( -1/ +14/ 51)","Pyruvate metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"3",3,"KEGG_PATHWAY","eco01200:Carbon metabolism",23,6.55270655270655,0.00414081521194786,184,107,1571,1.83528037383178,0.276499575337287,0.102268914892552,0.0429423714324607,"Carbon metabolism","gene_20","948572","acs",3.16529569861036e-09,2.85725745817063,1,8.49958571241561,8.49958571241561,22,22,1,"Carbon metabolism
 padj:0.04294 N( -1/ +22/ 107)","Carbon metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"4",2,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",14,3.98860398860399,0.00409619759601556,184,51,1571,2.34377664109122,0.273966832193597,0.147924200668507,0.0424887064613388,"Pyruvate metabolism","gene_02","945672","aldA",1.92317186911663e-07,2.14010696193797,1,6.71598190220271,6.71598190220271,12,14,1,"Pyruvate metabolism
 padj:0.04249 N( -1/ +14/ 51)","Pyruvate metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"5",2,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",14,3.98860398860399,0.00409619759601556,184,51,1571,2.34377664109122,0.273966832193597,0.147924200668507,0.0424887064613388,"Pyruvate metabolism","gene_10","947324","yqeF",1.74349757446004e-05,2.59178097173212,1,4.75857865247461,4.75857865247461,11,14,1,"Pyruvate metabolism
 padj:0.04249 N( -1/ +14/ 51)","Pyruvate metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"6",3,"KEGG_PATHWAY","eco01200:Carbon metabolism",23,6.55270655270655,0.00414081521194786,184,107,1571,1.83528037383178,0.276499575337287,0.102268914892552,0.0429423714324607,"Carbon metabolism","gene_15","947324","yqeF",1.74349757446004e-05,2.59178097173212,1,4.75857865247461,4.75857865247461,21,22,1,"Carbon metabolism
 padj:0.04294 N( -1/ +22/ 107)","Carbon metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"7",2,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",14,3.98860398860399,0.00409619759601556,184,51,1571,2.34377664109122,0.273966832193597,0.147924200668507,0.0424887064613388,"Pyruvate metabolism","gene_12","946209","ppsA",4.62615258087954e-05,1.98038101897818,1,4.33478004732389,4.33478004732389,10,14,1,"Pyruvate metabolism
 padj:0.04249 N( -1/ +14/ 51)","Pyruvate metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"8",3,"KEGG_PATHWAY","eco01200:Carbon metabolism",23,6.55270655270655,0.00414081521194786,184,107,1571,1.83528037383178,0.276499575337287,0.102268914892552,0.0429423714324607,"Carbon metabolism","gene_18","946209","ppsA",4.62615258087954e-05,1.98038101897818,1,4.33478004732389,4.33478004732389,20,22,1,"Carbon metabolism
 padj:0.04294 N( -1/ +22/ 107)","Carbon metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"9",3,"KEGG_PATHWAY","eco01200:Carbon metabolism",23,6.55270655270655,0.00414081521194786,184,107,1571,1.83528037383178,0.276499575337287,0.102268914892552,0.0429423714324607,"Carbon metabolism","gene_11","948517","aceA",5.6357208786994e-05,1.82201925612758,1,4.24905052440627,4.24905052440627,19,22,1,"Carbon metabolism
 padj:0.04294 N( -1/ +22/ 107)","Carbon metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"10",2,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",14,3.98860398860399,0.00409619759601556,184,51,1571,2.34377664109122,0.273966832193597,0.147924200668507,0.0424887064613388,"Pyruvate metabolism","gene_03","946947","maeB",0.000119003917359769,1.69357142918958,1,3.92443874230722,3.92443874230722,9,14,1,"Pyruvate metabolism
 padj:0.04249 N( -1/ +14/ 51)","Pyruvate metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
