"","X","Category","KEGG_Path","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_KEGG_Path","KEGG_Path_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",2,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",14,4.06976744186047,0.00381404235362113,183,51,1575,2.3625843780135,0.257746225481329,0.138458489381579,0.0396152838729503,"Pyruvate metabolism","gene_09","948121","lldD",5.63867979276942e-11,4.2218474634617,1,10.2488225672634,10.2488225672634,14,14,1,"Pyruvate metabolism padj:0.03962 N( -1/ +14/ 51)","Pyruvate metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"2",2,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",14,4.06976744186047,0.00381404235362113,183,51,1575,2.3625843780135,0.257746225481329,0.138458489381579,0.0396152838729503,"Pyruvate metabolism","gene_13","948572","acs",3.4289505106497e-09,2.85314164451782,1,8.46483878292438,8.46483878292438,13,14,1,"Pyruvate metabolism padj:0.03962 N( -1/ +14/ 51)","Pyruvate metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"3",3,"KEGG_PATHWAY","eco01200:Carbon metabolism",23,6.68604651162791,0.00422309881345621,183,108,1575,1.83287795992714,0.281147594569067,0.10419549240409,0.0437785078853475,"Carbon metabolism","gene_20","948572","acs",3.4289505106497e-09,2.85314164451782,1,8.46483878292438,8.46483878292438,22,22,1,"Carbon metabolism padj:0.04378 N( -1/ +22/ 108)","Carbon metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"4",2,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",14,4.06976744186047,0.00381404235362113,183,51,1575,2.3625843780135,0.257746225481329,0.138458489381579,0.0396152838729503,"Pyruvate metabolism","gene_02","945672","aldA",2.04655937475848e-07,2.13587955939001,1,6.68897565108912,6.68897565108912,12,14,1,"Pyruvate metabolism padj:0.03962 N( -1/ +14/ 51)","Pyruvate metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"5",2,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",14,4.06976744186047,0.00381404235362113,183,51,1575,2.3625843780135,0.257746225481329,0.138458489381579,0.0396152838729503,"Pyruvate metabolism","gene_10","947324","yqeF",1.87623006495803e-05,2.58752603025527,1,4.72671390912561,4.72671390912561,11,14,1,"Pyruvate metabolism padj:0.03962 N( -1/ +14/ 51)","Pyruvate metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"6",3,"KEGG_PATHWAY","eco01200:Carbon metabolism",23,6.68604651162791,0.00422309881345621,183,108,1575,1.83287795992714,0.281147594569067,0.10419549240409,0.0437785078853475,"Carbon metabolism","gene_15","947324","yqeF",1.87623006495803e-05,2.58752603025527,1,4.72671390912561,4.72671390912561,21,22,1,"Carbon metabolism padj:0.04378 N( -1/ +22/ 108)","Carbon metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"7",2,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",14,4.06976744186047,0.00381404235362113,183,51,1575,2.3625843780135,0.257746225481329,0.138458489381579,0.0396152838729503,"Pyruvate metabolism","gene_12","946209","ppsA",5.07202346576959e-05,1.97521369989919,1,4.29481874585372,4.29481874585372,10,14,1,"Pyruvate metabolism padj:0.03962 N( -1/ +14/ 51)","Pyruvate metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"8",3,"KEGG_PATHWAY","eco01200:Carbon metabolism",23,6.68604651162791,0.00422309881345621,183,108,1575,1.83287795992714,0.281147594569067,0.10419549240409,0.0437785078853475,"Carbon metabolism","gene_18","946209","ppsA",5.07202346576959e-05,1.97521369989919,1,4.29481874585372,4.29481874585372,20,22,1,"Carbon metabolism padj:0.04378 N( -1/ +22/ 108)","Carbon metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"9",3,"KEGG_PATHWAY","eco01200:Carbon metabolism",23,6.68604651162791,0.00422309881345621,183,108,1575,1.83287795992714,0.281147594569067,0.10419549240409,0.0437785078853475,"Carbon metabolism","gene_11","948517","aceA",6.15510757891109e-05,1.81733466618806,1,4.21076435207155,4.21076435207155,19,22,1,"Carbon metabolism padj:0.04378 N( -1/ +22/ 108)","Carbon metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
"10",2,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",14,4.06976744186047,0.00381404235362113,183,51,1575,2.3625843780135,0.257746225481329,0.138458489381579,0.0396152838729503,"Pyruvate metabolism","gene_03","946947","maeB",0.000132493540407109,1.68867343187142,1,3.87780529481346,3.87780529481346,9,14,1,"Pyruvate metabolism padj:0.03962 N( -1/ +14/ 51)","Pyruvate metabolism","protein","Exp","carbonSource","glucose","lactate","kegg"
