"","X","Category","KEGG_Path","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_KEGG_Path","KEGG_Path_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",1,"KEGG_PATHWAY","eco00020:Citrate cycle (TCA cycle)",10,3.28947368421053,0.000271671517639964,144,26,1571,4.19604700854701,0.0209702583670902,0.0209702583670902,0.00286995248575328,"Citrate cycle (TCA cycle)","gene_03","948642","fumB",8.51841175922595e-05,2.15349245393356,1,4.06964137102,4.06964137102,10,10,1,"Citrate cycle (TCA cycle)
 padj:0.00287 N( -1/ +10/ 26)","Citrate cycle (TCA cycle)","protein","Sta","carbonSource","glucose","lactate","kegg"
"2",3,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",13,4.27631578947368,0.0014299614835169,144,51,1571,2.78090958605664,0.105613095746322,0.0365219820788069,0.0150226947377415,"Pyruvate metabolism","gene_03","948642","fumB",8.51841175922595e-05,2.15349245393356,1,4.06964137102,4.06964137102,13,13,1,"Pyruvate metabolism
 padj:0.01502 N( -1/ +13/ 51)","Pyruvate metabolism","protein","Sta","carbonSource","glucose","lactate","kegg"
"3",3,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",13,4.27631578947368,0.0014299614835169,144,51,1571,2.78090958605664,0.105613095746322,0.0365219820788069,0.0150226947377415,"Pyruvate metabolism","gene_05","946947","maeB",0.000525682484724345,1.99774121573848,1,3.2792764930487,3.2792764930487,12,13,1,"Pyruvate metabolism
 padj:0.01502 N( -1/ +13/ 51)","Pyruvate metabolism","protein","Sta","carbonSource","glucose","lactate","kegg"
"4",3,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",13,4.27631578947368,0.0014299614835169,144,51,1571,2.78090958605664,0.105613095746322,0.0365219820788069,0.0150226947377415,"Pyruvate metabolism","gene_07","948121","lldD",0.000549816468050057,3.4581539133013,1,3.25978225635112,3.25978225635112,11,13,1,"Pyruvate metabolism
 padj:0.01502 N( -1/ +13/ 51)","Pyruvate metabolism","protein","Sta","carbonSource","glucose","lactate","kegg"
"5",1,"KEGG_PATHWAY","eco00020:Citrate cycle (TCA cycle)",10,3.28947368421053,0.000271671517639964,144,26,1571,4.19604700854701,0.0209702583670902,0.0209702583670902,0.00286995248575328,"Citrate cycle (TCA cycle)","gene_09","948667","frdA",0.000661615456455438,2.25062117775622,1,3.17939435748378,3.17939435748378,9,10,1,"Citrate cycle (TCA cycle)
 padj:0.00287 N( -1/ +10/ 26)","Citrate cycle (TCA cycle)","protein","Sta","carbonSource","glucose","lactate","kegg"
"6",3,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",13,4.27631578947368,0.0014299614835169,144,51,1571,2.78090958605664,0.105613095746322,0.0365219820788069,0.0150226947377415,"Pyruvate metabolism","gene_11","948667","frdA",0.000661615456455438,2.25062117775622,1,3.17939435748378,3.17939435748378,10,13,1,"Pyruvate metabolism
 padj:0.01502 N( -1/ +13/ 51)","Pyruvate metabolism","protein","Sta","carbonSource","glucose","lactate","kegg"
"7",3,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",13,4.27631578947368,0.0014299614835169,144,51,1571,2.78090958605664,0.105613095746322,0.0365219820788069,0.0150226947377415,"Pyruvate metabolism","gene_04","948454","pflD",0.000738606876547725,3.22180521310387,1,3.13158665331538,3.13158665331538,9,13,1,"Pyruvate metabolism
 padj:0.01502 N( -1/ +13/ 51)","Pyruvate metabolism","protein","Sta","carbonSource","glucose","lactate","kegg"
"8",3,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",13,4.27631578947368,0.0014299614835169,144,51,1571,2.78090958605664,0.105613095746322,0.0365219820788069,0.0150226947377415,"Pyruvate metabolism","gene_10","946209","ppsA",0.00121704161356628,2.01377096432069,1,2.91469457194805,2.91469457194805,8,13,1,"Pyruvate metabolism
 padj:0.01502 N( -1/ +13/ 51)","Pyruvate metabolism","protein","Sta","carbonSource","glucose","lactate","kegg"
"9",1,"KEGG_PATHWAY","eco00020:Citrate cycle (TCA cycle)",10,3.28947368421053,0.000271671517639964,144,26,1571,4.19604700854701,0.0209702583670902,0.0209702583670902,0.00286995248575328,"Citrate cycle (TCA cycle)","gene_05","945402","sdhA",0.00135268521918539,2.02552472144706,1,2.8688032554911,2.8688032554911,8,10,1,"Citrate cycle (TCA cycle)
 padj:0.00287 N( -1/ +10/ 26)","Citrate cycle (TCA cycle)","protein","Sta","carbonSource","glucose","lactate","kegg"
"10",3,"KEGG_PATHWAY","eco00620:Pyruvate metabolism",13,4.27631578947368,0.0014299614835169,144,51,1571,2.78090958605664,0.105613095746322,0.0365219820788069,0.0150226947377415,"Pyruvate metabolism","gene_01","948104","aldB",0.00205115655744531,1.73719083950684,1,2.68800119022172,2.68800119022172,7,13,1,"Pyruvate metabolism
 padj:0.01502 N( -1/ +13/ 51)","Pyruvate metabolism","protein","Sta","carbonSource","glucose","lactate","kegg"
