"","X","Category","KEGG_Path","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_KEGG_Path","KEGG_Path_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",4,"KEGG_PATHWAY","eco01100:Metabolic pathways",349,28.2820097244733,5.42206279757235e-11,645,697,1575,1.22268192586167,6.18115159056742e-09,1.54528789764186e-09,6.16631523620015e-10,"Metabolic pathways","gene_332","945716","betA",0.00231748303727842,2.23578941678691,1,2.63498343597239,2.63498343597239,55,55,294,"Metabolic pathways padj:0.00000 N( -294/ +55/ 697)","Metabolic pathways","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"2",4,"KEGG_PATHWAY","eco01100:Metabolic pathways",349,28.2820097244733,5.42206279757235e-11,645,697,1575,1.22268192586167,6.18115159056742e-09,1.54528789764186e-09,6.16631523620015e-10,"Metabolic pathways","gene_59","948643","cadA",0.00264137372831546,2.35691129445173,1,2.57817014606226,2.57817014606226,54,55,294,"Metabolic pathways padj:0.00000 N( -294/ +55/ 697)","Metabolic pathways","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"3",2,"KEGG_PATHWAY","eco01110:Biosynthesis of secondary metabolites",184,14.9108589951378,2.50821797528775e-16,645,294,1575,1.52823920265781,2.53130849614536e-14,1.26565424807268e-14,2.55351295663786e-15,"Biosynthesis of secondary metabolites","gene_62","948643","cadA",0.00264137372831546,2.35691129445173,1,2.57817014606226,2.57817014606226,17,17,167,"Biosynthesis of secondary metabolites padj:0.00000 N( -167/ +17/ 294)","Biosynthesis of secondary metabolites","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"4",10,"KEGG_PATHWAY","eco01120:Microbial metabolism in diverse environments",121,9.80551053484603,0.000994755918262171,645,239,1575,1.23625571664883,0.107258859026528,0.0112817400320404,0.0112548137730619,"Microbial metabolism in diverse environments","gene_98","945999","narZ",0.00365643546302256,2.22853794211074,1,2.43694208757558,2.43694208757558,33,33,88,"Microbial metabolism in diverse environments padj:0.01125 N( -88/ +33/ 239)","Microbial metabolism in diverse environments","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"5",10,"KEGG_PATHWAY","eco01120:Microbial metabolism in diverse environments",121,9.80551053484603,0.000994755918262171,645,239,1575,1.23625571664883,0.107258859026528,0.0112817400320404,0.0112548137730619,"Microbial metabolism in diverse environments","gene_67","945580","hyaB",0.00370410626795487,2.40475798206662,1,2.4313165622373,2.4313165622373,32,33,88,"Microbial metabolism in diverse environments padj:0.01125 N( -88/ +33/ 239)","Microbial metabolism in diverse environments","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"6",8,"KEGG_PATHWAY","eco01200:Carbon metabolism",62,5.02431118314425,0.000512394601985294,645,108,1575,1.40180878552972,0.0567538058661389,0.00727688866957654,0.00581181688313026,"Carbon metabolism","gene_43","948395","fdoH",0.00461910889305634,2.72362167655657,1,2.33544179936938,2.33544179936938,8,8,54,"Carbon metabolism padj:0.00581 N( -54/ +8/ 108)","Carbon metabolism","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"7",10,"KEGG_PATHWAY","eco01120:Microbial metabolism in diverse environments",121,9.80551053484603,0.000994755918262171,645,239,1575,1.23625571664883,0.107258859026528,0.0112817400320404,0.0112548137730619,"Microbial metabolism in diverse environments","gene_46","948395","fdoH",0.00461910889305634,2.72362167655657,1,2.33544179936938,2.33544179936938,31,33,88,"Microbial metabolism in diverse environments padj:0.01125 N( -88/ +33/ 239)","Microbial metabolism in diverse environments","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"8",4,"KEGG_PATHWAY","eco01100:Metabolic pathways",349,28.2820097244733,5.42206279757235e-11,645,697,1575,1.22268192586167,6.18115159056742e-09,1.54528789764186e-09,6.16631523620015e-10,"Metabolic pathways","gene_69","948395","fdoH",0.00461910889305634,2.72362167655657,1,2.33544179936938,2.33544179936938,53,55,294,"Metabolic pathways padj:0.00000 N( -294/ +55/ 697)","Metabolic pathways","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"9",12,"KEGG_PATHWAY","eco00450:Selenocompound metabolism",14,1.13452188006483,0.00304377697317521,645,17,1575,2.0109439124487,0.293561924180953,0.0285446562341731,0.0340744893585798,"Selenocompound metabolism","gene_07","949068","ygfK",0.00566107315837041,1.77281384227993,1,2.24710123266685,2.24710123266685,5,5,9,"Selenocompound metabolism padj:0.03407 N( -9/ +5/ 17)","Selenocompound metabolism","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"10",10,"KEGG_PATHWAY","eco01120:Microbial metabolism in diverse environments",121,9.80551053484603,0.000994755918262171,645,239,1575,1.23625571664883,0.107258859026528,0.0112817400320404,0.0112548137730619,"Microbial metabolism in diverse environments","gene_05","945150","allC",0.00567477662742133,2.56962437373168,1,2.24605122865247,2.24605122865247,30,33,88,"Microbial metabolism in diverse environments padj:0.01125 N( -88/ +33/ 239)","Microbial metabolism in diverse environments","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"11",3,"KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",128,10.3727714748784,2.62119516652808e-13,645,195,1575,1.60286225402504,2.98820967969959e-11,9.96069893233198e-12,2.98105984342101e-12,"Biosynthesis of antibiotics","gene_55","945297","speF",0.00574998035171925,1.8820527093,1,2.24033363933724,2.24033363933724,11,11,117,"Biosynthesis of antibiotics padj:0.00000 N( -117/ +11/ 195)","Biosynthesis of antibiotics","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"12",2,"KEGG_PATHWAY","eco01110:Biosynthesis of secondary metabolites",184,14.9108589951378,2.50821797528775e-16,645,294,1575,1.52823920265781,2.53130849614536e-14,1.26565424807268e-14,2.55351295663786e-15,"Biosynthesis of secondary metabolites","gene_80","945297","speF",0.00574998035171925,1.8820527093,1,2.24033363933724,2.24033363933724,16,17,167,"Biosynthesis of secondary metabolites padj:0.00000 N( -167/ +17/ 294)","Biosynthesis of secondary metabolites","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"13",4,"KEGG_PATHWAY","eco01100:Metabolic pathways",349,28.2820097244733,5.42206279757235e-11,645,697,1575,1.22268192586167,6.18115159056742e-09,1.54528789764186e-09,6.16631523620015e-10,"Metabolic pathways","gene_260","945297","speF",0.00574998035171925,1.8820527093,1,2.24033363933724,2.24033363933724,52,55,294,"Metabolic pathways padj:0.00000 N( -294/ +55/ 697)","Metabolic pathways","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
