"","X","Category","MF","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_MF","MF_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","MF_Long","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",10,"GOTERM_MF_ALL","GO:0032559~adenyl ribonucleotide binding",209,16.936790923825,2.52935981493385e-11,1071,435,3186,1.42926687916546,3.50821462991036e-08,3.89801635414244e-09,4.16279455350832e-10,"adenyl ribonucleotide binding","gene_76","947148","proV",3.52061973911914e-07,4.1407802781395,1,6.45338088038865,6.45338088038865,82,82,127,"adenyl ribonucleotide binding padj:0.00000 N( -127/ +82/ 435)","protein","Sta","Na_mM_Levels","baseNa","highNa","mf"
"2",11,"GOTERM_MF_ALL","GO:0005524~ATP binding",208,16.8557536466775,2.94105672967824e-11,1071,433,3186,1.42899838919401,4.07924807266369e-08,4.07924816148153e-09,4.84037365744427e-10,"ATP binding","gene_76","947148","proV",3.52061973911914e-07,4.1407802781395,1,6.45338088038865,6.45338088038865,82,82,126,"ATP binding padj:0.00000 N( -126/ +82/ 433)","protein","Sta","Na_mM_Levels","baseNa","highNa","mf"
"3",9,"GOTERM_MF_ALL","GO:0030554~adenyl nucleotide binding",210,17.0178282009724,1.64420688200591e-11,1071,436,3186,1.4328116567728,2.28051507678018e-08,2.85064383209743e-09,2.70602429353062e-10,"adenyl nucleotide binding","gene_77","947148","proV",3.52061973911914e-07,4.1407802781395,1,6.45338088038865,6.45338088038865,82,82,128,"adenyl nucleotide binding padj:0.00000 N( -128/ +82/ 436)","protein","Sta","Na_mM_Levels","baseNa","highNa","mf"
"4",13,"GOTERM_MF_ALL","GO:0001882~nucleoside binding",224,18.1523500810373,1.4282024559802e-10,1071,480,3186,1.38823529411765,1.98091597902739e-07,1.65076347036219e-08,2.35052499686361e-09,"nucleoside binding","gene_79","947148","proV",3.52061973911914e-07,4.1407802781395,1,6.45338088038865,6.45338088038865,87,87,137,"nucleoside binding padj:0.00000 N( -137/ +87/ 480)","protein","Sta","Na_mM_Levels","baseNa","highNa","mf"
"5",16,"GOTERM_MF_ALL","GO:0001883~purine nucleoside binding",222,17.9902755267423,3.16886062466689e-10,1071,478,3186,1.38159699026054,4.39520886685862e-07,2.9301398418724e-08,5.21528908947744e-09,"purine nucleoside binding","gene_79","947148","proV",3.52061973911914e-07,4.1407802781395,1,6.45338088038865,6.45338088038865,87,87,135,"purine nucleoside binding padj:0.00000 N( -135/ +87/ 478)","protein","Sta","Na_mM_Levels","baseNa","highNa","mf"
"6",17,"GOTERM_MF_ALL","GO:0032549~ribonucleoside binding",222,17.9902755267423,3.16886062466689e-10,1071,478,3186,1.38159699026054,4.39520886685862e-07,2.9301398418724e-08,5.21528908947744e-09,"ribonucleoside binding","gene_79","947148","proV",3.52061973911914e-07,4.1407802781395,1,6.45338088038865,6.45338088038865,87,87,135,"ribonucleoside binding padj:0.00000 N( -135/ +87/ 478)","protein","Sta","Na_mM_Levels","baseNa","highNa","mf"
"7",19,"GOTERM_MF_ALL","GO:0035639~purine ribonucleoside triphosphate binding",221,17.9092382495948,3.6702676875598e-10,1071,476,3186,1.38115246098439,5.09065962162047e-07,2.99450637619714e-08,6.04050076624674e-09,"purine ribonucleoside triphosphate binding","gene_79","947148","proV",3.52061973911914e-07,4.1407802781395,1,6.45338088038865,6.45338088038865,87,87,134,"purine ribonucleoside triphosphate binding padj:0.00000 N( -134/ +87/ 476)","protein","Sta","Na_mM_Levels","baseNa","highNa","mf"
"8",23,"GOTERM_MF_ALL","GO:0032550~purine ribonucleoside binding",221,17.9092382495948,4.69800940524006e-10,1071,477,3186,1.37825696316262,6.51613741409207e-07,3.10292354033237e-08,7.73195196757115e-09,"purine ribonucleoside binding","gene_79","947148","proV",3.52061973911914e-07,4.1407802781395,1,6.45338088038865,6.45338088038865,87,87,134,"purine ribonucleoside binding padj:0.00000 N( -134/ +87/ 477)","protein","Sta","Na_mM_Levels","baseNa","highNa","mf"
"9",1,"GOTERM_MF_ALL","GO:0005515~protein binding",423,34.2787682333874,3.12522304007102e-21,1071,916,3186,1.37372940442553,4.3346843565785e-18,4.3346843565785e-18,5.1434705130478e-20,"protein binding","gene_80","947148","proV",3.52061973911914e-07,4.1407802781395,1,6.45338088038865,6.45338088038865,98,98,326,"protein binding padj:0.00000 N( -326/ +98/ 916)","protein","Sta","Na_mM_Levels","baseNa","highNa","mf"
"10",24,"GOTERM_MF_ALL","GO:0032555~purine ribonucleotide binding",223,18.0713128038898,5.71972333747587e-10,1071,483,3186,1.37345372931781,7.93325346637452e-07,3.60602566695789e-08,9.4134815498137e-09,"purine ribonucleotide binding","gene_80","947148","proV",3.52061973911914e-07,4.1407802781395,1,6.45338088038865,6.45338088038865,87,87,136,"purine ribonucleotide binding padj:0.00000 N( -136/ +87/ 483)","protein","Sta","Na_mM_Levels","baseNa","highNa","mf"
