"","ID","KEGG_Path","padj_gene","signChange","score_gene","FDR_KEGG_Path","numGenesInCat","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","vs","df_category"
"1","gapA","eco00010:Glycolysis / Gluconeogenesis",0.0360524371134288,1,1.44306537202253,0.000834272731348951,32,1.44306537202253,2,2,1,"Glycolysis / Gluconeogenesis
 padj:0.00083 N( -1/ +2/ 32)","Glycolysis / Gluconeogenesis","mrna","Sta","carbonSource","glucoselactate","kegg"
"2","aceF","eco00010:Glycolysis / Gluconeogenesis",0.0460256998885872,1,1.33699959868619,0.000834272731348951,32,1.33699959868619,1,2,1,"Glycolysis / Gluconeogenesis
 padj:0.00083 N( -1/ +2/ 32)","Glycolysis / Gluconeogenesis","mrna","Sta","carbonSource","glucoselactate","kegg"
"3","fruB","eco00051:Fructose and mannose metabolism",0.0138043954327376,1,1.8599826086535,0.0117145240312498,35,1.8599826086535,1,1,1,"Fructose and mannose metabolism
 padj:0.01171 N( -1/ +1/ 35)","Fructose and mannose metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"4","rpoC","eco00230:Purine metabolism",0.00192412317994164,1,2.71576712842268,0.0323792143630915,76,2.71576712842268,4,4,1,"Purine metabolism
 padj:0.03238 N( -1/ +4/ 76)","Purine metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"5","guaB","eco00230:Purine metabolism",0.0351107239236496,1,1.45456021602581,0.0323792143630915,76,1.45456021602581,3,4,1,"Purine metabolism
 padj:0.03238 N( -1/ +4/ 76)","Purine metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"6","dnaE","eco00230:Purine metabolism",0.0447225222056932,1,1.34947371162597,0.0323792143630915,76,1.34947371162597,2,4,1,"Purine metabolism
 padj:0.03238 N( -1/ +4/ 76)","Purine metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"7","dnaX","eco00230:Purine metabolism",0.0498027251248262,1,1.30274689269622,0.0323792143630915,76,1.30274689269622,1,4,1,"Purine metabolism
 padj:0.03238 N( -1/ +4/ 76)","Purine metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"8","rpoC","eco00240:Pyrimidine metabolism",0.00192412317994164,1,2.71576712842268,0.0404806735883213,52,2.71576712842268,3,3,1,"Pyrimidine metabolism
 padj:0.04048 N( -1/ +3/ 52)","Pyrimidine metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"9","dnaE","eco00240:Pyrimidine metabolism",0.0447225222056932,1,1.34947371162597,0.0404806735883213,52,1.34947371162597,2,3,1,"Pyrimidine metabolism
 padj:0.04048 N( -1/ +3/ 52)","Pyrimidine metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"10","dnaX","eco00240:Pyrimidine metabolism",0.0498027251248262,1,1.30274689269622,0.0404806735883213,52,1.30274689269622,1,3,1,"Pyrimidine metabolism
 padj:0.04048 N( -1/ +3/ 52)","Pyrimidine metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"11","argI","eco00330:Arginine and proline metabolism",0.00192412317994164,1,2.71576712842268,0.0187272794023461,35,2.71576712842268,3,3,1,"Arginine and proline metabolism
 padj:0.01873 N( -1/ +3/ 35)","Arginine and proline metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"12","glnA","eco00330:Arginine and proline metabolism",0.00220886122089077,1,2.6558315692778,0.0187272794023461,35,2.6558315692778,2,3,1,"Arginine and proline metabolism
 padj:0.01873 N( -1/ +3/ 35)","Arginine and proline metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"13","argH","eco00330:Arginine and proline metabolism",0.0066834611475862,1,2.17499857225314,0.0187272794023461,35,2.17499857225314,1,3,1,"Arginine and proline metabolism
 padj:0.01873 N( -1/ +3/ 35)","Arginine and proline metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"14","pta","eco00620:Pyruvate metabolism",0.0139676079622818,1,1.85487796308632,1.18210219390846e-08,40,1.85487796308632,2,2,1,"Pyruvate metabolism
 padj:0.00000 N( -1/ +2/ 40)","Pyruvate metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"15","aceF","eco00620:Pyruvate metabolism",0.0460256998885872,1,1.33699959868619,1.18210219390846e-08,40,1.33699959868619,1,2,1,"Pyruvate metabolism
 padj:0.00000 N( -1/ +2/ 40)","Pyruvate metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"16","fruB","eco02060:Phosphotransferase system (PTS)",0.0138043954327376,1,1.8599826086535,0.00191160107883281,35,1.8599826086535,1,1,1,"Phosphotransferase system (PTS)
 padj:0.00191 N( -1/ +1/ 35)","Phosphotransferase system (PTS)","mrna","Sta","carbonSource","glucoselactate","kegg"
