"","ID","KEGG_Path","padj_gene","signChange","score_gene","FDR_KEGG_Path","numGenesInCat","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","vs","df_category"
"1","fbaB","eco00030:Pentose phosphate pathway",0.00102898594564605,1,2.98759055698689,0.000723530469762035,27,2.98759055698689,3,3,3,"Pentose phosphate pathway
 padj:0.00072 N( -3/ +3/ 27)","Pentose phosphate pathway","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"2","talA","eco00030:Pentose phosphate pathway",0.0181363473864846,1,1.74145017425624,0.000723530469762035,27,1.74145017425624,2,3,3,"Pentose phosphate pathway
 padj:0.00072 N( -3/ +3/ 27)","Pentose phosphate pathway","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"3","tktB","eco00030:Pentose phosphate pathway",0.0407534008490521,1,1.38983614377433,0.000723530469762035,27,1.38983614377433,1,3,3,"Pentose phosphate pathway
 padj:0.00072 N( -3/ +3/ 27)","Pentose phosphate pathway","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"4","rpiB","eco00030:Pentose phosphate pathway",0.0318109186714425,-1,-1.49742378866764,0.000723530469762035,27,1.49742378866764,-1,3,3,"Pentose phosphate pathway
 padj:0.00072 N( -3/ +3/ 27)","Pentose phosphate pathway","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"5","talB","eco00030:Pentose phosphate pathway",0.0197554821082045,-1,-1.70431236743138,0.000723530469762035,27,1.70431236743138,-2,3,3,"Pentose phosphate pathway
 padj:0.00072 N( -3/ +3/ 27)","Pentose phosphate pathway","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"6","deoC","eco00030:Pentose phosphate pathway",0.0193720013096449,-1,-1.712825510265,0.000723530469762035,27,1.712825510265,-3,3,3,"Pentose phosphate pathway
 padj:0.00072 N( -3/ +3/ 27)","Pentose phosphate pathway","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"7","thrA","eco00260:Glycine, serine and threonine metabolism",0.0494686717455921,-1,-1.30566975046671,0.013548174745145,30,1.30566975046671,-1,0,5,"Glycine, serine and threonine metabolism
 padj:0.01355 N( -5/ +0/ 30)","Glycine, serine and threonine metabolism","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"8","thrC","eco00260:Glycine, serine and threonine metabolism",0.0310764267034955,-1,-1.50756892398214,0.013548174745145,30,1.50756892398214,-2,0,5,"Glycine, serine and threonine metabolism
 padj:0.01355 N( -5/ +0/ 30)","Glycine, serine and threonine metabolism","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"9","thrB","eco00260:Glycine, serine and threonine metabolism",0.0142571469752738,-1,-1.84596737328231,0.013548174745145,30,1.84596737328231,-3,0,5,"Glycine, serine and threonine metabolism
 padj:0.01355 N( -5/ +0/ 30)","Glycine, serine and threonine metabolism","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"10","trpB","eco00260:Glycine, serine and threonine metabolism",0.0127808318387704,-1,-1.89344087925812,0.013548174745145,30,1.89344087925812,-4,0,5,"Glycine, serine and threonine metabolism
 padj:0.01355 N( -5/ +0/ 30)","Glycine, serine and threonine metabolism","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"11","trpA","eco00260:Glycine, serine and threonine metabolism",0.00572710374153973,-1,-2.24206494994583,0.013548174745145,30,2.24206494994583,-5,0,5,"Glycine, serine and threonine metabolism
 padj:0.01355 N( -5/ +0/ 30)","Glycine, serine and threonine metabolism","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"12","trpC","eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis",0.0416902369530569,-1,-1.3799656364853,0.00254275252155256,21,1.3799656364853,-1,0,5,"Phenylalanine, tyrosine and tryptophan biosynthesis
 padj:0.00254 N( -5/ +0/ 21)","Phenylalanine, tyrosine and tryptophan biosynthesis","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"13","trpD","eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis",0.0211328303661513,-1,-1.67504233304319,0.00254275252155256,21,1.67504233304319,-2,0,5,"Phenylalanine, tyrosine and tryptophan biosynthesis
 padj:0.00254 N( -5/ +0/ 21)","Phenylalanine, tyrosine and tryptophan biosynthesis","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
