"","ID","MF_Name","padj_gene","log2","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","rpsL","GO:0000049~tRNA binding",0.0208244387763825,-1.3379292008412,-1,-1.68142669410387,1.65462230961033e-06,17,1.68142669410387,-1,0,10,"tRNA binding
 padj:0.00000 N( -10/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"2","rplA","GO:0000049~tRNA binding",0.0058913320363981,-1.593530509947,-1,-2.22978649966907,1.65462230961033e-06,17,2.22978649966907,-2,0,10,"tRNA binding
 padj:0.00000 N( -10/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"3","rpsJ","GO:0000049~tRNA binding",0.00539980629158975,-1.78204946399586,-1,-2.26762181943677,1.65462230961033e-06,17,2.26762181943677,-3,0,10,"tRNA binding
 padj:0.00000 N( -10/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"4","rplE","GO:0000049~tRNA binding",0.00469508888461161,-1.70055484540413,-1,-2.32835618151694,1.65462230961033e-06,17,2.32835618151694,-4,0,10,"tRNA binding
 padj:0.00000 N( -10/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"5","rpsI","GO:0000049~tRNA binding",0.00398460393370597,-1.56857241408633,-1,-2.39961484063035,1.65462230961033e-06,17,2.39961484063035,-5,0,10,"tRNA binding
 padj:0.00000 N( -10/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"6","rpsM","GO:0000049~tRNA binding",0.00341921012999686,-1.5624319797308,-1,-2.46607420850616,1.65462230961033e-06,17,2.46607420850616,-6,0,10,"tRNA binding
 padj:0.00000 N( -10/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"7","rpsG","GO:0000049~tRNA binding",0.00288302129034171,-1.67913606865588,-1,-2.54015215045127,1.65462230961033e-06,17,2.54015215045127,-7,0,10,"tRNA binding
 padj:0.00000 N( -10/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"8","rplP","GO:0000049~tRNA binding",0.00017917232857709,-1.91420924383031,-1,-3.74672906205238,1.65462230961033e-06,17,3.74672906205238,-8,0,10,"tRNA binding
 padj:0.00000 N( -10/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"9","rpsS","GO:0000049~tRNA binding",2.9891734341247e-05,-1.90135290991678,-1,-4.52444888613229,1.65462230961033e-06,17,4.52444888613229,-9,0,10,"tRNA binding
 padj:0.00000 N( -10/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"10","pheT","GO:0000049~tRNA binding",1.53356008174232e-05,-1.4015684122584,-1,-4.81429920458009,1.65462230961033e-06,17,4.81429920458009,-10,0,10,"tRNA binding
 padj:0.00000 N( -10/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"11","alsA","GO:0000166~nucleotide binding",0.000957671862809631,2.2406750293362,1,3.01878327232316,5.54323253965094e-12,578,3.01878327232316,10,10,152,"nucleotide binding
 padj:0.00000 N( -152/ +10/ 578)","nucleotide binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"12","ssuB","GO:0000166~nucleotide binding",0.00228319654766921,1.45842031105263,1,2.64145670090836,5.54323253965094e-12,578,2.64145670090836,9,10,152,"nucleotide binding
 padj:0.00000 N( -152/ +10/ 578)","nucleotide binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"13","gntK","GO:0000166~nucleotide binding",0.00703262778998465,1.18385725436912,1,2.15288236751954,5.54323253965094e-12,578,2.15288236751954,8,10,152,"nucleotide binding
 padj:0.00000 N( -152/ +10/ 578)","nucleotide binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"14","lldD","GO:0000166~nucleotide binding",0.0120665120614183,1.23409607173367,1,1.91841824865913,5.54323253965094e-12,578,1.91841824865913,7,10,152,"nucleotide binding
 padj:0.00000 N( -152/ +10/ 578)","nucleotide binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
"15","aceK","GO:0000166~nucleotide binding",0.0167721331408418,1.38172482119398,1,1.7754116987307,5.54323253965094e-12,578,1.7754116987307,6,10,152,"nucleotide binding
 padj:0.00000 N( -152/ +10/ 578)","nucleotide binding","mrna","Exp","Mg_mM_Levels","baseMghighMg","MF"
