"","ID","MF_Name","padj_gene","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","rpsJ","GO:0000049~tRNA binding",0.00348523684500421,1,2.45776770336704,1.99640390774469e-06,17,2.45776770336704,9,9,1,"tRNA binding
 padj:0.00000 N( -1/ +9/ 17)","tRNA binding","mrna","Sta","Mg_mM_Levels","baseMghighMg","MF"
"2","rpsM","GO:0000049~tRNA binding",0.00488228306768794,1,2.31137704442497,1.99640390774469e-06,17,2.31137704442497,8,9,1,"tRNA binding
 padj:0.00000 N( -1/ +9/ 17)","tRNA binding","mrna","Sta","Mg_mM_Levels","baseMghighMg","MF"
"3","metG","GO:0000049~tRNA binding",0.0104293964274499,1,1.98174082444142,1.99640390774469e-06,17,1.98174082444142,7,9,1,"tRNA binding
 padj:0.00000 N( -1/ +9/ 17)","tRNA binding","mrna","Sta","Mg_mM_Levels","baseMghighMg","MF"
"4","rpsG","GO:0000049~tRNA binding",0.0133254536066968,1,1.87531799839652,1.99640390774469e-06,17,1.87531799839652,6,9,1,"tRNA binding
 padj:0.00000 N( -1/ +9/ 17)","tRNA binding","mrna","Sta","Mg_mM_Levels","baseMghighMg","MF"
"5","rpmA","GO:0000049~tRNA binding",0.0153577418507582,1,1.81367263676876,1.99640390774469e-06,17,1.81367263676876,5,9,1,"tRNA binding
 padj:0.00000 N( -1/ +9/ 17)","tRNA binding","mrna","Sta","Mg_mM_Levels","baseMghighMg","MF"
"6","rplA","GO:0000049~tRNA binding",0.0252525922916558,1,1.59769403298395,1.99640390774469e-06,17,1.59769403298395,4,9,1,"tRNA binding
 padj:0.00000 N( -1/ +9/ 17)","tRNA binding","mrna","Sta","Mg_mM_Levels","baseMghighMg","MF"
"7","rnpA","GO:0000049~tRNA binding",0.0274489376635606,1,1.56147445907478,1.99640390774469e-06,17,1.56147445907478,3,9,1,"tRNA binding
 padj:0.00000 N( -1/ +9/ 17)","tRNA binding","mrna","Sta","Mg_mM_Levels","baseMghighMg","MF"
"8","rpsS","GO:0000049~tRNA binding",0.0307486650991375,1,1.51217373363369,1.99640390774469e-06,17,1.51217373363369,2,9,1,"tRNA binding
 padj:0.00000 N( -1/ +9/ 17)","tRNA binding","mrna","Sta","Mg_mM_Levels","baseMghighMg","MF"
"9","rplE","GO:0000049~tRNA binding",0.0326159516172778,1,1.48656994579078,1.99640390774469e-06,17,1.48656994579078,1,9,1,"tRNA binding
 padj:0.00000 N( -1/ +9/ 17)","tRNA binding","mrna","Sta","Mg_mM_Levels","baseMghighMg","MF"
"10","groES","GO:0000166~nucleotide binding",5.71354620540289e-07,1,6.24309425613314,9.52748571148021e-08,578,6.24309425613314,97,97,13,"nucleotide binding
 padj:0.00000 N( -13/ +97/ 578)","nucleotide binding","mrna","Sta","Mg_mM_Levels","baseMghighMg","MF"
"11","groEL","GO:0000166~nucleotide binding",2.00553472783739e-06,1,5.6977698133744,9.52748571148021e-08,578,5.6977698133744,96,97,13,"nucleotide binding
 padj:0.00000 N( -13/ +97/ 578)","nucleotide binding","mrna","Sta","Mg_mM_Levels","baseMghighMg","MF"
