"","ID","KEGG_Path","padj_gene","signChange","score_gene","FDR_KEGG_Path","numGenesInCat","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","vs","df_category"
"1","glpX","eco00030:Pentose phosphate pathway",5.5933733875109e-07,1,6.25232618823067,0.0294101016875721,27,6.25232618823067,1,1,7,"Pentose phosphate pathway
 padj:0.02941 N( -7/ +1/ 27)","Pentose phosphate pathway","mrna","Exp","carbonSource","glucoseglycerol","kegg"
"2","eda","eco00030:Pentose phosphate pathway",0.0156112186108684,-1,-1.80656319461092,0.0294101016875721,27,1.80656319461092,-1,1,7,"Pentose phosphate pathway
 padj:0.02941 N( -7/ +1/ 27)","Pentose phosphate pathway","mrna","Exp","carbonSource","glucoseglycerol","kegg"
"3","gnd","eco00030:Pentose phosphate pathway",0.0108967770780385,-1,-1.96270193363701,0.0294101016875721,27,1.96270193363701,-2,1,7,"Pentose phosphate pathway
 padj:0.02941 N( -7/ +1/ 27)","Pentose phosphate pathway","mrna","Exp","carbonSource","glucoseglycerol","kegg"
"4","rpiB","eco00030:Pentose phosphate pathway",0.0105838817925255,-1,-1.97535501926846,0.0294101016875721,27,1.97535501926846,-3,1,7,"Pentose phosphate pathway
 padj:0.02941 N( -7/ +1/ 27)","Pentose phosphate pathway","mrna","Exp","carbonSource","glucoseglycerol","kegg"
"5","gcd","eco00030:Pentose phosphate pathway",0.00451470051616047,-1,-2.34537105343303,0.0294101016875721,27,2.34537105343303,-4,1,7,"Pentose phosphate pathway
 padj:0.02941 N( -7/ +1/ 27)","Pentose phosphate pathway","mrna","Exp","carbonSource","glucoseglycerol","kegg"
"6","edd","eco00030:Pentose phosphate pathway",0.00214847581879481,-1,-2.66786952995917,0.0294101016875721,27,2.66786952995917,-5,1,7,"Pentose phosphate pathway
 padj:0.02941 N( -7/ +1/ 27)","Pentose phosphate pathway","mrna","Exp","carbonSource","glucoseglycerol","kegg"
"7","zwf","eco00030:Pentose phosphate pathway",4.0076407849986e-05,-1,-4.39711121231154,0.0294101016875721,27,4.39711121231154,-6,1,7,"Pentose phosphate pathway
 padj:0.02941 N( -7/ +1/ 27)","Pentose phosphate pathway","mrna","Exp","carbonSource","glucoseglycerol","kegg"
"8","deoC","eco00030:Pentose phosphate pathway",9.97879186655219e-06,-1,-5.00092203561146,0.0294101016875721,27,5.00092203561146,-7,1,7,"Pentose phosphate pathway
 padj:0.02941 N( -7/ +1/ 27)","Pentose phosphate pathway","mrna","Exp","carbonSource","glucoseglycerol","kegg"
"9","yiaK","eco00040:Pentose and glucuronate interconversions",2.90896700770238e-05,1,4.53626120431295,0.00237084258517883,24,4.53626120431295,6,6,3,"Pentose and glucuronate interconversions
 padj:0.00237 N( -3/ +6/ 24)","Pentose and glucuronate interconversions","mrna","Exp","carbonSource","glucoseglycerol","kegg"
"10","lyxK","eco00040:Pentose and glucuronate interconversions",0.00079978508691187,1,3.09702669814231,0.00237084258517883,24,3.09702669814231,5,6,3,"Pentose and glucuronate interconversions
 padj:0.00237 N( -3/ +6/ 24)","Pentose and glucuronate interconversions","mrna","Exp","carbonSource","glucoseglycerol","kegg"
"11","uxaA","eco00040:Pentose and glucuronate interconversions",0.00142686895604993,1,2.845615910752,0.00237084258517883,24,2.845615910752,4,6,3,"Pentose and glucuronate interconversions
 padj:0.00237 N( -3/ +6/ 24)","Pentose and glucuronate interconversions","mrna","Exp","carbonSource","glucoseglycerol","kegg"
