"","ID","MF_Name","padj_gene","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","rnpA","GO:0000049~tRNA binding",0.0233208649554109,-1,-1.63225534592007,1.00200726715904e-07,18,1.63225534592007,-1,0,16,"tRNA binding
 padj:0.00000 N( -16/ +0/ 18)","tRNA binding","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","MF"
"2","rph","GO:0000049~tRNA binding",0.000141578047771164,-1,-3.84900408048051,1.00200726715904e-07,18,3.84900408048051,-2,0,16,"tRNA binding
 padj:0.00000 N( -16/ +0/ 18)","tRNA binding","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","MF"
"3","rpmG","GO:0000049~tRNA binding",1.68674202778547e-08,-1,-7.77295133381649,1.00200726715904e-07,18,7.77295133381649,-3,0,16,"tRNA binding
 padj:0.00000 N( -16/ +0/ 18)","tRNA binding","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","MF"
"4","rpsL","GO:0000049~tRNA binding",5.40275585505221e-09,-1,-8.26738465733574,1.00200726715904e-07,18,8.26738465733574,-4,0,16,"tRNA binding
 padj:0.00000 N( -16/ +0/ 18)","tRNA binding","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","MF"
"5","mnmA","GO:0000049~tRNA binding",2.19466391332197e-10,-1,-9.658631977365,1.00200726715904e-07,18,9.658631977365,-5,0,16,"tRNA binding
 padj:0.00000 N( -16/ +0/ 18)","tRNA binding","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","MF"
"6","rpsM","GO:0000049~tRNA binding",4.15692986884806e-11,-1,-10.3812273023712,1.00200726715904e-07,18,10.3812273023712,-6,0,16,"tRNA binding
 padj:0.00000 N( -16/ +0/ 18)","tRNA binding","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","MF"
"7","rplP","GO:0000049~tRNA binding",1.43028393307326e-11,-1,-10.8445777399289,1.00200726715904e-07,18,10.8445777399289,-7,0,16,"tRNA binding
 padj:0.00000 N( -16/ +0/ 18)","tRNA binding","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","MF"
"8","rplA","GO:0000049~tRNA binding",4.77852654568956e-12,-1,-11.3207059970541,1.00200726715904e-07,18,11.3207059970541,-8,0,16,"tRNA binding
 padj:0.00000 N( -16/ +0/ 18)","tRNA binding","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","MF"
"9","pheT","GO:0000049~tRNA binding",3.68618092206841e-12,-1,-11.433423352913,1.00200726715904e-07,18,11.433423352913,-9,0,16,"tRNA binding
 padj:0.00000 N( -16/ +0/ 18)","tRNA binding","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","MF"
"10","metG","GO:0000049~tRNA binding",1.36380940263369e-12,-1,-11.8652463196856,1.00200726715904e-07,18,11.8652463196856,-10,0,16,"tRNA binding
 padj:0.00000 N( -16/ +0/ 18)","tRNA binding","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","MF"
