"","ID","KEGG_Path","padj_gene","signChange","score_gene","FDR_KEGG_Path","numGenesInCat","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","vs","df_category"
"1","ascB","eco00010:Glycolysis / Gluconeogenesis",0.0196246556860881,1,1.70719795419768,1.04460884386981e-11,32,1.70719795419768,1,1,22,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -22/ +1/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","kegg"
"2","acs","eco00010:Glycolysis / Gluconeogenesis",0.0196399616582392,-1,-1.70685936439181,1.04460884386981e-11,32,1.70685936439181,-1,1,22,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -22/ +1/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","kegg"
"3","glk","eco00010:Glycolysis / Gluconeogenesis",0.0162487455725136,-1,-1.7891801615752,1.04460884386981e-11,32,1.7891801615752,-2,1,22,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -22/ +1/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","kegg"
"4","galM","eco00010:Glycolysis / Gluconeogenesis",0.0114260442065388,-1,-1.94210410001827,1.04460884386981e-11,32,1.94210410001827,-3,1,22,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -22/ +1/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","kegg"
"5","agp","eco00010:Glycolysis / Gluconeogenesis",0.00253585402442689,-1,-2.59587575008469,1.04460884386981e-11,32,2.59587575008469,-4,1,22,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -22/ +1/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","kegg"
"6","pfkB","eco00010:Glycolysis / Gluconeogenesis",0.00243377029500157,-1,-2.61372041391241,1.04460884386981e-11,32,2.61372041391241,-5,1,22,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -22/ +1/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","kegg"
"7","bglA","eco00010:Glycolysis / Gluconeogenesis",0.000823676169297066,-1,-3.08424349889734,1.04460884386981e-11,32,3.08424349889734,-6,1,22,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -22/ +1/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","kegg"
"8","pfkA","eco00010:Glycolysis / Gluconeogenesis",0.000331121048649552,-1,-3.48001321120867,1.04460884386981e-11,32,3.48001321120867,-7,1,22,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -22/ +1/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","kegg"
"9","pgm","eco00010:Glycolysis / Gluconeogenesis",8.68435157930499e-05,-1,-4.0612626027831,1.04460884386981e-11,32,4.0612626027831,-8,1,22,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -22/ +1/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","kegg"
"10","tpiA","eco00010:Glycolysis / Gluconeogenesis",2.93979141439948e-05,-1,-4.53168348278136,1.04460884386981e-11,32,4.53168348278136,-9,1,22,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -22/ +1/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","kegg"
