"","ID","MF_Name","padj_gene","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","rph","GO:0000049~tRNA binding",0.00919235757096842,-1,-2.03657309049056,1.16307665720683e-08,18,2.03657309049056,-1,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"2","rpsL","GO:0000049~tRNA binding",0.0015419211010856,-1,-2.81193784823046,1.16307665720683e-08,18,2.81193784823046,-2,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"3","rpmG","GO:0000049~tRNA binding",0.000515725309695748,-1,-3.28758155466759,1.16307665720683e-08,18,3.28758155466759,-3,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"4","rpsG","GO:0000049~tRNA binding",8.68435157930499e-05,-1,-4.0612626027831,1.16307665720683e-08,18,4.0612626027831,-4,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"5","mnmA","GO:0000049~tRNA binding",1.61141224360056e-05,-1,-4.79279334088561,1.16307665720683e-08,18,4.79279334088561,-5,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"6","metG","GO:0000049~tRNA binding",1.54156925907986e-06,-1,-5.81203695866987,1.16307665720683e-08,18,5.81203695866987,-6,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"7","rplP","GO:0000049~tRNA binding",1.08188063231103e-06,-1,-5.96582065382133,1.16307665720683e-08,18,5.96582065382133,-7,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"8","rpmA","GO:0000049~tRNA binding",5.78964207911247e-07,-1,-6.2373482839187,1.16307665720683e-08,18,6.2373482839187,-8,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"9","rpsS","GO:0000049~tRNA binding",3.18338006415922e-07,-1,-6.49711150780895,1.16307665720683e-08,18,6.49711150780895,-9,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"10","pheT","GO:0000049~tRNA binding",2.92029752365254e-07,-1,-6.53457289981935,1.16307665720683e-08,18,6.53457289981935,-10,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"11","rpsM","GO:0000049~tRNA binding",6.18683268017824e-08,-1,-7.20853162910007,1.16307665720683e-08,18,7.20853162910007,-11,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"12","rpsI","GO:0000049~tRNA binding",3.68037271719896e-08,-1,-7.43410819740633,1.16307665720683e-08,18,7.43410819740633,-12,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"13","rpsJ","GO:0000049~tRNA binding",3.61354956455387e-08,-1,-7.44206598398884,1.16307665720683e-08,18,7.44206598398884,-13,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"14","rplE","GO:0000049~tRNA binding",2.32790047283128e-08,-1,-7.63303559147239,1.16307665720683e-08,18,7.63303559147239,-14,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"15","rplA","GO:0000049~tRNA binding",4.01393470467661e-09,-1,-8.39642969652947,1.16307665720683e-08,18,8.39642969652947,-15,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"16","arcC","GO:0000166~nucleotide binding",4.52521006210971e-07,1,6.34436125586262,2.23423614145304e-16,586,6.34436125586262,88,89,224,"nucleotide binding
 padj:0.00000 N( -224/ +89/ 586)","nucleotide binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"17","proV","GO:0000166~nucleotide binding",4.52521006210971e-07,1,6.34436125586262,2.23423614145304e-16,586,6.34436125586262,89,89,224,"nucleotide binding
 padj:0.00000 N( -224/ +89/ 586)","nucleotide binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"18","dbpA","GO:0000166~nucleotide binding",4.65409615487106e-05,1,4.33216464831647,2.23423614145304e-16,586,4.33216464831647,87,89,224,"nucleotide binding
 padj:0.00000 N( -224/ +89/ 586)","nucleotide binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"19","rtcR","GO:0000166~nucleotide binding",5.47377340982656e-05,1,4.26171318443754,2.23423614145304e-16,586,4.26171318443754,86,89,224,"nucleotide binding
 padj:0.00000 N( -224/ +89/ 586)","nucleotide binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"20","ugd","GO:0000166~nucleotide binding",0.000244196259843118,1,3.61226099207801,2.23423614145304e-16,586,3.61226099207801,85,89,224,"nucleotide binding
 padj:0.00000 N( -224/ +89/ 586)","nucleotide binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"21","pspF","GO:0000166~nucleotide binding",0.000689213786091627,1,3.16164604410323,2.23423614145304e-16,586,3.16164604410323,84,89,224,"nucleotide binding
 padj:0.00000 N( -224/ +89/ 586)","nucleotide binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
"22","rhaB","GO:0000166~nucleotide binding",0.00360578793071892,1,2.44299981927387,2.23423614145304e-16,586,2.44299981927387,83,89,224,"nucleotide binding
 padj:0.00000 N( -224/ +89/ 586)","nucleotide binding","protein_wo_NA","Sta","Na_mM_Levels","baseNahighNa","MF"
