"","ID","MF_Name","padj_gene","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","fepB","GO:0005506~iron ion binding",0.00449134028048353,1,2.34762403994109,4.5526831293774e-07,236,2.34762403994109,3,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"2","entA","GO:0005506~iron ion binding",0.0054761721481176,1,2.26152290790795,4.5526831293774e-07,236,2.26152290790795,2,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"3","entD","GO:0005506~iron ion binding",0.0444331578028059,1,1.35229282095674,4.5526831293774e-07,236,1.35229282095674,1,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"4","cyoA","GO:0005506~iron ion binding",0.0411235731104504,-1,-1.3859091577595,4.5526831293774e-07,236,1.3859091577595,-1,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"5","nth","GO:0005506~iron ion binding",0.0346385287177548,-1,-1.46044056305569,4.5526831293774e-07,236,1.46044056305569,-2,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"6","fdx","GO:0005506~iron ion binding",0.0332726142185985,-1,-1.47791307541284,4.5526831293774e-07,236,1.47791307541284,-3,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"7","bfr","GO:0005506~iron ion binding",0.0258564368702199,-1,-1.58743132300626,4.5526831293774e-07,236,1.58743132300626,-4,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"8","rimO","GO:0005506~iron ion binding",0.0214939121202492,-1,-1.66768453110659,4.5526831293774e-07,236,1.66768453110659,-5,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"9","ydbK","GO:0005506~iron ion binding",0.0187365420790293,-1,-1.72731055723512,4.5526831293774e-07,236,1.72731055723512,-6,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"10","acnA","GO:0005506~iron ion binding",0.0182869546649651,-1,-1.73785861176357,4.5526831293774e-07,236,1.73785861176357,-7,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"11","nadA","GO:0005506~iron ion binding",0.0152075155797624,-1,-1.81794172993975,4.5526831293774e-07,236,1.81794172993975,-8,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"12","rumB","GO:0005506~iron ion binding",0.0062305085071844,-1,-2.20547650665514,4.5526831293774e-07,236,2.20547650665514,-9,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"13","ygiQ","GO:0005506~iron ion binding",0.00573724900187957,-1,-2.24129630092886,4.5526831293774e-07,236,2.24129630092886,-10,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"14","fumB","GO:0005506~iron ion binding",0.00340260872918487,-1,-2.46818798817296,4.5526831293774e-07,236,2.46818798817296,-11,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"15","yncD","GO:0005506~iron ion binding",0.00340260872918487,-1,-2.46818798817296,4.5526831293774e-07,236,2.46818798817296,-12,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
"16","rnfB","GO:0005506~iron ion binding",0.00306496302868401,-1,-2.51357475981942,4.5526831293774e-07,236,2.51357475981942,-13,3,13,"iron ion binding
 padj:0.00000 N( -13/ +3/ 236)","iron ion binding","protein_wo_NA","Exp","Mg_mM_Levels","baseMghighMg","MF"
