"","ID","MF_Name","padj_gene","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","cca","GO:0000049~tRNA binding",3.57989851817699e-05,1,4.44612928442328,0.000488050077738444,18,4.44612928442328,1,1,8,"tRNA binding
 padj:0.00049 N( -8/ +1/ 18)","tRNA binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"2","rpmG","GO:0000049~tRNA binding",0.0464565409924128,-1,-1.33295312953002,0.000488050077738444,18,1.33295312953002,-1,1,8,"tRNA binding
 padj:0.00049 N( -8/ +1/ 18)","tRNA binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"3","rph","GO:0000049~tRNA binding",0.0122912425662039,-1,-1.9104042104929,0.000488050077738444,18,1.9104042104929,-2,1,8,"tRNA binding
 padj:0.00049 N( -8/ +1/ 18)","tRNA binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"4","metG","GO:0000049~tRNA binding",0.0107540782767162,-1,-1.9684268067075,0.000488050077738444,18,1.9684268067075,-3,1,8,"tRNA binding
 padj:0.00049 N( -8/ +1/ 18)","tRNA binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"5","rpsL","GO:0000049~tRNA binding",0.00657865767891795,-1,-2.18186271156981,0.000488050077738444,18,2.18186271156981,-4,1,8,"tRNA binding
 padj:0.00049 N( -8/ +1/ 18)","tRNA binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"6","mnmA","GO:0000049~tRNA binding",0.00529030772345782,-1,-2.27651906544822,0.000488050077738444,18,2.27651906544822,-5,1,8,"tRNA binding
 padj:0.00049 N( -8/ +1/ 18)","tRNA binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"7","pheT","GO:0000049~tRNA binding",0.00375556502110562,-1,-2.4253247145617,0.000488050077738444,18,2.4253247145617,-6,1,8,"tRNA binding
 padj:0.00049 N( -8/ +1/ 18)","tRNA binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"8","rplA","GO:0000049~tRNA binding",0.00314220597947454,-1,-2.50276534927151,0.000488050077738444,18,2.50276534927151,-7,1,8,"tRNA binding
 padj:0.00049 N( -8/ +1/ 18)","tRNA binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"9","rpmA","GO:0000049~tRNA binding",5.23560859101903e-05,-1,-4.28103282833871,0.000488050077738444,18,4.28103282833871,-8,1,8,"tRNA binding
 padj:0.00049 N( -8/ +1/ 18)","tRNA binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"10","glpK","GO:0000166~nucleotide binding",1.1310750464242e-36,1,35.9465085788352,1.81846537827823e-10,586,35.9465085788352,90,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"11","mglA","GO:0000166~nucleotide binding",1.67673628660872e-18,1,17.7755352369029,1.81846537827823e-10,586,17.7755352369029,89,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"12","glpA","GO:0000166~nucleotide binding",1.88002355268791e-17,1,16.7258367099181,1.81846537827823e-10,586,16.7258367099181,88,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"13","acs","GO:0000166~nucleotide binding",5.19970641118178e-10,1,9.28402117705813,1.81846537827823e-10,586,9.28402117705813,87,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"14","nrdD","GO:0000166~nucleotide binding",1.77391183387323e-07,1,6.75106796906679,1.81846537827823e-10,586,6.75106796906679,86,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"15","fadH","GO:0000166~nucleotide binding",2.77916724869112e-07,1,6.55608531684334,1.81846537827823e-10,586,6.55608531684334,85,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"16","hsdR","GO:0000166~nucleotide binding",1.45664766873611e-05,1,4.83664548187982,1.81846537827823e-10,586,4.83664548187982,84,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"17","cca","GO:0000166~nucleotide binding",3.57989851817699e-05,1,4.44612928442328,1.81846537827823e-10,586,4.44612928442328,83,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"18","fadJ","GO:0000166~nucleotide binding",4.15326148487709e-05,1,4.38161072531577,1.81846537827823e-10,586,4.38161072531577,82,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"19","yoaA","GO:0000166~nucleotide binding",4.81882884509135e-05,1,4.31705849867335,1.81846537827823e-10,586,4.31705849867335,81,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"20","frdA","GO:0000166~nucleotide binding",0.000151974494301939,1,3.81822929306438,1.81846537827823e-10,586,3.81822929306438,80,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"21","nanK","GO:0000166~nucleotide binding",0.000192395510011443,1,3.71580506743338,1.81846537827823e-10,586,3.71580506743338,79,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"22","yfiQ","GO:0000166~nucleotide binding",0.00044904928748472,1,3.34770598837779,1.81846537827823e-10,586,3.34770598837779,78,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"23","yedZ","GO:0000166~nucleotide binding",0.000730074314276381,1,3.13663293078707,1.81846537827823e-10,586,3.13663293078707,77,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"24","modC","GO:0000166~nucleotide binding",0.00133703113113941,1,2.87385848060289,1.81846537827823e-10,586,2.87385848060289,76,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"25","clpA","GO:0000166~nucleotide binding",0.00193556023594241,1,2.71319330859698,1.81846537827823e-10,586,2.71319330859698,75,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"26","ygeV","GO:0000166~nucleotide binding",0.00194936109841325,1,2.71010770499603,1.81846537827823e-10,586,2.71010770499603,74,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"27","crp","GO:0000166~nucleotide binding",0.00217027803973562,1,2.66348462403731,1.81846537827823e-10,586,2.66348462403731,73,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"28","priA","GO:0000166~nucleotide binding",0.00267056501085949,1,2.57339684532492,1.81846537827823e-10,586,2.57339684532492,72,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"29","basS","GO:0000166~nucleotide binding",0.00283671225249001,1,2.5471847154885,1.81846537827823e-10,586,2.5471847154885,71,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
"30","fadE","GO:0000166~nucleotide binding",0.0028933841640612,1,2.53859389982749,1.81846537827823e-10,586,2.53859389982749,70,90,129,"nucleotide binding
 padj:0.00000 N( -129/ +90/ 586)","nucleotide binding","protein_wo_NA","Exp","carbonSource","glucoseglycerol","MF"
