"","ID","MF_Name","padj_gene","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","cca","GO:0000049~tRNA binding",0.0229071439305552,1,1.64002905539907,0.000871799090641723,18,1.64002905539907,2,2,4,"tRNA binding
 padj:0.00087 N( -4/ +2/ 18)","tRNA binding","protein_wo_NA","Sta","carbonSource","glucoseglycerol","MF"
"2","rpsS","GO:0000049~tRNA binding",0.0255715983989616,1,1.59224212476392,0.000871799090641723,18,1.59224212476392,1,2,4,"tRNA binding
 padj:0.00087 N( -4/ +2/ 18)","tRNA binding","protein_wo_NA","Sta","carbonSource","glucoseglycerol","MF"
"3","metG","GO:0000049~tRNA binding",0.0313717395285624,-1,-1.50346139948171,0.000871799090641723,18,1.50346139948171,-1,2,4,"tRNA binding
 padj:0.00087 N( -4/ +2/ 18)","tRNA binding","protein_wo_NA","Sta","carbonSource","glucoseglycerol","MF"
"4","rpsL","GO:0000049~tRNA binding",0.0102087890352398,-1,-1.991025770793,0.000871799090641723,18,1.991025770793,-2,2,4,"tRNA binding
 padj:0.00087 N( -4/ +2/ 18)","tRNA binding","protein_wo_NA","Sta","carbonSource","glucoseglycerol","MF"
"5","rplE","GO:0000049~tRNA binding",0.00378126067070206,-1,-2.42236338242448,0.000871799090641723,18,2.42236338242448,-3,2,4,"tRNA binding
 padj:0.00087 N( -4/ +2/ 18)","tRNA binding","protein_wo_NA","Sta","carbonSource","glucoseglycerol","MF"
"6","rpmA","GO:0000049~tRNA binding",1.97459929987926e-06,-1,-5.70452102130691,0.000871799090641723,18,5.70452102130691,-4,2,4,"tRNA binding
 padj:0.00087 N( -4/ +2/ 18)","tRNA binding","protein_wo_NA","Sta","carbonSource","glucoseglycerol","MF"
"7","cca","GO:0003723~RNA binding",0.0229071439305552,1,1.64002905539907,5.71198699214071e-05,114,1.64002905539907,2,2,19,"RNA binding
 padj:0.00006 N( -19/ +2/ 114)","RNA binding","protein_wo_NA","Sta","carbonSource","glucoseglycerol","MF"
"8","rpsS","GO:0003723~RNA binding",0.0255715983989616,1,1.59224212476392,5.71198699214071e-05,114,1.59224212476392,1,2,19,"RNA binding
 padj:0.00006 N( -19/ +2/ 114)","RNA binding","protein_wo_NA","Sta","carbonSource","glucoseglycerol","MF"
"9","yhbY","GO:0003723~RNA binding",0.031499863560999,-1,-1.50169132731623,5.71198699214071e-05,114,1.50169132731623,-1,2,19,"RNA binding
 padj:0.00006 N( -19/ +2/ 114)","RNA binding","protein_wo_NA","Sta","carbonSource","glucoseglycerol","MF"
"10","metG","GO:0003723~RNA binding",0.0313717395285624,-1,-1.50346139948171,5.71198699214071e-05,114,1.50346139948171,-2,2,19,"RNA binding
 padj:0.00006 N( -19/ +2/ 114)","RNA binding","protein_wo_NA","Sta","carbonSource","glucoseglycerol","MF"
