"","ID","KEGG_Path","padj_gene","log2","signChange","score_gene","FDR_KEGG_Path","numGenesInCat","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","vs","df_category"
"1","sucC","eco00020:Citrate cycle (TCA cycle)",0.0227799066715156,2.81450780721961,1,1.64244805954264,0.0360495534761968,26,1.64244805954264,4,4,1,"Citrate cycle (TCA cycle)
 padj:0.03605 N( -1/ +4/ 26)","Citrate cycle (TCA cycle)","mrna","Sta","carbonSource","glucoselactate","kegg"
"2","sdhB","eco00020:Citrate cycle (TCA cycle)",0.0265461491851865,1.94839475990338,1,1.57599846926868,0.0360495534761968,26,1.57599846926868,3,4,1,"Citrate cycle (TCA cycle)
 padj:0.03605 N( -1/ +4/ 26)","Citrate cycle (TCA cycle)","mrna","Sta","carbonSource","glucoselactate","kegg"
"3","acnB","eco00020:Citrate cycle (TCA cycle)",0.0272173726030917,2.19769724656544,1,1.56515380121398,0.0360495534761968,26,1.56515380121398,2,4,1,"Citrate cycle (TCA cycle)
 padj:0.03605 N( -1/ +4/ 26)","Citrate cycle (TCA cycle)","mrna","Sta","carbonSource","glucoselactate","kegg"
"4","aceF","eco00020:Citrate cycle (TCA cycle)",0.0460256998885872,2.28955685204878,1,1.33699959868619,0.0360495534761968,26,1.33699959868619,1,4,1,"Citrate cycle (TCA cycle)
 padj:0.03605 N( -1/ +4/ 26)","Citrate cycle (TCA cycle)","mrna","Sta","carbonSource","glucoselactate","kegg"
"5","atpA","eco00190:Oxidative phosphorylation",0.00101191251950116,4.17336308089341,1,2.99485703091529,7.35633776116629e-13,41,2.99485703091529,12,12,1,"Oxidative phosphorylation
 padj:0.00000 N( -1/ +12/ 41)","Oxidative phosphorylation","mrna","Sta","carbonSource","glucoselactate","kegg"
"6","atpG","eco00190:Oxidative phosphorylation",0.00192412317994164,4.03402371831257,1,2.71576712842268,7.35633776116629e-13,41,2.71576712842268,10,12,1,"Oxidative phosphorylation
 padj:0.00000 N( -1/ +12/ 41)","Oxidative phosphorylation","mrna","Sta","carbonSource","glucoselactate","kegg"
"7","nuoH","eco00190:Oxidative phosphorylation",0.00192412317994164,3.53535534098748,1,2.71576712842268,7.35633776116629e-13,41,2.71576712842268,11,12,1,"Oxidative phosphorylation
 padj:0.00000 N( -1/ +12/ 41)","Oxidative phosphorylation","mrna","Sta","carbonSource","glucoselactate","kegg"
"8","atpB","eco00190:Oxidative phosphorylation",0.00316368827113877,3.72308550768994,1,2.49980631556434,7.35633776116629e-13,41,2.49980631556434,9,12,1,"Oxidative phosphorylation
 padj:0.00000 N( -1/ +12/ 41)","Oxidative phosphorylation","mrna","Sta","carbonSource","glucoselactate","kegg"
"9","atpF","eco00190:Oxidative phosphorylation",0.0066834611475862,4.10401513076217,1,2.17499857225314,7.35633776116629e-13,41,2.17499857225314,8,12,1,"Oxidative phosphorylation
 padj:0.00000 N( -1/ +12/ 41)","Oxidative phosphorylation","mrna","Sta","carbonSource","glucoselactate","kegg"
"10","nuoG","eco00190:Oxidative phosphorylation",0.0104470456482928,2.70950580965043,1,1.98100650764355,7.35633776116629e-13,41,1.98100650764355,7,12,1,"Oxidative phosphorylation
 padj:0.00000 N( -1/ +12/ 41)","Oxidative phosphorylation","mrna","Sta","carbonSource","glucoselactate","kegg"
"11","nuoL","eco00190:Oxidative phosphorylation",0.0134588167113557,2.75981907090322,1,1.87099312126499,7.35633776116629e-13,41,1.87099312126499,6,12,1,"Oxidative phosphorylation
 padj:0.00000 N( -1/ +12/ 41)","Oxidative phosphorylation","mrna","Sta","carbonSource","glucoselactate","kegg"
"12","atpD","eco00190:Oxidative phosphorylation",0.0138043954327376,3.15546253851044,1,1.8599826086535,7.35633776116629e-13,41,1.8599826086535,5,12,1,"Oxidative phosphorylation
 padj:0.00000 N( -1/ +12/ 41)","Oxidative phosphorylation","mrna","Sta","carbonSource","glucoselactate","kegg"
"13","cyoB","eco00190:Oxidative phosphorylation",0.0172805938689047,2.60813518865389,1,1.76244133653557,7.35633776116629e-13,41,1.76244133653557,4,12,1,"Oxidative phosphorylation
 padj:0.00000 N( -1/ +12/ 41)","Oxidative phosphorylation","mrna","Sta","carbonSource","glucoselactate","kegg"
"14","nuoM","eco00190:Oxidative phosphorylation",0.0183377707749061,2.90274096986068,1,1.73665346032361,7.35633776116629e-13,41,1.73665346032361,3,12,1,"Oxidative phosphorylation
 padj:0.00000 N( -1/ +12/ 41)","Oxidative phosphorylation","mrna","Sta","carbonSource","glucoselactate","kegg"
"15","sdhB","eco00190:Oxidative phosphorylation",0.0265461491851865,1.94839475990338,1,1.57599846926868,7.35633776116629e-13,41,1.57599846926868,2,12,1,"Oxidative phosphorylation
 padj:0.00000 N( -1/ +12/ 41)","Oxidative phosphorylation","mrna","Sta","carbonSource","glucoselactate","kegg"
"16","nuoI","eco00190:Oxidative phosphorylation",0.0498027251248262,2.75087768244641,1,1.30274689269622,7.35633776116629e-13,41,1.30274689269622,1,12,1,"Oxidative phosphorylation
 padj:0.00000 N( -1/ +12/ 41)","Oxidative phosphorylation","mrna","Sta","carbonSource","glucoselactate","kegg"
"17","thrB","eco00260:Glycine, serine and threonine metabolism",0.020260857849134,2.37355969069431,1,1.6933421704635,0.00312333045798441,30,1.6933421704635,4,4,1,"Glycine, serine and threonine metabolism
 padj:0.00312 N( -1/ +4/ 30)","Glycine, serine and threonine metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"18","glyA","eco00260:Glycine, serine and threonine metabolism",0.0235557724213413,2.60152281235448,1,1.627902650168,0.00312333045798441,30,1.627902650168,3,4,1,"Glycine, serine and threonine metabolism
 padj:0.00312 N( -1/ +4/ 30)","Glycine, serine and threonine metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"19","serC","eco00260:Glycine, serine and threonine metabolism",0.0265461491851865,2.14684224294989,1,1.57599846926868,0.00312333045798441,30,1.57599846926868,2,4,1,"Glycine, serine and threonine metabolism
 padj:0.00312 N( -1/ +4/ 30)","Glycine, serine and threonine metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"20","ilvA","eco00260:Glycine, serine and threonine metabolism",0.0291537770588913,2.82418524180312,1,1.53530517162296,0.00312333045798441,30,1.53530517162296,1,4,1,"Glycine, serine and threonine metabolism
 padj:0.00312 N( -1/ +4/ 30)","Glycine, serine and threonine metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"21","asd","eco00260:Glycine, serine and threonine metabolism",0.00192412317994164,-3.28948147908859,-1,-2.71576712842268,0.00312333045798441,30,2.71576712842268,-1,4,1,"Glycine, serine and threonine metabolism
 padj:0.00312 N( -1/ +4/ 30)","Glycine, serine and threonine metabolism","mrna","Sta","carbonSource","glucoselactate","kegg"
"22","ilvD","eco00290:Valine, leucine and isoleucine biosynthesis",0.00702971448543189,3.14864321231003,1,2.15306231366005,0.0139822189286855,19,2.15306231366005,4,4,1,"Valine, leucine and isoleucine biosynthesis
 padj:0.01398 N( -1/ +4/ 19)","Valine, leucine and isoleucine biosynthesis","mrna","Sta","carbonSource","glucoselactate","kegg"
