"","ID","KEGG_Path","padj_gene","log2","signChange","score_gene","FDR_KEGG_Path","numGenesInCat","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","vs","df_category"
"1","fbaB","eco00030:Pentose phosphate pathway",0.00102898594564605,1.63344891413972,1,2.98759055698689,0.00722117044319659,27,2.98759055698689,3,3,2,"Pentose phosphate pathway
 padj:0.00722 N( -2/ +3/ 27)","Pentose phosphate pathway","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"2","talA","eco00030:Pentose phosphate pathway",0.0181363473864846,1.76033807619565,1,1.74145017425624,0.00722117044319659,27,1.74145017425624,2,3,2,"Pentose phosphate pathway
 padj:0.00722 N( -2/ +3/ 27)","Pentose phosphate pathway","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"3","tktB","eco00030:Pentose phosphate pathway",0.0407534008490521,1.56290944636908,1,1.38983614377433,0.00722117044319659,27,1.38983614377433,1,3,2,"Pentose phosphate pathway
 padj:0.00722 N( -2/ +3/ 27)","Pentose phosphate pathway","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"4","rpiB","eco00030:Pentose phosphate pathway",0.0318109186714425,-1.6426029820661,-1,-1.49742378866764,0.00722117044319659,27,1.49742378866764,-1,3,2,"Pentose phosphate pathway
 padj:0.00722 N( -2/ +3/ 27)","Pentose phosphate pathway","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"5","deoC","eco00030:Pentose phosphate pathway",0.0193720013096449,-1.1430511943905,-1,-1.712825510265,0.00722117044319659,27,1.712825510265,-2,3,2,"Pentose phosphate pathway
 padj:0.00722 N( -2/ +3/ 27)","Pentose phosphate pathway","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"6","thrA","eco00260:Glycine, serine and threonine metabolism",0.0494686717455921,-1.54542263601954,-1,-1.30566975046671,0.00928929337360962,30,1.30566975046671,-1,0,5,"Glycine, serine and threonine metabolism
 padj:0.00929 N( -5/ +0/ 30)","Glycine, serine and threonine metabolism","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"7","thrC","eco00260:Glycine, serine and threonine metabolism",0.0310764267034955,-1.63219664194862,-1,-1.50756892398214,0.00928929337360962,30,1.50756892398214,-2,0,5,"Glycine, serine and threonine metabolism
 padj:0.00929 N( -5/ +0/ 30)","Glycine, serine and threonine metabolism","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"8","thrB","eco00260:Glycine, serine and threonine metabolism",0.0142571469752738,-1.64109158142786,-1,-1.84596737328231,0.00928929337360962,30,1.84596737328231,-3,0,5,"Glycine, serine and threonine metabolism
 padj:0.00929 N( -5/ +0/ 30)","Glycine, serine and threonine metabolism","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"9","trpB","eco00260:Glycine, serine and threonine metabolism",0.0127808318387704,-1.17460287315221,-1,-1.89344087925812,0.00928929337360962,30,1.89344087925812,-4,0,5,"Glycine, serine and threonine metabolism
 padj:0.00929 N( -5/ +0/ 30)","Glycine, serine and threonine metabolism","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
"10","trpA","eco00260:Glycine, serine and threonine metabolism",0.00572710374153973,-1.11651789160602,-1,-2.24206494994583,0.00928929337360962,30,2.24206494994583,-5,0,5,"Glycine, serine and threonine metabolism
 padj:0.00929 N( -5/ +0/ 30)","Glycine, serine and threonine metabolism","mrna","Exp","Na_mM_Levels","baseNahighNa","kegg"
