"","ID","KEGG_Path","padj_gene","log2","signChange","score_gene","FDR_KEGG_Path","numGenesInCat","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","vs","df_category"
"1","fbaA","eco00010:Glycolysis / Gluconeogenesis",0.0407000834706362,-1.56806996795617,-1,-1.39040470009174,2.71742132817998e-06,32,1.39040470009174,-1,0,9,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -9/ +0/ 32)","Glycolysis / Gluconeogenesis","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"2","pgk","eco00010:Glycolysis / Gluconeogenesis",0.0126648026108705,-1.62740911147271,-1,-1.89740157458072,2.71742132817998e-06,32,1.89740157458072,-2,0,9,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -9/ +0/ 32)","Glycolysis / Gluconeogenesis","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"3","eno","eco00010:Glycolysis / Gluconeogenesis",0.00672637183819703,-1.9250134598096,-1,-2.17221912827718,2.71742132817998e-06,32,2.17221912827718,-3,0,9,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -9/ +0/ 32)","Glycolysis / Gluconeogenesis","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"4","pykF","eco00010:Glycolysis / Gluconeogenesis",0.003730994631775,-2.1693272164058,-1,-2.42817537582976,2.71742132817998e-06,32,2.42817537582976,-4,0,9,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -9/ +0/ 32)","Glycolysis / Gluconeogenesis","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"5","pykA","eco00010:Glycolysis / Gluconeogenesis",0.00328972154114482,-1.93178563942747,-1,-2.48284086140027,2.71742132817998e-06,32,2.48284086140027,-5,0,9,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -9/ +0/ 32)","Glycolysis / Gluconeogenesis","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"6","aceF","eco00010:Glycolysis / Gluconeogenesis",0.00317572072088659,-2.11680023166296,-1,-2.49815769727483,2.71742132817998e-06,32,2.49815769727483,-6,0,9,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -9/ +0/ 32)","Glycolysis / Gluconeogenesis","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"7","ptsG","eco00010:Glycolysis / Gluconeogenesis",0.000439142707384724,-2.93587883772247,-1,-3.35739432495528,2.71742132817998e-06,32,3.35739432495528,-7,0,9,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -9/ +0/ 32)","Glycolysis / Gluconeogenesis","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"8","crr","eco00010:Glycolysis / Gluconeogenesis",0.000361911709938486,-2.96708419365268,-1,-3.44139736472437,2.71742132817998e-06,32,3.44139736472437,-8,0,9,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -9/ +0/ 32)","Glycolysis / Gluconeogenesis","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"9","adhE","eco00010:Glycolysis / Gluconeogenesis",2.64516958660121e-05,-2.7086437484591,-1,-4.57754647933234,2.71742132817998e-06,32,4.57754647933234,-9,0,9,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -9/ +0/ 32)","Glycolysis / Gluconeogenesis","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"10","gltA","eco00020:Citrate cycle (TCA cycle)",0.0473166412431294,-1.32260044692941,-1,-1.32498609120696,6.11436613817684e-06,26,1.32498609120696,-1,0,8,"Citrate cycle (TCA cycle)
 padj:0.00001 N( -8/ +0/ 26)","Citrate cycle (TCA cycle)","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"11","frdA","eco00020:Citrate cycle (TCA cycle)",0.0229169886248132,-1.96430481614632,-1,-1.6398424508211,6.11436613817684e-06,26,1.6398424508211,-2,0,8,"Citrate cycle (TCA cycle)
 padj:0.00001 N( -8/ +0/ 26)","Citrate cycle (TCA cycle)","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"12","frdC","eco00020:Citrate cycle (TCA cycle)",0.00957890891246287,-2.75737517250619,-1,-2.01868395650421,6.11436613817684e-06,26,2.01868395650421,-3,0,8,"Citrate cycle (TCA cycle)
 padj:0.00001 N( -8/ +0/ 26)","Citrate cycle (TCA cycle)","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"13","fumA","eco00020:Citrate cycle (TCA cycle)",0.00617242170461572,-1.66274250455249,-1,-2.209544410261,6.11436613817684e-06,26,2.209544410261,-4,0,8,"Citrate cycle (TCA cycle)
 padj:0.00001 N( -8/ +0/ 26)","Citrate cycle (TCA cycle)","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"14","aceF","eco00020:Citrate cycle (TCA cycle)",0.00317572072088659,-2.11680023166296,-1,-2.49815769727483,6.11436613817684e-06,26,2.49815769727483,-5,0,8,"Citrate cycle (TCA cycle)
 padj:0.00001 N( -8/ +0/ 26)","Citrate cycle (TCA cycle)","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"15","frdD","eco00020:Citrate cycle (TCA cycle)",0.0015907217115262,-2.58295570401719,-1,-2.79840579126465,6.11436613817684e-06,26,2.79840579126465,-6,0,8,"Citrate cycle (TCA cycle)
 padj:0.00001 N( -8/ +0/ 26)","Citrate cycle (TCA cycle)","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
"16","ybiC","eco00020:Citrate cycle (TCA cycle)",0.000681579678232942,-2.60848325441578,-1,-3.16648336683711,6.11436613817684e-06,26,3.16648336683711,-7,0,8,"Citrate cycle (TCA cycle)
 padj:0.00001 N( -8/ +0/ 26)","Citrate cycle (TCA cycle)","mrna","Sta","Na_mM_Levels","baseNahighNa","kegg"
