"","ID","KEGG_Path","padj_gene","log2","signChange","score_gene","FDR_KEGG_Path","numGenesInCat","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","vs","df_category"
"1","fabF","eco00061:Fatty acid biosynthesis",0.00594810789188951,-1.14321291909705,-1,-2.22562116247233,0.00058620800213216,12,2.22562116247233,-1,0,6,"Fatty acid biosynthesis
 padj:0.00059 N( -6/ +0/ 12)","Fatty acid biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"2","accA","eco00061:Fatty acid biosynthesis",0.00564708719842202,-1.15810017815922,-1,-2.24817550613577,0.00058620800213216,12,2.24817550613577,-2,0,6,"Fatty acid biosynthesis
 padj:0.00059 N( -6/ +0/ 12)","Fatty acid biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"3","fabH","eco00061:Fatty acid biosynthesis",0.0051825490147535,-1.24584844023317,-1,-2.2854565818079,0.00058620800213216,12,2.2854565818079,-3,0,6,"Fatty acid biosynthesis
 padj:0.00059 N( -6/ +0/ 12)","Fatty acid biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"4","fabD","eco00061:Fatty acid biosynthesis",0.000580972389087314,-1.35242164017948,-1,-3.2358445071139,0.00058620800213216,12,3.2358445071139,-4,0,6,"Fatty acid biosynthesis
 padj:0.00059 N( -6/ +0/ 12)","Fatty acid biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"5","fabI","eco00061:Fatty acid biosynthesis",1.22738511550626e-05,-1.66464539670925,-1,-4.91101914770737,0.00058620800213216,12,4.91101914770737,-5,0,6,"Fatty acid biosynthesis
 padj:0.00059 N( -6/ +0/ 12)","Fatty acid biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"6","fabG","eco00061:Fatty acid biosynthesis",4.47732087550638e-06,-1.52079003016172,-1,-5.3489817799815,0.00058620800213216,12,5.3489817799815,-6,0,6,"Fatty acid biosynthesis
 padj:0.00059 N( -6/ +0/ 12)","Fatty acid biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"7","atpA","eco00190:Oxidative phosphorylation",0.0238014514127914,-1.13401747517753,-1,-1.62339655885329,1.66507587828768e-07,41,1.62339655885329,-1,0,13,"Oxidative phosphorylation
 padj:0.00000 N( -13/ +0/ 41)","Oxidative phosphorylation","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"8","ndh","eco00190:Oxidative phosphorylation",0.00893943403834345,-1.41958897874962,-1,-2.04868997581314,1.66507587828768e-07,41,2.04868997581314,-2,0,13,"Oxidative phosphorylation
 padj:0.00000 N( -13/ +0/ 41)","Oxidative phosphorylation","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"9","cyoB","eco00190:Oxidative phosphorylation",0.0057014332702038,-1.0890028109414,-1,-2.24401595431094,1.66507587828768e-07,41,2.24401595431094,-3,0,13,"Oxidative phosphorylation
 padj:0.00000 N( -13/ +0/ 41)","Oxidative phosphorylation","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"10","atpG","eco00190:Oxidative phosphorylation",0.00545080406259907,-1.51857735267598,-1,-2.26353942906411,1.66507587828768e-07,41,2.26353942906411,-4,0,13,"Oxidative phosphorylation
 padj:0.00000 N( -13/ +0/ 41)","Oxidative phosphorylation","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
