"","ID","MF_Name","padj_gene","log2","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","mgtA","GO:0000287~magnesium ion binding",0.000703906503578136,2.74330992533744,1,3.15248502221677,0.000599271624871611,147,3.15248502221677,1,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"2","gcl","GO:0000287~magnesium ion binding",0.0476148703777578,-1.35234780618285,-1,-1.32225739361468,0.000599271624871611,147,1.32225739361468,-1,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"3","dos","GO:0000287~magnesium ion binding",0.0398905663726499,-1.63708240201091,-1,-1.39912979746378,0.000599271624871611,147,1.39912979746378,-2,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"4","ptsI","GO:0000287~magnesium ion binding",0.0365582450380916,-1.14856849916496,-1,-1.43701466054669,0.000599271624871611,147,1.43701466054669,-3,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"5","aldB","GO:0000287~magnesium ion binding",0.036313424780523,-1.28148723802426,-1,-1.43993279010824,0.000599271624871611,147,1.43993279010824,-4,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"6","ugpQ","GO:0000287~magnesium ion binding",0.0343945831377348,-1.54944825282372,-1,-1.46350994983056,0.000599271624871611,147,1.46350994983056,-5,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"7","ppsA","GO:0000287~magnesium ion binding",0.0296302870274323,-1.01340712309031,-1,-1.5282641415059,0.000599271624871611,147,1.5282641415059,-6,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"8","prsA","GO:0000287~magnesium ion binding",0.0286379050874161,-1.34168968351665,-1,-1.54305875459922,0.000599271624871611,147,1.54305875459922,-7,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"9","mobA","GO:0000287~magnesium ion binding",0.025144761389593,-1.8749088127765,-1,-1.59955248124706,0.000599271624871611,147,1.59955248124706,-8,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"10","eno","GO:0000287~magnesium ion binding",0.023953639603451,-1.25879430799344,-1,-1.62062848894656,0.000599271624871611,147,1.62062848894656,-9,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"11","glmM","GO:0000287~magnesium ion binding",0.0143036747006136,-1.54389504670899,-1,-1.84455237531934,0.000599271624871611,147,1.84455237531934,-10,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"12","fbp","GO:0000287~magnesium ion binding",0.00843169182149872,-1.38134058073119,-1,-2.07408527531327,0.000599271624871611,147,2.07408527531327,-11,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"13","speA","GO:0000287~magnesium ion binding",0.00747289535569096,-1.47930025012823,-1,-2.12651109920565,0.000599271624871611,147,2.12651109920565,-12,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"14","ubiA","GO:0000287~magnesium ion binding",0.00681759640986962,-1.44806398385937,-1,-2.16636871184202,0.000599271624871611,147,2.16636871184202,-13,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"15","aceE","GO:0000287~magnesium ion binding",0.00605018663779851,-1.4618742312503,-1,-2.21823122790691,0.000599271624871611,147,2.21823122790691,-14,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"16","glcB","GO:0000287~magnesium ion binding",0.00605018663779851,-1.80726436312605,-1,-2.21823122790691,0.000599271624871611,147,2.21823122790691,-15,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"17","metK","GO:0000287~magnesium ion binding",0.00474218208402463,-1.84269650720803,-1,-2.32402177457357,0.000599271624871611,147,2.32402177457357,-16,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"18","poxB","GO:0000287~magnesium ion binding",0.00371645062273622,-1.80028720224597,-1,-2.42987163291771,0.000599271624871611,147,2.42987163291771,-17,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"19","ppx","GO:0000287~magnesium ion binding",0.00365973842302477,-1.89105472832391,-1,-2.43654995435877,0.000599271624871611,147,2.43654995435877,-18,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"20","ppa","GO:0000287~magnesium ion binding",0.00108412568103611,-1.683801687537,-1,-2.96492036778241,0.000599271624871611,147,2.96492036778241,-19,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"21","ribB","GO:0000287~magnesium ion binding",0.000499855533272432,-1.91242672615556,-1,-3.30115549600068,0.000599271624871611,147,3.30115549600068,-20,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"22","copA","GO:0000287~magnesium ion binding",5.2111719212428e-05,-2.0008822944958,-1,-4.28306459883181,0.000599271624871611,147,4.28306459883181,-21,1,21,"magnesium ion binding
 padj:0.00060 N( -21/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"23","metE","GO:0008270~zinc ion binding",0.00339217474463152,1.6629879720683,1,2.46952178357498,0.03038173911008,152,2.46952178357498,1,1,21,"zinc ion binding
 padj:0.03038 N( -21/ +1/ 152)","zinc ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"24","clpX","GO:0008270~zinc ion binding",0.0425270170336319,-1.18074895153478,-1,-1.37133507887231,0.03038173911008,152,1.37133507887231,-1,1,21,"zinc ion binding
 padj:0.03038 N( -21/ +1/ 152)","zinc ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"25","ybgR","GO:0008270~zinc ion binding",0.0399751644587046,-1.36175345324463,-1,-1.39820974088102,0.03038173911008,152,1.39820974088102,-2,1,21,"zinc ion binding
 padj:0.03038 N( -21/ +1/ 152)","zinc ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"26","prlC","GO:0008270~zinc ion binding",0.0385122039643339,-1.03144001467618,-1,-1.41440162699763,0.03038173911008,152,1.41440162699763,-3,1,21,"zinc ion binding
 padj:0.03038 N( -21/ +1/ 152)","zinc ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"27","crr","GO:0008270~zinc ion binding",0.0341734568442896,-1.29362984545896,-1,-1.46631108756164,0.03038173911008,152,1.46631108756164,-4,1,21,"zinc ion binding
 padj:0.03038 N( -21/ +1/ 152)","zinc ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"28","cdd","GO:0008270~zinc ion binding",0.0328027982105081,-1.0992111251969,-1,-1.48408910764354,0.03038173911008,152,1.48408910764354,-5,1,21,"zinc ion binding
 padj:0.03038 N( -21/ +1/ 152)","zinc ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"29","htpX","GO:0008270~zinc ion binding",0.0272288110963092,-1.16705087121991,-1,-1.5649713210392,0.03038173911008,152,1.5649713210392,-6,1,21,"zinc ion binding
 padj:0.03038 N( -21/ +1/ 152)","zinc ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"30","gltX","GO:0008270~zinc ion binding",0.025513666402379,-1.24467212101116,-1,-1.59322712728175,0.03038173911008,152,1.59322712728175,-7,1,21,"zinc ion binding
 padj:0.03038 N( -21/ +1/ 152)","zinc ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"31","yhdH","GO:0008270~zinc ion binding",0.025144761389593,-1.21580949662877,-1,-1.59955248124706,0.03038173911008,152,1.59955248124706,-8,1,21,"zinc ion binding
 padj:0.03038 N( -21/ +1/ 152)","zinc ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"32","tdh","GO:0008270~zinc ion binding",0.0182034118810598,-1.37047695754141,-1,-1.73984720419929,0.03038173911008,152,1.73984720419929,-9,1,21,"zinc ion binding
 padj:0.03038 N( -21/ +1/ 152)","zinc ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"33","argE","GO:0008270~zinc ion binding",0.00880603967984582,-1.56942229263953,-1,-2.05521936194948,0.03038173911008,152,2.05521936194948,-10,1,21,"zinc ion binding
 padj:0.03038 N( -21/ +1/ 152)","zinc ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"34","ygiD","GO:0008270~zinc ion binding",0.00841763727944936,-1.83211830456008,-1,-2.07480979216932,0.03038173911008,152,2.07480979216932,-11,1,21,"zinc ion binding
 padj:0.03038 N( -21/ +1/ 152)","zinc ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"35","glpK","GO:0008270~zinc ion binding",0.00745892585310716,-1.59648124686141,-1,-2.12732371001478,0.03038173911008,152,2.12732371001478,-12,1,21,"zinc ion binding
 padj:0.03038 N( -21/ +1/ 152)","zinc ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
