"","ID","MF_Name","padj_gene","log2","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","rpsL","GO:0000049~tRNA binding",0.0496069928713546,-1.19565276164238,-1,-1.30445709868363,2.37461161844976e-11,17,1.30445709868363,-1,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"2","metG","GO:0000049~tRNA binding",0.00961230776754434,-1.04137307443558,-1,-2.01717233237434,2.37461161844976e-11,17,2.01717233237434,-2,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"3","rpsM","GO:0000049~tRNA binding",0.00771034375978059,-1.47280750945066,-1,-2.11292625883002,2.37461161844976e-11,17,2.11292625883002,-3,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"4","rpmG","GO:0000049~tRNA binding",0.00674760243442971,-1.01427799781231,-1,-2.17085051375627,2.37461161844976e-11,17,2.17085051375627,-4,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"5","rpsG","GO:0000049~tRNA binding",0.00223412772680132,-1.73956710459388,-1,-2.65089200156091,2.37461161844976e-11,17,2.65089200156091,-5,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"6","rpsI","GO:0000049~tRNA binding",0.00142686895604993,-1.6785437182961,-1,-2.845615910752,2.37461161844976e-11,17,2.845615910752,-6,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"7","rpsJ","GO:0000049~tRNA binding",0.00139756736768001,-1.98009204252333,-1,-2.85462724841004,2.37461161844976e-11,17,2.85462724841004,-7,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"8","rplP","GO:0000049~tRNA binding",0.000826947804846581,-1.69769512358819,-1,-3.08252190130897,2.37461161844976e-11,17,3.08252190130897,-8,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"9","rph","GO:0000049~tRNA binding",0.000536976647102963,-1.77466052277292,-1,-3.27004460118099,2.37461161844976e-11,17,3.27004460118099,-9,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"10","rplE","GO:0000049~tRNA binding",0.000471429523434046,-2.07308490503361,-1,-3.32658322312057,2.37461161844976e-11,17,3.32658322312057,-10,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"11","rplA","GO:0000049~tRNA binding",0.000428908903584836,-1.98540565402519,-1,-3.36763493828499,2.37461161844976e-11,17,3.36763493828499,-11,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"12","rnpA","GO:0000049~tRNA binding",0.000173946169426908,-2.36213295999435,-1,-3.75958513067077,2.37461161844976e-11,17,3.75958513067077,-12,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"13","rpsS","GO:0000049~tRNA binding",0.000145501150162514,-1.82143614693639,-1,-3.83713357363849,2.37461161844976e-11,17,3.83713357363849,-13,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"14","glpK","GO:0000166~nucleotide binding",1.49880582117828e-10,3.22641195281528,1,9.82425462882838,4.03148074812343e-06,578,9.82425462882838,13,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"15","bax","GO:0000166~nucleotide binding",4.2150827820261e-07,1.80390257207925,1,6.3751938916385,4.03148074812343e-06,578,6.3751938916385,12,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"16","glcE","GO:0000166~nucleotide binding",0.000471429523434046,2.36210822618832,1,3.32658322312057,4.03148074812343e-06,578,3.32658322312057,11,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"17","lyxK","GO:0000166~nucleotide binding",0.00079978508691187,1.51861671053374,1,3.09702669814231,4.03148074812343e-06,578,3.09702669814231,10,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"18","aceK","GO:0000166~nucleotide binding",0.00887278380416012,1.30827498289358,1,2.0519401004493,4.03148074812343e-06,578,2.0519401004493,9,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"19","rhaB","GO:0000166~nucleotide binding",0.00893740342600204,1.81190817760946,1,2.04878863797755,4.03148074812343e-06,578,2.04878863797755,8,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"20","kdpA","GO:0000166~nucleotide binding",0.0123741808699273,1.96830844086224,1,1.90748354030913,4.03148074812343e-06,578,1.90748354030913,7,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"21","ilvB","GO:0000166~nucleotide binding",0.0204178505943359,1.031102806764,1,1.68998997841715,4.03148074812343e-06,578,1.68998997841715,6,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"22","glnK","GO:0000166~nucleotide binding",0.0234215908646308,1.35821883306993,1,1.63038360967929,4.03148074812343e-06,578,1.63038360967929,5,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"23","glpA","GO:0000166~nucleotide binding",0.0265998460337546,1.4041765965417,1,1.57512087716158,4.03148074812343e-06,578,1.57512087716158,4,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"24","yfdC","GO:0000166~nucleotide binding",0.0287434624916586,1.4017136661674,1,1.54146091711879,4.03148074812343e-06,578,1.54146091711879,3,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"25","mglA","GO:0000166~nucleotide binding",0.0449503119047014,1.12262010301463,1,1.34726729040415,4.03148074812343e-06,578,1.34726729040415,2,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"26","glnA","GO:0000166~nucleotide binding",0.0481672192271907,1.03746610545241,1,1.31724842549678,4.03148074812343e-06,578,1.31724842549678,1,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"27","folE","GO:0000166~nucleotide binding",0.0491909196987436,-1.09435016426793,-1,-1.30811505757168,4.03148074812343e-06,578,1.30811505757168,-1,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"28","yojI","GO:0000166~nucleotide binding",0.0333554984963577,-1.02085507458364,-1,-1.47683256445227,4.03148074812343e-06,578,1.47683256445227,-2,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"29","recF","GO:0000166~nucleotide binding",0.033248299055629,-1.16551228683918,-1,-1.47823056779395,4.03148074812343e-06,578,1.47823056779395,-3,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"30","cysC","GO:0000166~nucleotide binding",0.0331541736868901,-1.14051630213691,-1,-1.47946179169092,4.03148074812343e-06,578,1.47946179169092,-4,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"31","infB","GO:0000166~nucleotide binding",0.0314294539294324,-1.06213901223222,-1,-1.50266316455972,4.03148074812343e-06,578,1.50266316455972,-5,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"32","thrB","GO:0000166~nucleotide binding",0.0268938528790375,-1.04720387865352,-1,-1.5703469752315,4.03148074812343e-06,578,1.5703469752315,-6,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"33","cysJ","GO:0000166~nucleotide binding",0.0257668395622232,-1.41817793705985,-1,-1.58893884667452,4.03148074812343e-06,578,1.58893884667452,-7,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"34","hisG","GO:0000166~nucleotide binding",0.022999888554471,-1.06230256270302,-1,-1.63827426834308,4.03148074812343e-06,578,1.63827426834308,-8,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"35","fucK","GO:0000166~nucleotide binding",0.0227416288045481,-1.07760094592724,-1,-1.643178433426,4.03148074812343e-06,578,1.643178433426,-9,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"36","cysN","GO:0000166~nucleotide binding",0.0222419725079196,-1.33591084915088,-1,-1.65282670039401,4.03148074812343e-06,578,1.65282670039401,-10,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"37","usg","GO:0000166~nucleotide binding",0.0204319282669195,-1.00289875894392,-1,-1.68969064481322,4.03148074812343e-06,578,1.68969064481322,-11,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"38","prfC","GO:0000166~nucleotide binding",0.0176189114797991,-1.09428405890798,-1,-1.75402092639614,4.03148074812343e-06,578,1.75402092639614,-12,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"39","yddV","GO:0000166~nucleotide binding",0.0174930970719666,-1.22655457303224,-1,-1.75713329388373,4.03148074812343e-06,578,1.75713329388373,-13,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"40","tauB","GO:0000166~nucleotide binding",0.0174467389194399,-1.1197416078524,-1,-1.75828573785357,4.03148074812343e-06,578,1.75828573785357,-14,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"41","ynjD","GO:0000166~nucleotide binding",0.016836362514998,-1.21278903105816,-1,-1.77375173173797,4.03148074812343e-06,578,1.77375173173797,-15,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"42","recG","GO:0000166~nucleotide binding",0.0161781471536604,-1.03507332701784,-1,-1.79107121863342,4.03148074812343e-06,578,1.79107121863342,-16,13,107,"nucleotide binding
 padj:0.00000 N( -107/ +13/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
