"","ID","KEGG_Path","padj_gene","log2","signChange","score_gene","FDR_KEGG_Path","numGenesInCat","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","vs","df_category"
"1","adhP","eco00010:Glycolysis / Gluconeogenesis",0.00226580231797805,2.18062779434483,1,2.64477798324417,5.43520783935492e-12,32,2.64477798324417,6,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"2","malX","eco00010:Glycolysis / Gluconeogenesis",0.00321951940601113,2.04074944753686,1,2.4922089528057,5.43520783935492e-12,32,2.4922089528057,5,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"3","ascF","eco00010:Glycolysis / Gluconeogenesis",0.00328641601920111,2.35420401600192,1,2.48327746116653,5.43520783935492e-12,32,2.48327746116653,4,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"4","ascB","eco00010:Glycolysis / Gluconeogenesis",0.00961323441081775,2.00018579793169,1,2.01713046764492,5.43520783935492e-12,32,2.01713046764492,3,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"5","eutG","eco00010:Glycolysis / Gluconeogenesis",0.01289202632273,2.24877706220644,1,1.88967881642338,5.43520783935492e-12,32,1.88967881642338,2,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"6","bglB","eco00010:Glycolysis / Gluconeogenesis",0.0166750802075454,1.68989634943262,1,1.77793206843926,5.43520783935492e-12,32,1.77793206843926,1,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"7","bglA","eco00010:Glycolysis / Gluconeogenesis",0.000268456043795236,-1.14698077430613,-1,-3.57112681424731,5.43520783935492e-12,32,3.57112681424731,-1,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"8","galM","eco00010:Glycolysis / Gluconeogenesis",9.64164897119418e-06,-1.56161208196558,-1,-5.01584868416275,5.43520783935492e-12,32,5.01584868416275,-2,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"9","pfkB","eco00010:Glycolysis / Gluconeogenesis",3.63006983318735e-06,-1.79820333878573,-1,-5.44008502017706,5.43520783935492e-12,32,5.44008502017706,-3,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"10","tpiA","eco00010:Glycolysis / Gluconeogenesis",1.24187795478965e-06,-2.26884733131756,-1,-5.90592108223171,5.43520783935492e-12,32,5.90592108223171,-4,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"11","pykA","eco00010:Glycolysis / Gluconeogenesis",7.7019469319469e-07,-1.22280583721367,-1,-6.11339947808436,5.43520783935492e-12,32,6.11339947808436,-5,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"12","pfkA","eco00010:Glycolysis / Gluconeogenesis",6.57841655091365e-08,-1.28651784300895,-1,-7.18187863008785,5.43520783935492e-12,32,7.18187863008785,-6,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"13","gpmA","eco00010:Glycolysis / Gluconeogenesis",3.34946717786833e-08,-1.88007757117155,-1,-7.47502427359478,5.43520783935492e-12,32,7.47502427359478,-7,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"14","aceF","eco00010:Glycolysis / Gluconeogenesis",8.23242471664598e-09,-1.74107563155796,-1,-8.08447223210645,5.43520783935492e-12,32,8.08447223210645,-8,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"15","pgm","eco00010:Glycolysis / Gluconeogenesis",5.38313456820238e-09,-1.46476148116942,-1,-8.26896476350639,5.43520783935492e-12,32,8.26896476350639,-9,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"16","adhE","eco00010:Glycolysis / Gluconeogenesis",8.53502923589584e-10,-1.79434494114449,-1,-9.06879498691404,5.43520783935492e-12,32,9.06879498691404,-10,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"17","eno","eco00010:Glycolysis / Gluconeogenesis",2.63063758682464e-10,-2.32677996389304,-1,-9.57993897893198,5.43520783935492e-12,32,9.57993897893198,-11,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"18","crr","eco00010:Glycolysis / Gluconeogenesis",1.62973328985957e-10,-2.28655038936489,-1,-9.78788346321552,5.43520783935492e-12,32,9.78788346321552,-12,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"19","pgi","eco00010:Glycolysis / Gluconeogenesis",1.30933454062108e-10,-1.87120254170696,-1,-9.88294937515809,5.43520783935492e-12,32,9.88294937515809,-13,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"20","aceE","eco00010:Glycolysis / Gluconeogenesis",2.89266513414985e-11,-1.98717504163153,-1,-10.538701839013,5.43520783935492e-12,32,10.538701839013,-14,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"21","gapA","eco00010:Glycolysis / Gluconeogenesis",1.66786893511147e-11,-2.26837242013154,-1,-10.7778380801937,5.43520783935492e-12,32,10.7778380801937,-15,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"22","pgk","eco00010:Glycolysis / Gluconeogenesis",1.66786893511147e-11,-2.12781946482348,-1,-10.7778380801937,5.43520783935492e-12,32,10.7778380801937,-16,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"23","pykF","eco00010:Glycolysis / Gluconeogenesis",9.62273864591179e-12,-1.64989863591567,-1,-11.0167013095067,5.43520783935492e-12,32,11.0167013095067,-17,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"24","ptsG","eco00010:Glycolysis / Gluconeogenesis",2.45850468975208e-12,-2.03534206503435,-1,-11.609328958929,5.43520783935492e-12,32,11.609328958929,-18,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"25","fbaA","eco00010:Glycolysis / Gluconeogenesis",1.3081950673732e-14,-2.45609313621328,-1,-13.883327492734,5.43520783935492e-12,32,13.883327492734,-19,6,19,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -19/ +6/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"26","citE","eco00020:Citrate cycle (TCA cycle)",0.0115903306503918,2.36245587592115,1,1.93590417425277,8.78360379985565e-08,26,1.93590417425277,4,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"27","citF","eco00020:Citrate cycle (TCA cycle)",0.0220508650325566,2.07837635505874,1,1.65657436894004,8.78360379985565e-08,26,1.65657436894004,3,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"28","ybhJ","eco00020:Citrate cycle (TCA cycle)",0.0242816050919789,1.98765101557537,1,1.61472260838965,8.78360379985565e-08,26,1.61472260838965,2,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"29","citD","eco00020:Citrate cycle (TCA cycle)",0.0495897883968148,1.42229276612753,1,1.30460774487065,8.78360379985565e-08,26,1.30460774487065,1,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"30","fumB","eco00020:Citrate cycle (TCA cycle)",0.000396880024453651,-1.0129286016089,-1,-3.40134075921294,8.78360379985565e-08,26,3.40134075921294,-1,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"31","fumC","eco00020:Citrate cycle (TCA cycle)",0.000194659845724605,-1.33602009244027,-1,-3.71072362515554,8.78360379985565e-08,26,3.71072362515554,-2,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"32","sdhA","eco00020:Citrate cycle (TCA cycle)",1.69689686732976e-05,-1.16133993037892,-1,-4.77034455209049,8.78360379985565e-08,26,4.77034455209049,-3,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"33","gltA","eco00020:Citrate cycle (TCA cycle)",8.66394281083835e-07,-1.38379987851891,-1,-6.06228442307471,8.78360379985565e-08,26,6.06228442307471,-4,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"34","sdhB","eco00020:Citrate cycle (TCA cycle)",1.52347372399607e-07,-1.32248160627953,-1,-6.81716503183968,8.78360379985565e-08,26,6.81716503183968,-5,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"35","ybiC","eco00020:Citrate cycle (TCA cycle)",2.0205465930151e-08,-1.89662067380173,-1,-7.69453113044477,8.78360379985565e-08,26,7.69453113044477,-6,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"36","sucD","eco00020:Citrate cycle (TCA cycle)",1.33675334317717e-08,-1.7538782846016,-1,-7.87394872106972,8.78360379985565e-08,26,7.87394872106972,-7,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"37","aceF","eco00020:Citrate cycle (TCA cycle)",8.23242471664598e-09,-1.74107563155796,-1,-8.08447223210645,8.78360379985565e-08,26,8.08447223210645,-8,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"38","mdh","eco00020:Citrate cycle (TCA cycle)",8.00481512636309e-09,-1.8089861021778,-1,-8.09664869379184,8.78360379985565e-08,26,8.09664869379184,-9,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"39","sucB","eco00020:Citrate cycle (TCA cycle)",3.0119832326916e-09,-1.58276039914285,-1,-8.52114745012399,8.78360379985565e-08,26,8.52114745012399,-10,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"40","sucC","eco00020:Citrate cycle (TCA cycle)",2.48117464607883e-09,-1.65537652138895,-1,-8.60534266532922,8.78360379985565e-08,26,8.60534266532922,-11,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"41","acnB","eco00020:Citrate cycle (TCA cycle)",1.54523788388677e-09,-1.55682541108468,-1,-8.81100465299855,8.78360379985565e-08,26,8.81100465299855,-12,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"42","sucA","eco00020:Citrate cycle (TCA cycle)",8.4154769195685e-11,-1.68869723606528,-1,-10.0749212667746,8.78360379985565e-08,26,10.0749212667746,-13,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"43","aceE","eco00020:Citrate cycle (TCA cycle)",2.89266513414985e-11,-1.98717504163153,-1,-10.538701839013,8.78360379985565e-08,26,10.538701839013,-14,4,14,"Citrate cycle (TCA cycle)
 padj:0.00000 N( -14/ +4/ 26)","Citrate cycle (TCA cycle)","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"44","phnN","eco00030:Pentose phosphate pathway",0.0064676081042204,2.38563712131288,1,2.18925630344265,1.58956836582291e-09,28,2.18925630344265,4,4,16,"Pentose phosphate pathway
 padj:0.00000 N( -16/ +4/ 28)","Pentose phosphate pathway","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
"45","idnK","eco00030:Pentose phosphate pathway",0.0131173564791789,2.28410103829797,1,1.88215367884616,1.58956836582291e-09,28,1.88215367884616,3,4,16,"Pentose phosphate pathway
 padj:0.00000 N( -16/ +4/ 28)","Pentose phosphate pathway","protein","Exp","Na_mM_Levels","baseNahighNa","kegg"
