"","ID","MF_Name","padj_gene","log2","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","rph","GO:0000049~tRNA binding",0.0138343841921412,-1.22876937977999,-1,-1.85904016777762,6.49284381815107e-09,18,1.85904016777762,-1,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"2","rpsL","GO:0000049~tRNA binding",0.00221547823745122,-1.99956893914693,-1,-2.6545325116677,6.49284381815107e-09,18,2.6545325116677,-2,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"3","rpmG","GO:0000049~tRNA binding",0.000913552699098771,-2.00535007367196,-1,-3.03926639492594,6.49284381815107e-09,18,3.03926639492594,-3,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"4","rpsG","GO:0000049~tRNA binding",0.000100056380251476,-1.56002440534899,-1,-3.99975521267833,6.49284381815107e-09,18,3.99975521267833,-4,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"5","mnmA","GO:0000049~tRNA binding",5.81212569502163e-05,-1.72538955575386,-1,-4.23566500207119,6.49284381815107e-09,18,4.23566500207119,-5,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"6","metG","GO:0000049~tRNA binding",6.84456728127597e-06,-1.85851276011577,-1,-5.16465400308797,6.49284381815107e-09,18,5.16465400308797,-6,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"7","rplP","GO:0000049~tRNA binding",2.44518805904111e-06,-2.05963446608531,-1,-5.6116877337334,6.49284381815107e-09,18,5.6116877337334,-7,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"8","rpmA","GO:0000049~tRNA binding",1.86191490069119e-06,-2.11695509122739,-1,-5.73004017244426,6.49284381815107e-09,18,5.73004017244426,-8,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"9","pheT","GO:0000049~tRNA binding",1.25442103882673e-06,-1.98124101835197,-1,-5.90155667072331,6.49284381815107e-09,18,5.90155667072331,-9,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"10","rpsS","GO:0000049~tRNA binding",4.72631061641701e-07,-2.05421117934335,-1,-6.32547773963066,6.49284381815107e-09,18,6.32547773963066,-10,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"11","rpsM","GO:0000049~tRNA binding",2.39991137574252e-07,-2.20435571296035,-1,-6.61980479567866,6.49284381815107e-09,18,6.61980479567866,-11,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"12","rpsI","GO:0000049~tRNA binding",1.87576066820507e-07,-1.92891516659893,-1,-6.72682257486345,6.49284381815107e-09,18,6.72682257486345,-12,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"13","rplE","GO:0000049~tRNA binding",1.43932119218324e-07,-2.209913435651,-1,-6.84184228012353,6.49284381815107e-09,18,6.84184228012353,-13,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"14","rpsJ","GO:0000049~tRNA binding",7.86696048475123e-08,-2.09071855939654,-1,-7.10419303125932,6.49284381815107e-09,18,7.10419303125932,-14,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"15","rplA","GO:0000049~tRNA binding",3.10753905797007e-08,-2.66878549032687,-1,-7.50758340410087,6.49284381815107e-09,18,7.50758340410087,-15,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 18)","tRNA binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"16","arcC","GO:0000166~nucleotide binding",3.27210036600478e-07,3.35891014005788,1,6.48517338356626,5.82867087928207e-13,586,6.48517338356626,89,89,205,"nucleotide binding
 padj:0.00000 N( -205/ +89/ 586)","nucleotide binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"17","proV","GO:0000166~nucleotide binding",8.02745964205383e-07,3.6268012852572,1,6.09542186916568,5.82867087928207e-13,586,6.09542186916568,88,89,205,"nucleotide binding
 padj:0.00000 N( -205/ +89/ 586)","nucleotide binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"18","dbpA","GO:0000166~nucleotide binding",5.90545030942842e-05,2.50034546771854,1,4.22874698044785,5.82867087928207e-13,586,4.22874698044785,87,89,205,"nucleotide binding
 padj:0.00000 N( -205/ +89/ 586)","nucleotide binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"19","rtcR","GO:0000166~nucleotide binding",6.83765151367209e-05,2.6348542764359,1,4.16509303713783,5.82867087928207e-13,586,4.16509303713783,86,89,205,"nucleotide binding
 padj:0.00000 N( -205/ +89/ 586)","nucleotide binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
"20","ugd","GO:0000166~nucleotide binding",0.000281091142870575,2.39819890084936,1,3.551152838715,5.82867087928207e-13,586,3.551152838715,85,89,205,"nucleotide binding
 padj:0.00000 N( -205/ +89/ 586)","nucleotide binding","protein","Sta","Na_mM_Levels","baseNahighNa","MF"
