"","ID","KEGG_Path","padj_gene","log2","signChange","score_gene","FDR_KEGG_Path","numGenesInCat","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","vs","df_category"
"1","acs","eco00010:Glycolysis / Gluconeogenesis",2.33013404745694e-10,1.88267552270737,1,9.63261909425453,0.004654935776369,32,9.63261909425453,2,2,7,"Glycolysis / Gluconeogenesis
 padj:0.00465 N( -7/ +2/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","carbonSource","glucoseglycerol","kegg"
"2","glpX","eco00010:Glycolysis / Gluconeogenesis",0.000377862124962745,1.98758468984728,1,3.42266663744005,0.004654935776369,32,3.42266663744005,1,2,7,"Glycolysis / Gluconeogenesis
 padj:0.00465 N( -7/ +2/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","carbonSource","glucoseglycerol","kegg"
"3","eno","eco00010:Glycolysis / Gluconeogenesis",0.000584571900740638,-1.19141754062479,-1,-3.23316206418655,0.004654935776369,32,3.23316206418655,-1,2,7,"Glycolysis / Gluconeogenesis
 padj:0.00465 N( -7/ +2/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","carbonSource","glucoseglycerol","kegg"
"4","pfkB","eco00010:Glycolysis / Gluconeogenesis",0.000468719856801219,-1.24282201806026,-1,-3.32908664768199,0.004654935776369,32,3.32908664768199,-2,2,7,"Glycolysis / Gluconeogenesis
 padj:0.00465 N( -7/ +2/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","carbonSource","glucoseglycerol","kegg"
"5","tpiA","eco00010:Glycolysis / Gluconeogenesis",0.000228956849937749,-1.53252802329672,-1,-3.64024635870687,0.004654935776369,32,3.64024635870687,-3,2,7,"Glycolysis / Gluconeogenesis
 padj:0.00465 N( -7/ +2/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","carbonSource","glucoseglycerol","kegg"
"6","aceE","eco00010:Glycolysis / Gluconeogenesis",5.60014731207798e-05,-1.08471779802741,-1,-4.25180054871146,0.004654935776369,32,4.25180054871146,-4,2,7,"Glycolysis / Gluconeogenesis
 padj:0.00465 N( -7/ +2/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","carbonSource","glucoseglycerol","kegg"
"7","pfkA","eco00010:Glycolysis / Gluconeogenesis",3.4521103898917e-05,-1.07946834005165,-1,-4.46191532507899,0.004654935776369,32,4.46191532507899,-5,2,7,"Glycolysis / Gluconeogenesis
 padj:0.00465 N( -7/ +2/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","carbonSource","glucoseglycerol","kegg"
"8","bglA","eco00010:Glycolysis / Gluconeogenesis",1.80874174017417e-05,-1.43426935428299,-1,-4.74262343912375,0.004654935776369,32,4.74262343912375,-6,2,7,"Glycolysis / Gluconeogenesis
 padj:0.00465 N( -7/ +2/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","carbonSource","glucoseglycerol","kegg"
"9","ptsG","eco00010:Glycolysis / Gluconeogenesis",1.17243581402479e-19,-2.55765590807414,-1,-18.9309109237752,0.004654935776369,32,18.9309109237752,-7,2,7,"Glycolysis / Gluconeogenesis
 padj:0.00465 N( -7/ +2/ 32)","Glycolysis / Gluconeogenesis","protein","Exp","carbonSource","glucoseglycerol","kegg"
"10","glpX","eco00030:Pentose phosphate pathway",0.000377862124962745,1.98758468984728,1,3.42266663744005,0.000771210375491771,28,3.42266663744005,1,1,9,"Pentose phosphate pathway
 padj:0.00077 N( -9/ +1/ 28)","Pentose phosphate pathway","protein","Exp","carbonSource","glucoseglycerol","kegg"
