"","x"
"1","Glycolysis / Gluconeogenesis"
"2","Fructose and mannose metabolism"
"3","Arginine and proline metabolism"
"4","Amino sugar and nucleotide sugar metabolism"
"5","Pyruvate metabolism"
"6","Citrate cycle (TCA cycle)"
"7","Oxidative phosphorylation"
"8","Glycine, serine and threonine metabolism"
"9","Valine, leucine and isoleucine biosynthesis"
"10","Ribosome"
"11","Pentose phosphate pathway"
"12","Phenylalanine, tyrosine and tryptophan biosynthesis"
"13","Fatty acid metabolism"
"14","Starch and sucrose metabolism"
"15","Butanoate metabolism"
"16","Purine metabolism"
"17","Pyrimidine metabolism"
"18","Alanine, aspartate and glutamate metabolism"
"19","Cysteine and methionine metabolism"
"20","Selenoamino acid metabolism"
"21","Sulfur metabolism"
"22","Lysine biosynthesis"
"23","Histidine metabolism"
"24","Peptidoglycan biosynthesis"
"25","One carbon pool by folate"
"26","Pantothenate and CoA biosynthesis"
"27","Pentose and glucuronate interconversions"
"28","Galactose metabolism"
