"","geneName","type"
"1","ECB_00001","RNA"
"2","ECB_00002","RNA"
"3","ECB_00003","RNA"
"4","ECB_00004","RNA"
"5","ECB_00005","RNA"
"6","ECB_00006","RNA"
"7","ECB_00007","RNA"
"8","ECB_00008","RNA"
"9","ECB_00009","RNA"
"10","ECB_00010","RNA"
"11","ECB_00011","RNA"
"12","ECB_00012","RNA"
"13","ECB_00013","RNA"
"14","ECB_00014","RNA"
"15","ECB_00015","RNA"
"16","ECB_00016","RNA"
"17","ECB_00017","RNA"
"18","ECB_00018","RNA"
"19","ECB_00019","RNA"
"20","ECB_00020","RNA"
"21","ECB_00021","RNA"
"22","ECB_00022","RNA"
"23","ECB_00023","RNA"
"24","ECB_00024","RNA"
"25","ECB_00025","RNA"
"26","ECB_00026","RNA"
"27","ECB_00027","RNA"
"28","ECB_00028","RNA"
"29","ECB_00029","RNA"
"30","ECB_00030","RNA"
"31","ECB_00031","RNA"
"32","ECB_00032","RNA"
"33","ECB_00033","RNA"
"34","ECB_00034","RNA"
"35","ECB_00035","RNA"
"36","ECB_00036","RNA"
"37","ECB_00037","RNA"
"38","ECB_00038","RNA"
"39","ECB_00039","RNA"
"40","ECB_00040","RNA"
"41","ECB_00041","RNA"
"42","ECB_00042","RNA"
"43","ECB_00043","RNA"
"44","ECB_00044","RNA"
"45","ECB_00045","RNA"
"46","ECB_00046","RNA"
"47","ECB_00047","RNA"
"48","ECB_00048","RNA"
"49","ECB_00049","RNA"
"50","ECB_00050","RNA"
"51","ECB_00051","RNA"
"52","ECB_00052","RNA"
"53","ECB_00053","RNA"
"54","ECB_00054","RNA"
"55","ECB_00055","RNA"
"56","ECB_00056","RNA"
"57","ECB_00057","RNA"
"58","ECB_00058","RNA"
"59","ECB_00059","RNA"
"60","ECB_00060","RNA"
"61","ECB_00061","RNA"
"62","ECB_00062","RNA"
"63","ECB_00063","RNA"
"64","ECB_00064","RNA"
"65","ECB_00065","RNA"
"66","ECB_00066","RNA"
"67","ECB_00067","RNA"
"68","ECB_00068","RNA"
"69","ECB_00069","RNA"
"70","ECB_00070","RNA"
"71","ECB_00071","RNA"
"72","ECB_00072","RNA"
"73","ECB_00073","RNA"
"74","ECB_00074","RNA"
"75","ECB_00075","RNA"
"76","ECB_00076","RNA"
"77","ECB_00077","RNA"
"78","ECB_00078","RNA"
"79","ECB_00079","RNA"
"80","ECB_00080","RNA"
"81","ECB_00081","RNA"
"82","ECB_00082","RNA"
"83","ECB_00083","RNA"
"84","ECB_00084","RNA"
"85","ECB_00085","RNA"
"86","ECB_00086","RNA"
"87","ECB_00087","RNA"
"88","ECB_00088","RNA"
"89","ECB_00089","RNA"
"90","ECB_00090","RNA"
"91","ECB_00091","RNA"
"92","ECB_00092","RNA"
"93","ECB_00093","RNA"
"94","ECB_00094","RNA"
"95","ECB_00095","RNA"
"96","ECB_00096","RNA"
"97","ECB_00097","RNA"
"98","ECB_00098","RNA"
"99","ECB_00099","RNA"
"100","ECB_00100","RNA"
"101","ECB_00101","RNA"
"102","ECB_00102","RNA"
"103","ECB_00103","RNA"
"104","ECB_00104","RNA"
"105","ECB_00105","RNA"
"106","ECB_00106","RNA"
"107","ECB_00107","RNA"
"108","ECB_00108","RNA"
"109","ECB_00109","RNA"
"110","ECB_00110","RNA"
"111","ECB_00111","RNA"
"112","ECB_00112","RNA"
"113","ECB_00113","RNA"
"114","ECB_00114","RNA"
"115","ECB_00115","RNA"
"116","ECB_00116","RNA"
"117","ECB_00117","RNA"
"118","ECB_00118","RNA"
"119","ECB_00119","RNA"
"120","ECB_00120","RNA"
"121","ECB_00121","RNA"
"122","ECB_00122","RNA"
"123","ECB_00123","RNA"
"124","ECB_00124","RNA"
"125","ECB_00125","RNA"
"126","ECB_00126","RNA"
"127","ECB_00127","RNA"
"128","ECB_00128","RNA"
"129","ECB_00129","RNA"
"130","ECB_00130","RNA"
"131","ECB_00131","RNA"
"132","ECB_00132","RNA"
"133","ECB_00133","RNA"
"134","ECB_00134","RNA"
"135","ECB_00135","RNA"
"136","ECB_00136","RNA"
"137","ECB_00137","RNA"
"138","ECB_00138","RNA"
"139","ECB_00139","RNA"
"140","ECB_00140","RNA"
"141","ECB_00141","RNA"
"142","ECB_00142","RNA"
"143","ECB_00143","RNA"
"144","ECB_00144","RNA"
"145","ECB_00145","RNA"
"146","ECB_00146","RNA"
"147","ECB_00147","RNA"
"148","ECB_00148","RNA"
"149","ECB_00149","RNA"
"150","ECB_00150","RNA"
"151","ECB_00151","RNA"
"152","ECB_00152","RNA"
"153","ECB_00153","RNA"
"154","ECB_00154","RNA"
"155","ECB_00155","RNA"
"156","ECB_00156","RNA"
"157","ECB_00157","RNA"
"158","ECB_00158","RNA"
"159","ECB_00159","RNA"
"160","ECB_00160","RNA"
"161","ECB_00161","RNA"
"162","ECB_00162","RNA"
"163","ECB_00163","RNA"
"164","ECB_00164","RNA"
"165","ECB_00165","RNA"
"166","ECB_00166","RNA"
"167","ECB_00167","RNA"
"168","ECB_00168","RNA"
"169","ECB_00169","RNA"
"170","ECB_00170","RNA"
"171","ECB_00171","RNA"
"172","ECB_00172","RNA"
"173","ECB_00173","RNA"
"174","ECB_00174","RNA"
"175","ECB_00175","RNA"
"176","ECB_00176","RNA"
"177","ECB_00177","RNA"
"178","ECB_00178","RNA"
"179","ECB_00179","RNA"
"180","ECB_00180","RNA"
"181","ECB_00181","RNA"
"182","ECB_00182","RNA"
"183","ECB_00183","RNA"
"184","ECB_00184","RNA"
"185","ECB_00185","RNA"
"186","ECB_00186","RNA"
"187","ECB_00187","RNA"
"188","ECB_00188","RNA"
