category,condition,z_score,overall_z_score
growthPhase,exponential,-13.70454837,-3.343507512
growthPhase,late_stationary,-2.395046381,-3.343507512
growthPhase,stationary,-0.145094931,-3.343507512
carbonSource,gluconate,-0.156962088,0.138307711
carbonSource,glucose,1.548646177,0.138307711
carbonSource,glycerol,-1.683389899,0.138307711
carbonSource,lactate,-2.119832127,0.138307711
Mg_mM_Levels,baseMg,-2.217556619,-0.791069558
Mg_mM_Levels,highMg,-1.193242093,-0.791069558
Mg_mM_Levels,lowMg,1.051991664,-0.791069558
Na_mM_Levels,baseNa,-1.344645249,-0.189453216
Na_mM_Levels,highNa,1.387362431,-0.189453216
batchNumber,10,-1.867813739,-0.164807157
batchNumber,11,-0.29826245,-0.164807157
batchNumber,12,-0.182759578,-0.164807157
batchNumber,13,1.400038768,-0.164807157
batchNumber,14,1.161291903,-0.164807157
batchNumber,15,0.274458053,-0.164807157
batchNumber,16,-2.492352911,-0.164807157
batchNumber,17,0.615186236,-0.164807157
batchNumber,18,0.616575642,-0.164807157
batchNumber,19,0.617463648,-0.164807157
batchNumber,20,0.633282759,-0.164807157
batchNumber,21,0.629499123,-0.164807157
batchNumber,22,-0.980743991,-0.164807157
batchNumber,23,-0.83944512,-0.164807157
batchNumber,24,-0.642439375,-0.164807157
batchNumber,25,1.37252526,-0.164807157
batchNumber,26,-0.704256706,-0.164807157
batchNumber,27,0.713688013,-0.164807157
batchNumber,7,-0.913184628,-0.164807157
batchNumber,8,-0.273773042,-0.164807157
batchNumber,9,-1.405132483,-0.164807157
