"","MURI","MURI_num","L","SA","short_R1","short_R2"
"1","MURI_16 ",16,"L007","SA13172","MURI_16_SA13172_AGTTCC_L007_R1_001.fastq.gz","MURI_16_SA13172_AGTTCC_L007_R2_001.fastq.gz"
"2","MURI_17 ",17,"L007","SA13172","MURI_17_SA13172_ATGTCA_L007_R1_001.fastq.gz","MURI_17_SA13172_ATGTCA_L007_R2_001.fastq.gz"
"3","MURI_18 ",18,"L007","SA13172","MURI_18_SA13172_CCGTCC_L007_R1_001.fastq.gz","MURI_18_SA13172_CCGTCC_L007_R2_001.fastq.gz"
"4","MURI_18 ",18,"L007","SA14008","MURI_18_SA14008_CCGTCC_L007_R1_001.fastq.gz","MURI_18_SA14008_CCGTCC_L007_R2_001.fastq.gz"
"5","MURI_18 ",18,"L008","SA14008","MURI_18_SA14008_CCGTCC_L008_R1_001.fastq.gz","MURI_18_SA14008_CCGTCC_L008_R2_001.fastq.gz"
"6","MURI_19 ",19,"L007","SA13172","MURI_19_SA13172_GTCCGC_L007_R1_001.fastq.gz","MURI_19_SA13172_GTCCGC_L007_R2_001.fastq.gz"
"7","MURI_20 ",20,"L007","SA13172","MURI_20_SA13172_GTGAAA_L007_R1_001.fastq.gz","MURI_20_SA13172_GTGAAA_L007_R2_001.fastq.gz"
"8","MURI_21 ",21,"L007","SA13172","MURI_21_SA13172_GTGGCC_L007_R1_001.fastq.gz","MURI_21_SA13172_GTGGCC_L007_R2_001.fastq.gz"
"9","MURI_22 ",22,"L001","SA15008","MURI_22_SA15008_GTTTCG_L001_R1_001.fastq.gz","MURI_22_SA15008_GTTTCG_L001_R2_001.fastq.gz"
"10","MURI_22 ",22,"L007","SA13172","MURI_22_SA13172_GTTTCG_L007_R1_001.fastq.gz","MURI_22_SA13172_GTTTCG_L007_R2_001.fastq.gz"
"11","MURI_23 ",23,"L007","SA13172","MURI_23_SA13172_CGTACG_L007_R1_001.fastq.gz","MURI_23_SA13172_CGTACG_L007_R2_001.fastq.gz"
"12","MURI_23 ",23,"L007","SA14008","MURI_23_SA14008_CGTACG_L007_R1_001.fastq.gz","MURI_23_SA14008_CGTACG_L007_R2_001.fastq.gz"
"13","MURI_23 ",23,"L008","SA14008","MURI_23_SA14008_CGTACG_L008_R1_001.fastq.gz","MURI_23_SA14008_CGTACG_L008_R2_001.fastq.gz"
"14","MURI_24 ",24,"L007","SA13172","MURI_24_SA13172_GAGTGG_L007_R1_001.fastq.gz","MURI_24_SA13172_GAGTGG_L007_R2_001.fastq.gz"
"15","MURI_24 ",24,"L007","SA14008","MURI_24_SA14008_GAGTGG_L007_R1_001.fastq.gz","MURI_24_SA14008_GAGTGG_L007_R2_001.fastq.gz"
"16","MURI_24 ",24,"L008","SA14008","MURI_24_SA14008_GAGTGG_L008_R1_001.fastq.gz","MURI_24_SA14008_GAGTGG_L008_R2_001.fastq.gz"
"17","MURI_25 ",25,"L006","SA14027","MURI_25_SA14027_ATCACG_L006_R1_001.fastq.gz","MURI_25_SA14027_ATCACG_L006_R2_001.fastq.gz"
"18","MURI_26 ",26,"L006","SA14027","MURI_26_SA14027_TTAGGC_L006_R1_001.fastq.gz","MURI_26_SA14027_TTAGGC_L006_R2_001.fastq.gz"
"19","MURI_27 ",27,"L006","SA14027","MURI_27_SA14027_TGACCA_L006_R1_001.fastq.gz","MURI_27_SA14027_TGACCA_L006_R2_001.fastq.gz"
"20","MURI_28 ",28,"L006","SA14027","MURI_28_SA14027_ACAGTG_L006_R1_001.fastq.gz","MURI_28_SA14027_ACAGTG_L006_R2_001.fastq.gz"
"21","MURI_29 ",29,"L006","SA14027","MURI_29_SA14027_GCCAAT_L006_R1_001.fastq.gz","MURI_29_SA14027_GCCAAT_L006_R2_001.fastq.gz"
"22","MURI_30 ",30,"L006","SA14027","MURI_30_SA14027_CAGATC_L006_R1_001.fastq.gz","MURI_30_SA14027_CAGATC_L006_R2_001.fastq.gz"
"23","MURI_31 ",31,"L001","SA14043","MURI_31_SA14043_ACTTGA_L001_R1_001.fastq.gz","MURI_31_SA14043_ACTTGA_L001_R2_001.fastq.gz"
"24","MURI_31 ",31,"L006","SA14027","MURI_31_SA14027_ACTTGA_L006_R1_001.fastq.gz","MURI_31_SA14027_ACTTGA_L006_R2_001.fastq.gz"
"25","MURI_32 ",32,"L006","SA14027","MURI_32_SA14027_GATCAG_L006_R1_001.fastq.gz","MURI_32_SA14027_GATCAG_L006_R2_001.fastq.gz"
"26","MURI_33 ",33,"L006","SA14027","MURI_33_SA14027_TAGCTT_L006_R1_001.fastq.gz","MURI_33_SA14027_TAGCTT_L006_R2_001.fastq.gz"
"27","MURI_34 ",34,"L002","SA14043","MURI_34_SA14043_AGTCAA_L002_R1_001.fastq.gz","MURI_34_SA14043_AGTCAA_L002_R2_001.fastq.gz"
"28","MURI_34 ",34,"L003","SA14043","MURI_34_SA14043_AGTCAA_L003_R1_001.fastq.gz","MURI_34_SA14043_AGTCAA_L003_R2_001.fastq.gz"
"29","MURI_35 ",35,"L002","SA14043","MURI_35_SA14043_AGTTCC_L002_R1_001.fastq.gz","MURI_35_SA14043_AGTTCC_L002_R2_001.fastq.gz"
"30","MURI_35 ",35,"L003","SA14043","MURI_35_SA14043_AGTTCC_L003_R1_001.fastq.gz","MURI_35_SA14043_AGTTCC_L003_R2_001.fastq.gz"
"31","MURI_36 ",36,"L002","SA14043","MURI_36_SA14043_ATGTCA_L002_R1_001.fastq.gz","MURI_36_SA14043_ATGTCA_L002_R2_001.fastq.gz"
"32","MURI_36 ",36,"L003","SA14043","MURI_36_SA14043_ATGTCA_L003_R1_001.fastq.gz","MURI_36_SA14043_ATGTCA_L003_R2_001.fastq.gz"
"33","MURI_37 ",37,"L002","SA14043","MURI_37_SA14043_CCGTCC_L002_R1_001.fastq.gz","MURI_37_SA14043_CCGTCC_L002_R2_001.fastq.gz"
"34","MURI_37 ",37,"L003","SA14043","MURI_37_SA14043_CCGTCC_L003_R1_001.fastq.gz","MURI_37_SA14043_CCGTCC_L003_R2_001.fastq.gz"
"35","MURI_38 ",38,"L002","SA14043","MURI_38_SA14043_GTCCGC_L002_R1_001.fastq.gz","MURI_38_SA14043_GTCCGC_L002_R2_001.fastq.gz"
"36","MURI_38 ",38,"L003","SA14043","MURI_38_SA14043_GTCCGC_L003_R1_001.fastq.gz","MURI_38_SA14043_GTCCGC_L003_R2_001.fastq.gz"
"37","MURI_39 ",39,"L002","SA14043","MURI_39_SA14043_GTGAAA_L002_R1_001.fastq.gz","MURI_39_SA14043_GTGAAA_L002_R2_001.fastq.gz"
"38","MURI_39 ",39,"L003","SA14043","MURI_39_SA14043_GTGAAA_L003_R1_001.fastq.gz","MURI_39_SA14043_GTGAAA_L003_R2_001.fastq.gz"
