"","genes","dataType","growthPhase","test_for","exist_in"
"1","rplI","protein","Exp","Glc","controlled for Growth"
"2","potF","protein","Exp","Glc","controlled for Growth"
"3","nusB","protein","Exp","Glc","controlled for Growth"
"4","accB","protein","Exp","Glc","controlled for Growth"
"5","rpsC","protein","Exp","Glc","controlled for Growth"
"6","vacJ","protein","Exp","Glc","controlled for Growth"
"7","aroD","protein","Exp","Glc","controlled for Growth"
"8","eda","protein","Exp","Glc","controlled for Growth"
"9","hflC","protein","Exp","Glc","controlled for Growth"
"10","yrfG","protein","Exp","Glc","controlled for Growth"
"11","yraM","protein","Exp","Glc","controlled for Growth"
"12","nagB","protein","Exp","Glc","controlled for Growth"
"13","cysI","protein","Exp","Glc","controlled for Growth"
"14","gpt","protein","Exp","Glc","controlled for Growth"
"15","tauA","protein","Exp","Glc","controlled for Growth"
"16","rng","protein","Exp","Glc","controlled for Growth"
"17","flgH","protein","Exp","Glc","controlled for Growth"
"18","speB","protein","Exp","Glc","controlled for Growth"
"19","rbfA","protein","Exp","Glc","controlled for Growth"
"20","livK","protein","Exp","Glc","controlled for Growth"
"21","fklB","protein","Exp","Glc","controlled for Growth"
"22","ppa","protein","Exp","Glc","controlled for Growth"
"23","modF","protein","Exp","Glc","controlled for Growth"
"24","lplA","protein","Exp","Glc","controlled for Growth"
"25","yhdE","protein","Exp","Glc","controlled for Growth"
"26","lepB","protein","Exp","Glc","controlled for Growth"
"27","rseB","protein","Exp","Glc","controlled for Growth"
"28","secG","protein","Exp","Glc","controlled for Growth"
"29","yiaD","protein","Exp","Glc","controlled for Growth"
"30","yieH","protein","Exp","Glc","controlled for Growth"
"31","yejG","protein","Exp","Glc","controlled for Growth"
"32","mogA","protein","Exp","Glc","controlled for Growth"
"33","coaA","protein","Exp","Glc","controlled for Growth"
"34","yijP","protein","Exp","Glc","controlled for Growth"
"35","secB","protein","Exp","Glc","controlled for Growth"
"36","rimO","protein","Exp","Glc","controlled for Growth"
"37","ybiS","protein","Exp","Glc","controlled for Growth"
"38","yleA","protein","Exp","Glc","controlled for Growth"
"39","prfB","protein","Exp","Glc","controlled for Growth"
"40","guaC","protein","Exp","Glc","controlled for Growth"
"41","lolA","protein","Exp","Glc","controlled for Growth"
"42","dld","protein","Exp","Glc","controlled for Growth"
"43","yjcO","protein","Exp","Glc","controlled for Growth"
"44","ydiJ","protein","Exp","Glc","controlled for Growth"
"45","galM","protein","Exp","Glc","controlled for Growth"
"46","aspC","protein","Exp","Glc","controlled for Growth"
"47","panD","protein","Exp","Glc","controlled for Growth"
"48","pth","protein","Exp","Glc","controlled for Growth"
"49","yebG","protein","Exp","Glc","controlled for Growth"
"50","cysM","protein","Exp","Glc","controlled for Growth"
"51","rplV","protein","Exp","Glc","controlled for Growth"
"52","aroC","protein","Exp","Glc","controlled for Growth"
"53","yagR","protein","Exp","Glc","controlled for Growth"
"54","allR","protein","Exp","Glc","controlled for Growth"
"55","artI","protein","Exp","Glc","controlled for Growth"
"56","nagZ","protein","Exp","Glc","controlled for Growth"
"57","nuoF","protein","Exp","Glc","controlled for Growth"
"58","gpmB","protein","Exp","Glc","controlled for Growth"
"59","rtcA","protein","Exp","Glc","controlled for Growth"
"60","ychK","protein","Exp","Glc","controlled for Growth"
"61","proV","protein","Exp","Glc","controlled for Growth"
"62","cysB","protein","Exp","Glc","controlled for Growth"
"63","kdgR","protein","Exp","Glc","controlled for Growth"
"64","goaG","protein","Exp","Glc","controlled for Growth"
"65","ihfA","protein","Exp","Glc","controlled for Growth"
"66","sseB","protein","Exp","Glc","controlled for Growth"
"67","rlpA","protein","Exp","Glc","controlled for Growth"
"68","yfcD","protein","Exp","Glc","controlled for Growth"
"69","degQ","protein","Exp","Glc","controlled for Growth"
"70","hemN","protein","Exp","Glc","controlled for Growth"
"71","yggG","protein","Exp","Glc","controlled for Growth"
"72","mdoD","protein","Exp","Glc","controlled for Growth"
"73","pyrF","protein","Exp","Glc","controlled for Growth"
"74","frdA","protein","Exp","Glc","controlled for Growth"
"75","yecO","protein","Exp","Glc","controlled for Growth"
"76","iadA","protein","Exp","Glc","controlled for Growth"
"77","yqiB","protein","Exp","Glc","controlled for Growth"
"78","dacB","protein","Exp","Glc","controlled for Growth"
"79","ydaO","protein","Exp","Glc","controlled for Growth"
"80","cdh","protein","Exp","Glc","controlled for Growth"
"81","flgF","protein","Exp","Glc","controlled for Growth"
"82","ycdX","protein","Exp","Glc","controlled for Growth"
"83","ycfU","protein","Exp","Glc","controlled for Growth"
"84","phoP","protein","Exp","Glc","controlled for Growth"
"85","acnA","protein","Exp","Glc","controlled for Growth"
"86","ybeA","protein","Exp","Glc","controlled for Growth"
"87","fsa","protein","Exp","Glc","controlled for Growth"
"88","pta","protein","Exp","Glc","controlled for Growth"
"89","mgsA","protein","Exp","Glc","controlled for Growth"
"90","hda","protein","Exp","Glc","controlled for Growth"
"91","speC","protein","Exp","Glc","controlled for Growth"
"92","fis","protein","Exp","Glc","controlled for Growth"
"93","rnfG","protein","Exp","Glc","controlled for Growth"
"94","era","protein","Exp","Glc","controlled for Growth"
"95","lipB","protein","Exp","Glc","controlled for Growth"
"96","ybiN","protein","Exp","Glc","controlled for Growth"
"97","dsbC","protein","Exp","Glc","controlled for Growth"
"98","mrcA","protein","Exp","Glc","controlled for Growth"
"99","yfaS","protein","Exp","Glc","controlled for Growth"
"100","aceE","protein","Exp","Glc","controlled for Growth"
"101","hemH","protein","Exp","Glc","controlled for Growth"
"102","yegO","protein","Exp","Glc","controlled for Growth"
"103","nuoC","protein","Exp","Glc","controlled for Growth"
"104","aceF","protein","Exp","Glc","controlled for Growth"
"105","lpp","protein","Exp","Glc","controlled for Growth"
"106","yfhM","protein","Exp","Glc","controlled for Growth"
"107","rpsR","protein","Exp","Glc","controlled for Growth"
"108","mdlA","protein","Exp","Glc","controlled for Growth"
"109","yaeH","protein","Exp","Glc","controlled for Growth"
"110","ybhA","protein","Exp","Glc","controlled for Growth"
"111","yccW","protein","Exp","Glc","controlled for Growth"
"112","proX","protein","Exp","Glc","controlled for Growth"
"113","csdA","protein","Exp","Glc","controlled for Growth"
"114","yiiS","protein","Exp","Glc","controlled for Growth"
"115","kdsA","protein","Exp","Glc","controlled for Growth"
"116","hisJ","protein","Exp","Glc","controlled for Growth"
"117","ytfG","protein","Exp","Glc","controlled for Growth"
"118","yfcM","protein","Exp","Glc","controlled for Growth"
"119","flhB","protein","Exp","Glc","controlled for Growth"
"120","rplM","protein","Exp","Glc","controlled for Growth"
"121","pyrI","protein","Exp","Glc","controlled for Growth"
