"","Phase","Salt","Conc","Branch","MeanFluxRatio","SDEFluxRatio","Phase2"
"1","EXP","MGSO4",0.08,"E4P from P5P",1,0,"Exponential"
"2","EXP","MGSO4",0.08,"E4P through TK",0.431111111111111,0.041514537093932,"Exponential"
"3","EXP","MGSO4",0.08,"GLY from SER",1,0,"Exponential"
"4","EXP","MGSO4",0.08,"Labeled CO2 EC",0.0544477777777778,0.0272358924632846,"Exponential"
"5","EXP","MGSO4",0.08,"OAA from PEP",0.403333333333333,0.0342106762629792,"Exponential"
"6","EXP","MGSO4",0.08,"P5P from E4P",1e-05,0,"Exponential"
"7","EXP","MGSO4",0.08,"P5P from G3P",0.154444444444444,0.0520090210598598,"Exponential"
"8","EXP","MGSO4",0.08,"P5P from G6P",0.955555555555556,0.0411561315054492,"Exponential"
"9","EXP","MGSO4",0.08,"PEP from OAA",0.0955555555555556,0.00675862503366469,"Exponential"
"10","EXP","MGSO4",0.08,"PEP through TK",0.0666666666666667,0.00838870492807861,"Exponential"
"11","EXP","MGSO4",0.08,"PYR from MAL_LB",1e-05,0,"Exponential"
"12","EXP","MGSO4",0.08,"PYR from MAL_UB",1e-05,0,"Exponential"
"13","EXP","MGSO4",0.08,"SER from GLY",0.168888888888889,0.0156741510885177,"Exponential"
"14","EXP","MGSO4",0.8,"E4P from P5P",0.944444444444444,0.0555555555555555,"Exponential"
"15","EXP","MGSO4",0.8,"E4P through TK",0.3,0.0985637601495337,"Exponential"
"16","EXP","MGSO4",0.8,"GLY from SER",1,0,"Exponential"
"17","EXP","MGSO4",0.8,"Labeled CO2 EC",0.0533366666666667,0.0272812513968435,"Exponential"
"18","EXP","MGSO4",0.8,"OAA from PEP",0.432222222222222,0.0165924272478534,"Exponential"
"19","EXP","MGSO4",0.8,"P5P from E4P",1e-05,0,"Exponential"
"20","EXP","MGSO4",0.8,"P5P from G3P",0.21,0.0614937515645409,"Exponential"
"21","EXP","MGSO4",0.8,"P5P from G6P",0.917777777777778,0.0662580067372248,"Exponential"
"22","EXP","MGSO4",0.8,"PEP from OAA",0.117777777777778,0.0302050604868182,"Exponential"
"23","EXP","MGSO4",0.8,"PEP through TK",0.0733333333333333,0.0251661147842358,"Exponential"
"24","EXP","MGSO4",0.8,"PYR from MAL_LB",1e-05,0,"Exponential"
"25","EXP","MGSO4",0.8,"PYR from MAL_UB",1e-05,0,"Exponential"
"26","EXP","MGSO4",0.8,"SER from GLY",0.124447777777778,0.0626932962431165,"Exponential"
"27","EXP","MGSO4",200,"E4P from P5P",1,0,"Exponential"
"28","EXP","MGSO4",200,"E4P through TK",0.388333333333333,0.00499999999999998,"Exponential"
"29","EXP","MGSO4",200,"GLY from SER",1,0,"Exponential"
"30","EXP","MGSO4",200,"Labeled CO2 EC",0.12,0.01,"Exponential"
"31","EXP","MGSO4",200,"OAA from PEP",0.531666666666667,0.00499999999999995,"Exponential"
"32","EXP","MGSO4",200,"P5P from E4P",1e-05,0,"Exponential"
