"","X","Category","MF","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_MF","MF_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","MF_Long","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural constituent of ribosome","gene_17","949057","rplU",0.0482677080506827,-1.00643376378242,-1,-1.31634332278009,1.31634332278009,-1,0,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"2",2,"GOTERM_MF_ALL","GO:0005198~structural molecule activity",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural molecule activity","gene_17","949057","rplU",0.0482677080506827,-1.00643376378242,-1,-1.31634332278009,1.31634332278009,-1,0,51,"structural molecule activity
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"3",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural constituent of ribosome","gene_28","947819","rplW",0.0288181009062545,-1.19594502879684,-1,-1.54033464229751,1.54033464229751,-2,0,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"4",2,"GOTERM_MF_ALL","GO:0005198~structural molecule activity",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural molecule activity","gene_28","947819","rplW",0.0288181009062545,-1.19594502879684,-1,-1.54033464229751,1.54033464229751,-2,0,51,"structural molecule activity
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"5",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural constituent of ribosome","gene_38","948216","rpmH",0.028431840360835,-1.2346957356454,-1,-1.54619502800962,1.54619502800962,-3,0,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"6",2,"GOTERM_MF_ALL","GO:0005198~structural molecule activity",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural molecule activity","gene_38","948216","rpmH",0.028431840360835,-1.2346957356454,-1,-1.54619502800962,1.54619502800962,-3,0,51,"structural molecule activity
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"7",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural constituent of ribosome","gene_15","947828","rplM",0.014535178098133,-1.281925503372,-1,-1.83757964249262,1.83757964249262,-4,0,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"8",2,"GOTERM_MF_ALL","GO:0005198~structural molecule activity",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural molecule activity","gene_15","947828","rplM",0.014535178098133,-1.281925503372,-1,-1.83757964249262,1.83757964249262,-4,0,51,"structural molecule activity
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"9",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural constituent of ribosome","gene_03","945152","rplT",0.00518740041115349,-1.64294598712688,-1,-2.28505022788017,2.28505022788017,-5,0,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"10",2,"GOTERM_MF_ALL","GO:0005198~structural molecule activity",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural molecule activity","gene_03","945152","rplT",0.00518740041115349,-1.64294598712688,-1,-2.28505022788017,2.28505022788017,-5,0,51,"structural molecule activity
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"11",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural constituent of ribosome","gene_06","947802","rpsH",0.00166939488051148,-1.69791934176176,-1,-2.77744092267198,2.77744092267198,-6,0,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"12",2,"GOTERM_MF_ALL","GO:0005198~structural molecule activity",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural molecule activity","gene_06","947802","rpsH",0.00166939488051148,-1.69791934176176,-1,-2.77744092267198,2.77744092267198,-6,0,51,"structural molecule activity
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"13",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural constituent of ribosome","gene_14","947686","rpsO",0.00140559905775009,-1.68539248306244,-1,-2.852138542644,2.852138542644,-7,0,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"14",2,"GOTERM_MF_ALL","GO:0005198~structural molecule activity",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural molecule activity","gene_14","947686","rpsO",0.00140559905775009,-1.68539248306244,-1,-2.852138542644,2.852138542644,-7,0,51,"structural molecule activity
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"15",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural constituent of ribosome","gene_37","947804","rplR",0.0011689362767369,-1.69729846431878,-1,-2.9322091632743,2.9322091632743,-8,0,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"16",2,"GOTERM_MF_ALL","GO:0005198~structural molecule activity",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural molecule activity","gene_37","947804","rplR",0.0011689362767369,-1.69729846431878,-1,-2.9322091632743,2.9322091632743,-8,0,51,"structural molecule activity
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
"17",1,"GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",51,4.13961038961039,2.25051585801002e-09,69,56,108,1.42546583850932,1.14776303683506e-07,1.14776303683506e-07,2.17714132277891e-08,"structural constituent of ribosome","gene_47","947793","rpsD",0.000496895942927188,-2.14203587196965,-1,-3.30373454918228,3.30373454918228,-9,0,51,"structural constituent of ribosome
 padj:0.00000 N( -51/ +0/ 56)","protein","Sta","Na_mM_Levels","baseNa","highNa","kegg"
