"","ID","KEGG_Path","padj_gene","signChange","score_gene","FDR_KEGG_Path","numGenesInCat","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","vs","df_category"
"1","adhP","eco00010:Glycolysis / Gluconeogenesis",0.00177612206937007,1,2.75052718932768,1.03301811549272e-11,32,2.75052718932768,5,5,20,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -20/ +5/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","kegg"
"2","malX","eco00010:Glycolysis / Gluconeogenesis",0.00242562271082539,1,2.61517674977991,1.03301811549272e-11,32,2.61517674977991,4,5,20,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -20/ +5/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","kegg"
"3","ascF","eco00010:Glycolysis / Gluconeogenesis",0.00271578010869939,1,2.56610539692633,1.03301811549272e-11,32,2.56610539692633,3,5,20,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -20/ +5/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","kegg"
"4","ascB","eco00010:Glycolysis / Gluconeogenesis",0.00753653736276384,1,2.1228281434738,1.03301811549272e-11,32,2.1228281434738,2,5,20,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -20/ +5/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","kegg"
"5","bglB","eco00010:Glycolysis / Gluconeogenesis",0.0131839450142509,1,1.87995461693771,1.03301811549272e-11,32,1.87995461693771,1,5,20,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -20/ +5/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","kegg"
"6","glk","eco00010:Glycolysis / Gluconeogenesis",0.0077622284138065,-1,-2.11001358172017,1.03301811549272e-11,32,2.11001358172017,-1,5,20,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -20/ +5/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","kegg"
"7","bglA","eco00010:Glycolysis / Gluconeogenesis",0.000121186566391742,-1,-3.91654551932226,1.03301811549272e-11,32,3.91654551932226,-2,5,20,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -20/ +5/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","kegg"
"8","galM","eco00010:Glycolysis / Gluconeogenesis",3.1870154732336e-06,-1,-5.49661582798417,1.03301811549272e-11,32,5.49661582798417,-3,5,20,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -20/ +5/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","kegg"
"9","pfkB","eco00010:Glycolysis / Gluconeogenesis",1.32673975893157e-06,-1,-5.87721425599304,1.03301811549272e-11,32,5.87721425599304,-4,5,20,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -20/ +5/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","kegg"
"10","tpiA","eco00010:Glycolysis / Gluconeogenesis",5.18262449858513e-07,-1,-6.28545025635439,1.03301811549272e-11,32,6.28545025635439,-5,5,20,"Glycolysis / Gluconeogenesis
 padj:0.00000 N( -20/ +5/ 32)","Glycolysis / Gluconeogenesis","protein_wo_NA","Exp","Na_mM_Levels","baseNahighNa","kegg"
