ID	Species	numCommas	MF_Number	MF_Name
aas	Escherichia coli	15	MF_001	GO:0000166~nucleotide binding
aas	Escherichia coli	15	MF_002	GO:0001882~nucleoside binding
aas	Escherichia coli	15	MF_003	GO:0001883~purine nucleoside binding
aas	Escherichia coli	15	MF_004	GO:0005524~ATP binding
aas	Escherichia coli	15	MF_005	GO:0008374~O-acyltransferase activity
aas	Escherichia coli	15	MF_006	GO:0008779~acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity
aas	Escherichia coli	15	MF_007	GO:0008922~long-chain-fatty-acid-[acyl-carrier-protein] ligase activity
aas	Escherichia coli	15	MF_008	GO:0015645~fatty-acid ligase activity
aas	Escherichia coli	15	MF_009	GO:0016877~ligase activity, forming carbon-sulfur bonds
aas	Escherichia coli	15	MF_010	GO:0016878~acid-thiol ligase activity
aas	Escherichia coli	15	MF_011	GO:0017076~purine nucleotide binding
aas	Escherichia coli	15	MF_012	GO:0030554~adenyl nucleotide binding
aas	Escherichia coli	15	MF_013	GO:0032553~ribonucleotide binding
aas	Escherichia coli	15	MF_014	GO:0032555~purine ribonucleotide binding
aas	Escherichia coli	15	MF_015	GO:0032559~adenyl ribonucleotide binding
aat	Escherichia coli	 2	MF_001	GO:0008914~leucyltransferase activity
aat	Escherichia coli	 2	MF_002	GO:0016755~transferase activity, transferring amino-acyl groups
abgA	Escherichia coli	 6	MF_001	GO:0004046~aminoacylase activity
abgA	Escherichia coli	 6	MF_002	GO:0008233~peptidase activity
abgA	Escherichia coli	 6	MF_003	GO:0008237~metallopeptidase activity
abgA	Escherichia coli	 6	MF_004	GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
abgA	Escherichia coli	 6	MF_005	GO:0046983~protein dimerization activity
abgA	Escherichia coli	 6	MF_006	GO:0070011~peptidase activity, acting on L-amino acid peptides
abgB	Escherichia coli	 4	MF_001	GO:0008233~peptidase activity
abgB	Escherichia coli	 4	MF_002	GO:0008237~metallopeptidase activity
abgB	Escherichia coli	 4	MF_003	GO:0046983~protein dimerization activity
abgB	Escherichia coli	 4	MF_004	GO:0070011~peptidase activity, acting on L-amino acid peptides
abgR	Escherichia coli	 3	MF_001	GO:0003677~DNA binding
abgR	Escherichia coli	 3	MF_002	GO:0003700~transcription factor activity
abgR	Escherichia coli	 3	MF_003	GO:0030528~transcription regulator activity
accA	Escherichia coli	11	MF_001	GO:0000166~nucleotide binding
accA	Escherichia coli	11	MF_002	GO:0001882~nucleoside binding
accA	Escherichia coli	11	MF_003	GO:0001883~purine nucleoside binding
accA	Escherichia coli	11	MF_004	GO:0003989~acetyl-CoA carboxylase activity
accA	Escherichia coli	11	MF_005	GO:0005524~ATP binding
accA	Escherichia coli	11	MF_006	GO:0016885~ligase activity, forming carbon-carbon bonds
accA	Escherichia coli	11	MF_007	GO:0017076~purine nucleotide binding
accA	Escherichia coli	11	MF_008	GO:0030554~adenyl nucleotide binding
accA	Escherichia coli	11	MF_009	GO:0032553~ribonucleotide binding
accA	Escherichia coli	11	MF_010	GO:0032555~purine ribonucleotide binding
accA	Escherichia coli	11	MF_011	GO:0032559~adenyl ribonucleotide binding
accB	Escherichia coli	 6	MF_001	GO:0003989~acetyl-CoA carboxylase activity
accB	Escherichia coli	 6	MF_002	GO:0009374~biotin binding
accB	Escherichia coli	 6	MF_003	GO:0016885~ligase activity, forming carbon-carbon bonds
accB	Escherichia coli	 6	MF_004	GO:0019842~vitamin binding
accB	Escherichia coli	 6	MF_005	GO:0031406~carboxylic acid binding
accB	Escherichia coli	 6	MF_006	GO:0033293~monocarboxylic acid binding
accC	Escherichia coli	17	MF_001	GO:0000166~nucleotide binding
accC	Escherichia coli	17	MF_002	GO:0001882~nucleoside binding
accC	Escherichia coli	17	MF_003	GO:0001883~purine nucleoside binding
accC	Escherichia coli	17	MF_004	GO:0003989~acetyl-CoA carboxylase activity
accC	Escherichia coli	17	MF_005	GO:0004075~biotin carboxylase activity
accC	Escherichia coli	17	MF_006	GO:0005524~ATP binding
accC	Escherichia coli	17	MF_007	GO:0009374~biotin binding
accC	Escherichia coli	17	MF_008	GO:0016879~ligase activity, forming carbon-nitrogen bonds
accC	Escherichia coli	17	MF_009	GO:0016885~ligase activity, forming carbon-carbon bonds
accC	Escherichia coli	17	MF_010	GO:0017076~purine nucleotide binding
accC	Escherichia coli	17	MF_011	GO:0019842~vitamin binding
accC	Escherichia coli	17	MF_012	GO:0030554~adenyl nucleotide binding
accC	Escherichia coli	17	MF_013	GO:0031406~carboxylic acid binding
accC	Escherichia coli	17	MF_014	GO:0032553~ribonucleotide binding
accC	Escherichia coli	17	MF_015	GO:0032555~purine ribonucleotide binding
accC	Escherichia coli	17	MF_016	GO:0032559~adenyl ribonucleotide binding
accC	Escherichia coli	17	MF_017	GO:0033293~monocarboxylic acid binding
