Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	ecj02010:ABC transporters	108	4.186046511627907	1.0298312004629242E-45	MALF, MALE, SAPA, GLTK, ALSB, ALSA, MALK, GLTI, NIKD, FECB, NIKE, NIKB, NIKA, OPPC, OPPD, OPPF, OPPA, FECE, THIP, RBSB, RBSA, LIVF, THIQ, LIVG, LIVJ, ARGT, LIVK, YOJI, YDDA, GLNQ, DPPD, GLNH, BTUD, DPPF, BTUC, PHNC, TAUB, TAUA, PHND, CCMC, PHNL, SBP, SAPD, SAPB, PSTS, FHUC, FHUD, MSBA, METQ, FEPC, METN, MGLA, FEPG, DPPB, PROX, DPPC, MGLC, METI, MGLB, DPPA, PROV, SSUA, FHUB, ARTI, ARTJ, ARTM, MDLB, ARTQ, UGPE, ARTP, UGPC, XYLF, XYLH, CYDC, MPPA, CYDD, MODC, YEHX, LOLD, MODF, NLPA, FTSE, YADG, YBHS, RBSD, RBSC, MACB, POTF, POTG, YEJA, POTI, YEJB, YEJE, YEJF, CYSA, ZNUB, ZNUA, ZNUC, ARAG, ARAF, ARAH, YHDZ, HISP, POTA, HISJ, CYSP, POTD, HISM	1043	178	7107	4.134335915197087	2.255330329013804E-42	2.255330329013804E-42	1.7893708116717832E-42
KEGG_PATHWAY	eck02010:ABC transporters	109	4.224806201550388	1.0686612043812016E-45	YCJV, MALF, MALE, SAPA, GLTK, MALK, GLTI, NIKD, FECB, NIKE, NIKB, NIKA, OPPC, OPPD, OPPF, OPPA, FECE, THIP, RBSB, RBSA, LIVF, THIQ, LIVG, LIVJ, ARGT, LIVK, YOJI, YDDA, GLNQ, YLIB, DPPD, GLNH, BTUD, DPPF, BTUC, PHNC, TAUB, TAUA, PHND, CCMC, PHNL, SBP, SAPD, SAPB, PSTS, FHUC, FHUD, MSBA, METQ, FEPC, METN, MGLA, FEPG, DPPB, PROX, DPPC, MGLC, METI, MGLB, DPPA, PROV, SSUA, FHUB, ARTI, ARTJ, ARTM, MDLB, ARTQ, UGPE, ARTP, UGPC, XYLF, XYLH, CYDC, MPPA, CYDD, MODC, YEHX, LOLD, YEHZ, MODF, NLPA, FTSE, YADG, YBHS, RBSD, RBSC, MACB, POTF, TBPA, POTG, YEJA, POTI, YEJB, YEJE, YEJF, CYSA, ZNUB, ZNUA, ZNUC, ARAG, ARAF, ARAH, HISP, CYSP, POTA, HISJ, POTD, HISM	1043	181	7107	4.103457408770916	2.3403680375948316E-42	1.1701840187974158E-42	1.8568394177862937E-42
KEGG_PATHWAY	ecd02010:ABC transporters	106	4.108527131782946	9.470898035611294E-45	MALF, MALE, SAPA, GLTK, ALSB, ALSA, MALK, GLTI, NIKD, FECB, NIKE, NIKB, NIKA, OPPC, OPPD, OPPF, OPPA, FECE, RBSB, RBSA, LIVF, LIVG, LIVJ, ARGT, LIVK, YOJI, YDDA, GLNQ, DPPD, GLNH, BTUD, DPPF, BTUC, PHNC, TAUB, TAUA, PHND, CCMC, PHNL, SBP, SAPD, SAPB, PSTS, FHUC, FHUD, MSBA, METQ, FEPC, YHBG, METN, FEPG, DPPB, PROX, DPPC, MGLC, METI, MGLB, DPPA, SSUA, FHUB, ARTI, ARTJ, ARTM, MDLB, ARTQ, UGPE, ARTP, UGPC, XYLF, XYLH, CYDC, MPPA, CYDD, YEHX, MODC, LOLD, YEHZ, MODF, NLPA, FTSE, YADG, YBHS, RBSD, RBSC, MACB, POTF, POTG, YEJA, POTI, YEJB, YEJE, YEJF, CYSA, ZNUB, ZNUA, ZNUC, ARAG, ARAF, ARAH, YHDZ, HISP, POTA, HISJ, CYSP, POTD, HISM	1043	175	7107	4.127335981372415	2.0741266697988735E-41	6.913755565996245E-42	1.645604493010561E-41
KEGG_PATHWAY	eco02010:ABC transporters	108	4.186046511627907	9.995218054125418E-45	MALF, MALE, SAPA, GLTK, ALSB, ALSA, MALK, GLTI, NIKD, FECB, NIKE, NIKB, NIKA, OPPC, OPPD, OPPF, OPPA, FECE, THIP, RBSB, RBSA, LIVF, THIQ, LIVG, LIVJ, ARGT, LIVK, YOJI, YDDA, GLNQ, DPPD, GLNH, BTUD, DPPF, BTUC, PHNC, TAUB, TAUA, PHND, CCMC, PHNL, SBP, SAPD, SAPB, PSTS, FHUC, FHUD, MSBA, METQ, FEPC, METN, MGLA, FEPG, DPPB, PROX, DPPC, MGLC, METI, MGLB, DPPA, PROV, SSUA, FHUB, ARTI, ARTJ, ARTM, MDLB, ARTQ, UGPE, ARTP, UGPC, XYLF, XYLH, CYDC, MPPA, CYDD, MODC, YEHX, LOLD, MODF, NLPA, FTSE, YADG, YBHS, RBSD, RBSC, MACB, POTF, POTG, YEJA, POTI, YEJB, YEJE, YEJF, CYSA, ZNUB, ZNUA, ZNUC, ARAG, ARAF, ARAH, YHDZ, HISP, POTA, HISJ, CYSP, POTD, HISM	1043	181	7107	4.065811010525312	2.1889527538534667E-41	5.472381884633667E-42	1.736707086977674E-41
KEGG_PATHWAY	ecv02010:ABC transporters	112	4.341085271317829	7.682606608140197E-44	YCJV, MALF, MALE, SAPA, GLTK, ALSA, MALK, NIKD, NIKE, NIKB, NIKA, OPPC, OPPD, OPPF, OPPA, THIP, RBSB, RBSA, LIVF, THIQ, LIVG, LIVJ, ARGT, LIVK, YOJI, YDDA, YDDR, GLNQ, YDDP, YDDO, YLIB, DPPD, GLNH, DPPF, BTUC, PHNC, TAUB, TAUA, PHND, CCMC, PHNL, SBP, SAPD, SAPB, PSTS, FHUC, FHUD, YCFW, MSBA, YCFU, METQ, FEPC, YHBG, METN, MGLA, FEPG, DPPB, PROX, DPPC, MGLC, METI, MGLB, DPPA, PROV, SSUA, FHUB, ARTI, ARTJ, ARTM, MDLB, ARTQ, UGPE, ARTP, UGPC, XYLF, XYLH, CYDC, MPPA, CYDD, MODC, YEHX, LOLD, YEHZ, MODF, NLPA, FTSE, YADG, YBHS, RBSD, RBSC, POTF, TBPA, POTG, YEJA, POTI, YEJB, YEJE, YEJF, CYSA, ZNUB, ZNUA, ZNUC, ARAG, ARAF, ARAH, YHDZ, HISP, CYSP, POTA, HISJ, POTD, HISM	1043	196	7107	3.893713189973976	1.6824908471827033E-40	3.364981694365406E-41	1.3348820676615096E-40
KEGG_PATHWAY	ecr02010:ABC transporters	104	4.0310077519379846	7.299250315883057E-42	YCJV, MALF, MALE, SAPA, GLTK, MALK, GLTI, NIKD, NIKE, NIKB, NIKA, OPPC, OPPD, OPPF, OPPA, THIP, RBSB, RBSA, LIVF, THIQ, LIVG, LIVJ, LIVK, YOJI, YDDA, GLNQ, YLIB, DPPD, GLNH, BTUD, DPPF, BTUC, PHNC, TAUB, TAUA, PHND, CCMC, PHNL, SBP, SAPD, SAPB, PSTS, FHUC, FHUD, MSBA, METQ, FEPC, METN, MGLA, FEPG, DPPB, PROX, DPPC, MGLC, METI, MGLB, DPPA, PROV, SSUA, FHUB, ARTI, ARTJ, ARTM, ARTQ, UGPE, ARTP, UGPC, XYLF, XYLH, CYDC, MPPA, CYDD, MODC, LOLD, YEHZ, MODF, NLPA, FTSE, YADG, YBHS, RBSD, RBSC, MACB, POTF, TBPA, POTG, YEJA, POTI, YEJB, YEJE, YEJF, CYSA, ZNUB, ZNUA, ZNUC, ARAG, ARAF, ARAH, HISP, POTA, HISJ, CYSP, POTD, HISM	1043	178	7107	3.9812123627823803	1.5985358191783893E-38	2.6642263652973157E-39	1.26827245634586E-38
KEGG_PATHWAY	ecr00230:Purine metabolism	67	2.5968992248062017	1.3299593437827473E-41	YQEA, AMN, PNP, SURE, HOLB, APT, PURH, PRSA, PURF, PURE, PURL, PURK, RELA, POLA, GSK, PURD, PURC, PURB, PURA, YAGS, DGT, YAGR, ADK, ADE, ADD, PURT, USHA, PPX, PURN, PURM, XDHB, NDK, CYAA, NUDE, NUDF, YJJG, MAZG, NRDE, NRDD, PYKA, YGGV, NRDB, RPOZ, ALLB, NRDA, ALLC, DNAN, GMK, ALLD, YFBR, PYKF, RPOC, RPOB, RPOA, CYSD, HPT, CYSC, GUAD, GUAC, APAH, GUAA, GUAB, YAHI, DEOD, GPT, DEOB, CYSN	1043	81	7107	5.636270018820355	2.9126109628842166E-38	4.160872804120309E-39	2.310854856024226E-38
KEGG_PATHWAY	eck00230:Purine metabolism	67	2.5968992248062017	5.869207501107464E-41	YQEA, AMN, PNP, SURE, HOLB, APT, PURH, PRSA, PURF, PURE, PURL, PURK, RELA, POLA, GSK, PURD, PURC, PURB, PURA, YAGS, DGT, YAGR, ADK, ADE, ADD, PURT, USHA, PPX, PURN, PURM, XDHB, NDK, CYAA, NUDE, NUDF, YJJG, MAZG, NRDE, NRDD, PYKA, YGGV, NRDB, RPOZ, ALLB, NRDA, ALLC, DNAN, GMK, ALLD, YFBR, PYKF, RPOC, RPOB, RPOA, CYSD, HPT, CYSC, GUAD, GUAC, APAH, GUAA, GUAB, YAHI, DEOD, GPT, DEOB, CYSN	1043	82	7107	5.567535018590838	1.2853564427425347E-37	1.6066955534281684E-38	1.01979708765921E-37
KEGG_PATHWAY	eum02010:ABC transporters	107	4.147286821705427	1.8453181598968317E-40	MALF, MALE, SAPA, GLTK, MALK, GLTI, NIKD, FECB, NIKE, NIKB, NIKA, OPPC, OPPD, OPPF, OPPA, FECE, THIP, RBSB, RBSA, LIVF, THIQ, LIVG, LIVJ, ARGT, LIVK, YOJI, YDDA, GLNQ, YLIB, DPPD, GLNH, BTUD, DPPF, BTUC, PHNC, TAUB, TAUA, PHND, CCMC, PHNL, SBP, SAPD, SAPB, PSTS, FHUC, FHUD, MSBA, METQ, FEPC, METN, MGLA, FEPG, DPPB, PROX, DPPC, MGLC, METI, MGLB, DPPA, PROV, SSUA, FHUB, ARTI, ARTJ, ARTM, MDLB, ARTQ, UGPE, ARTP, UGPC, XYLF, XYLH, CYDC, MPPA, CYDD, MODC, LOLD, YEHZ, MODF, NLPA, FTSE, YADG, YBHS, RBSD, RBSC, MACB, POTF, TBPA, POTG, YEJA, POTI, YEJB, YEJE, YEJF, CYSA, ZNUB, ZNUA, ZNUC, ARAG, ARAF, ARAH, HISP, POTA, HISJ, CYSP, POTD, HISM	1043	192	7107	3.797384348034516	4.041246770174061E-37	4.4902741890822907E-38	3.2063103662842964E-37
KEGG_PATHWAY	ecg02010:ABC transporters	102	3.953488372093023	5.314653986395951E-40	YCJV, MALF, MALE, SAPA, GLTK, ALSA, MALK, GLTI, NIKD, NIKE, NIKB, NIKA, OPPC, OPPD, OPPF, OPPA, THIP, RBSB, RBSA, LIVF, THIQ, LIVG, LIVJ, ARGT, LIVK, YOJI, YDDA, GLNQ, DPPD, GLNH, BTUD, DPPF, BTUC, PHNC, TAUB, TAUA, PHND, CCMC, PHNL, SBP, SAPD, SAPB, PSTS, FHUC, FHUD, MSBA, METQ, FEPC, METN, MGLA, FEPG, DPPB, PROX, DPPC, MGLC, METI, MGLB, DPPA, PROV, SSUA, FHUB, ARTI, ARTJ, ARTM, ARTQ, UGPE, ARTP, UGPC, XYLF, XYLH, MPPA, MODC, LOLD, MODF, NLPA, FTSE, YADG, YBHS, RBSD, RBSC, MACB, POTF, TBPA, POTG, YEJA, POTI, YEJB, YEJE, YEJF, CYSA, ZNUB, ZNUA, ZNUC, ARAG, ARAF, YHDZ, HISP, POTA, HISJ, CYSP, HISM, POTD	1043	178	7107	3.9046505865750265	1.1639092230207133E-36	1.1639092230207133E-37	9.234413089365682E-37
