Protein_id,gene_name,mRNA_ID,b#
YP_003043230.1,thrL,ECB_00001,b0001
YP_003043231.1,thrA,ECB_00002,b0002
YP_003043232.1,thrB,ECB_00003,b0003
YP_003043233.1,thrC,ECB_00004,b0004
YP_003043234.1,yaaX,ECB_00005,b0005
YP_003043235.1,yaaA,ECB_00006,b0006
YP_003043236.1,yaaJ,ECB_00007,b0007
YP_003043237.1,talB,ECB_00008,b0008
YP_003043238.1,mogA,ECB_00009,b0009
YP_003043239.1,yaaH,ECB_00010,b0010
YP_003043242.1,yaaI,ECB_00013,b0013
YP_003043243.1,dnaK,ECB_00014,b0014
YP_003043244.1,dnaJ,ECB_00015,b0015
YP_003043245.1,insL-1,ECB_00016,b0016
YP_003043246.1,mokC,ECB_00017,b0018
YP_003043248.1,nhaA,ECB_00018,b0019
YP_003043249.1,nhaR,ECB_00019,b0020
YP_003043254.1,insB-1,ECB_00024,b0021
YP_003043253.1,insA-1,ECB_00023,b0022
YP_003043257.1,rpsT,ECB_00027,b0023
YP_003043258.1,yaaY,ECB_00028,b0024
YP_003043259.1,ribF,ECB_00029,b0025
YP_003043260.1,ileS,ECB_00030,b0026
YP_003043261.1,lspA,ECB_00031,b0027
YP_003043262.1,fkpB,ECB_00032,b0028
YP_003043263.1,ispH,ECB_00033,b0029
YP_003043264.1,rihC,ECB_00034,b0030
YP_003043265.1,dapB,ECB_00035,b0031
YP_003043266.1,carA,ECB_00036,b0032
YP_003043267.1,carB,ECB_00037,b0033
YP_003043268.1,caiF,ECB_00038,b0034
YP_003043269.1,caiE,ECB_00039,b0035
YP_003043270.1,caiD,ECB_00040,b0036
YP_003043271.1,caiC,ECB_00041,b0037
YP_003043272.1,caiA,ECB_00043,b0039
YP_003043273.1,caiT,ECB_00044,b0040
YP_003043274.1,fixA,ECB_00045,b0041
YP_003043275.1,fixB,ECB_00046,b0042
YP_003043276.1,fixC,ECB_00047,b0043
YP_003043277.1,fixX,ECB_00048,b0044
YP_003043278.1,yaaU,ECB_00049,b0045
YP_003043279.1,yabF,ECB_00050,b0046
YP_003043280.1,kefC,ECB_00051,b0047
YP_003043281.1,folA,ECB_00052,b0048
YP_003043282.1,apaH,ECB_00053,b0049
YP_003043283.1,apaG,ECB_00054,b0050
YP_003043284.1,ksgA,ECB_00055,b0051
YP_003043285.1,pdxA,ECB_00056,b0052
YP_003043286.1,surA,ECB_00057,b0053
YP_003043287.1,imp,ECB_00058,b0054
YP_003043288.1,djlA,ECB_00059,b0055
YP_003043289.1,rluA,ECB_00060,b0058
YP_003043290.1,hepA,ECB_00061,b0059
YP_003043291.1,polB,ECB_00062,b0060
YP_003043292.1,araD,ECB_00063,b0061
YP_003043293.1,araA,ECB_00064,b0062
YP_003043294.1,araB,ECB_00065,b0063
YP_003043295.1,araC,ECB_00066,b0064
YP_003043296.1,yabI,ECB_00067,b0065
YP_003043297.1,thiQ,ECB_00068,b0066
YP_003043298.1,thiP,ECB_00069,b0067
YP_003043299.1,tbpA,ECB_00070,b0068
YP_003043300.1,yabN,ECB_00071,b0069
YP_003043301.1,setA,ECB_00072,b0070
YP_003043302.1,leuD,ECB_00073,b0071
YP_003043303.1,leuC,ECB_00074,b0072
YP_003043304.1,leuB,ECB_00075,b0073
YP_003043305.1,leuA,ECB_00076,b0074
YP_003043306.1,leuL,ECB_00077,b0075
YP_003043307.1,leuO,ECB_00078,b0076
YP_003043308.1,ilvI,ECB_00079,b0077
YP_003043309.1,ilvH,ECB_00080,b0078
YP_003043310.1,fruR,ECB_00081,b0080
YP_003043725.1,rus,ECB_00500,b0080
YP_003043311.1,yabB,ECB_00082,b0081
YP_003043312.1,mraW,ECB_00083,b0082
YP_003043313.1,ftsL,ECB_00084,b0083
YP_003043314.1,ftsI,ECB_00085,b0084
YP_003043315.1,murE,ECB_00086,b0085
YP_003043316.1,murF,ECB_00087,b0086
